favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
84,Twitter Web Client,Thanks @JebBush for the kind words. I look forwarding to working with @realDonaldTrump to put American workers back to work.,JebBush,False,Fri Dec 09 18:03:15 +0000 2016,32,807284489210707968
33,Twitter Web Client,Thanks for the congratulatory note @VoteMarsha! I look forward to working w/you to help @realDonaldTrump create jobs for everyday Americans.,VoteMarsha,False,Fri Dec 09 18:01:38 +0000 2016,15,807284082015145984
29,Twitter Web Client,Thanks @EricCantor. It’s an honor to be nominated!,EricCantor,False,Fri Dec 09 17:58:57 +0000 2016,10,807283406233079808
222,Twitter Web Client,"As Sec of @USDOL, I look forward to working w/ @realDonaldTrump to enact policies that create #jobs &amp; grow businesses #DepartmentofLabor",,False,Fri Dec 09 03:40:44 +0000 2016,131,807067429792862208
396,Twitter Web Client,I am honored to be nominated by President-elect @realDonaldTrump for Secretary of @USDOL &amp; serve the American worker in this important role,,False,Fri Dec 09 03:29:06 +0000 2016,202,807064500109197312
49,Twitter for iPhone,CKE Restaurants CEO Andrew Puzder on the impacts of a Donald Trump presidency. https://t.co/s6QpGA8VuR,,False,Fri Nov 18 13:58:12 +0000 2016,34,799612675177246720
14,Twitter for iPad,@RoyBluntMO one of our great Republican Senators https://t.co/dK0M2oAz6r,RoyBluntMO,False,Fri Nov 18 12:11:22 +0000 2016,4,799585789495504898
14,Twitter for iPad,Roy Blunt.  One of our great Republican Senators. https://t.co/dK0M2oSav1,,False,Fri Nov 18 11:55:51 +0000 2016,5,799581884955193344
0,Twitter for iPhone,"RT @trish_regan: But, @realDonaldTrump will change all that says @Carl_C_Icahn https://t.co/nUDEpHwbXL",,True,Thu Nov 17 20:41:57 +0000 2016,62,799351894003093505
30,WordPress.com,"Overregulation has hurt the restaurant industry, jobs &amp; the economy but Trump’s win will… https://t.co/VYg9ydsLNP https://t.co/QhhAFnOdsZ",,False,Thu Nov 17 17:59:33 +0000 2016,15,799311024910237697
16,Twitter for iPad,Why Andy Puzder Thinks the Government Doesn't Understand Job Creation - November 2016 - https://t.co/u3w4lNsdwm https://t.co/S0KCJnSVkF,,False,Thu Nov 17 10:50:34 +0000 2016,11,799203067270864897
291,Twitter for iPhone,You were always there @AJDelgado13.  No one made better arguments for or was more loyal to the Pres Elect (felt goo… https://t.co/ZvyaZiHfuk,,False,Sun Nov 13 18:19:17 +0000 2016,105,797866439604600832
6,Twitter for iPhone,You were always there AJ.  No one made better arguments for or was more loyal to the Pres Elect (felt good just to… https://t.co/Bmx4dE3sIX,,False,Sun Nov 13 18:10:34 +0000 2016,3,797864245639557121
16,Twitter Web Client,Morning Joe nails it: Media Too Busy Cheerleading For Clinton To See The Trump Phenomenon https://t.co/XGEBv5Sl39,,False,Sun Nov 13 02:50:38 +0000 2016,11,797632735414259713
33,Twitter for iPhone,"I — a 51-year-old, a Muslim, an immigrant woman “of color” — am one of those silent voters for Donald Trump. https://t.co/uPfPJtHE4p",,False,Sun Nov 13 02:17:48 +0000 2016,36,797624472811474944
5,Twitter for iPhone,A must read. Real inclusiveness cannot exclude a significant segment of Americans.  https://t.co/9RXJFI6F1b,,False,Sun Nov 13 01:34:38 +0000 2016,1,797613611996876801
