favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
210,Twitter for iPhone,On @FoxNews tonight during @seanhannity with special guest host @ericbolling. Tune in to catch the latest.,,False,Fri Dec 23 00:13:07 +0000 2016,70,812088612137402369
0,Twitter for iPhone,"RT @realDonaldTrump: Someone incorrectly stated that the phrase ""DRAIN THE SWAMP"" was no longer being used by me. Actually, we will always…",,True,Thu Dec 22 18:03:53 +0000 2016,14292,811995691354652672
857,Twitter for iPhone,Congrats to @KellyannePolls Trump picks Kellyanne Conway to serve as counselor to the president–Kellyanne Conway https://t.co/O4Izzq2pLe,,False,Thu Dec 22 12:14:56 +0000 2016,263,811907875312439297
360,Twitter for iPhone,I will be on @foxandfriends today during the 7:00 AM hour. Tune in.,,False,Thu Dec 22 10:56:43 +0000 2016,73,811888190223241216
0,Twitter for iPhone,RT @DanScavino: 'Boeing CEO says he'll build Air Force Ones for less than $4B after Trump meeting' via @dcexaminer @jacqklimas: 📰https://t.…,,True,Thu Dec 22 00:57:34 +0000 2016,1133,811737411055185920
372,Twitter for iPhone,Corey Lewandowski opens D.C. consulting firm https://t.co/8YTHZmp06r,,False,Wed Dec 21 19:20:10 +0000 2016,140,811652501586006016
342,Twitter for iPhone,Lewandowski to open political consulting firm | Washington Examiner https://t.co/gYA3LVtGNK,,False,Wed Dec 21 17:49:00 +0000 2016,125,811629558516617216
311,Twitter for iPhone,The Latest: Lewandowski to open firm near White House https://t.co/BNwvdhc6lY,,False,Wed Dec 21 17:19:09 +0000 2016,138,811622046744592388
1409,Twitter for iPhone,Proud to launch our new venture today to support @realDonaldTrump achieve his agenda in Washington D.C. https://t.co/ZEot6IrvJ4,,False,Wed Dec 21 16:34:43 +0000 2016,709,811610862926659584
687,Twitter for iPhone,"FBI feared Huma Abedin's laptop had been hacked, contained secret emails: Search warrant  https://t.co/86BUUfB2pT",,False,Tue Dec 20 23:04:14 +0000 2016,427,811346499842035713
0,Twitter for iPhone,RT @mike_pence: Congratulations to @RealDonaldTrump; officially elected President of the United States today by the Electoral College!,,True,Tue Dec 20 01:27:55 +0000 2016,10609,811020271830335488
680,Twitter for iPhone,Electoral College poised to make Trump win official https://t.co/aWDwVDyIGa,,False,Mon Dec 19 14:50:13 +0000 2016,237,810859789580468224
533,Twitter for iPhone,"Clinton advisers point fingers at Huma Abedin, inner circle for loss  https://t.co/KFFstVbKKS",,False,Sun Dec 18 21:00:27 +0000 2016,282,810590574692532225
0,Twitter for iPhone,RT @PolyPatriot: @CLewandowski_ Thank you for supporting &amp; defending our President Elect Trump!! MERRY CHRISTMAS 2 YOU AND YOUR FAMILY! 🎄🇺🇸…,,True,Sun Dec 18 17:12:03 +0000 2016,172,810533095669698560
379,Twitter for iPhone,I will be on @FoxNews today during the 11:00 AM hour with @HowardKurtz.,,False,Sun Dec 18 14:21:39 +0000 2016,74,810490212656807937
444,Twitter for iPhone,I'll be on @seanhannity tonight on @FoxNews. Tune in!,,False,Sat Dec 17 00:03:30 +0000 2016,109,809911863156887553
262,Twitter for iPhone,Dollar Climbs to Strongest Since 2003 on Fed Path; Bonds Drop https://t.co/WYW3HaDShh,,False,Thu Dec 15 18:38:03 +0000 2016,114,809467574803202048
1181,Twitter for iPhone,Trump remains winner of Wisconsin after recount https://t.co/YgtxJK1b7x https://t.co/9S9T0eERip,,False,Mon Dec 12 23:26:31 +0000 2016,407,808453005246873602
403,Twitter for iPhone,"VA hospital left deceased veteran in shower room for 9 hours, report finds - Fox News https://t.co/K0tK5WTaOL",,False,Mon Dec 12 02:38:04 +0000 2016,428,808138824522072064
525,Twitter for iPhone,Is Donald Trump already the president? | Washington Examiner https://t.co/Ox9A80ucsS,,False,Thu Dec 08 13:47:12 +0000 2016,199,806857664852590592
1185,Twitter for iPhone,"Federal judge halts recount, sealing Trump's Michigan win !  https://t.co/Q5F9YZ5SRS",,False,Thu Dec 08 04:16:11 +0000 2016,465,806713961513099265
855,Twitter for iPhone,https://t.co/AdeahdmIhv,,False,Wed Dec 07 12:51:25 +0000 2016,318,806481239125479424
0,Twitter for iPhone,RT @TIME: Donald Trump is TIME's Person of the Year 2016 #TIMEPOY https://t.co/5pTGOksevE https://t.co/N8BtqTu9Nl,,True,Wed Dec 07 12:50:42 +0000 2016,17005,806481059764469761
