favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
8,Facebook,You can make a difference!  Help us identify Washington's worst waste of our tax dollars - top finds will be... https://t.co/gIUqPP0Y7Z,,False,Fri Jul 29 20:08:33 +0000 2016,9,759118436891037697
8,Facebook,"""It is refreshing to see that when taxpayers come together and demand change good things can follow.""... https://t.co/67a2SNVzJh",,False,Thu Jul 28 15:46:02 +0000 2016,6,758689984266248192
3,Facebook,Share the facts.  #WashingtonWaste #JusttheFacts https://t.co/OKDH4ULlbI,,False,Thu Jul 07 20:29:39 +0000 2016,4,751151212150611968
1,Facebook,"In Oklahoma's Second Congressional District, I am proud to endorse Jarrin Jackson, a combat veteran who... https://t.co/oYtPr7f3bW",,False,Thu Jun 23 19:55:36 +0000 2016,2,746069212662218752
0,Facebook,https://t.co/YLsjhyu0EA,,False,Wed May 25 20:32:10 +0000 2016,0,735569167479414784
2,Facebook,https://t.co/959EbcbZhX https://t.co/DJ3mkRIgZ9,,False,Mon May 16 19:17:38 +0000 2016,2,732288919715368960
0,Facebook,https://t.co/xO5Dab3aZr,,False,Thu Apr 21 20:31:49 +0000 2016,0,723247891607859200
3,Facebook,From our new non-profit group devoted to empowering young adults to respond to the fiscal mess that my generation... https://t.co/3UV39PL8RN,,False,Wed Mar 30 22:03:02 +0000 2016,2,715298315596918784
1,Facebook,"From the new non-profit I have created, the Foundation to Restore Accountability, comes a St Patrick's Day themed... https://t.co/dZzlc5lURp",,False,Thu Mar 17 16:43:36 +0000 2016,2,710506886580178944
0,Facebook,Like and follow my new Facebook page devoted to young Americans whose future is being mortgaged by Washington... https://t.co/oQRNGrC6Yt,,False,Wed Mar 02 19:47:39 +0000 2016,0,705117382499368960
0,Facebook,"Check out this video on our national debt from Jenks, OK high school student Olivia Hurd.  She's a finalist in... https://t.co/yxcLcD4NM5",,False,Wed Mar 02 15:50:49 +0000 2016,1,705057784337793025
0,Facebook,Congressman Russell is out with his latest Waste Watch.... https://t.co/fdMH8tTP7e,,False,Wed Feb 17 16:18:03 +0000 2016,0,699991204876918784
0,Facebook,"""Shrimp will once again run on a treadmill at taxpayers’ expense.""... https://t.co/6pkavI9zWh",,False,Thu Jan 14 17:29:25 +0000 2016,0,687687977082982400
0,Facebook,I have long said that all 535 members of Congress should be doing Wastebook reports so we can have an informed... https://t.co/wV84XIXAK9,,False,Tue Dec 08 17:39:15 +0000 2015,0,674282101613731844
3,Facebook,I have long said that all 535 members of Congress should be doing Wastebook reports so we can have an informed... https://t.co/7A1fjP0I5S,,False,Tue Dec 08 17:36:57 +0000 2015,1,674281524578111490
1,Facebook,Ten years after the Senate overwhelmingly rejected an amendment I offered to kill the infamous 'bridge to... https://t.co/4RsudvzKZQ,,False,Wed Nov 04 19:38:39 +0000 2015,1,661990962986643456
0,Facebook,Last night I enjoyed spending time in Tulsa with fellow Oklahomans who are eager to stand for liberty—to ACT to... http://t.co/Gs5wB9ZWqf,,False,Tue Mar 24 20:36:22 +0000 2015,0,580468220206977028
2,Facebook,Tune in to @60Minutes this Sunday for Dr. Coburn's final interview as a U.S. Senator http://t.co/GRtcC7Duka,,False,Fri Dec 19 19:02:10 +0000 2014,1,546017664851017729
0,Facebook,"While well-intentioned, H.R. 5059 would do little to change or improve the deplorable situation at the VA, which... http://t.co/nG0QY4nFoT",,False,Tue Dec 16 21:21:40 +0000 2014,2,544965609574785026
1,Facebook,"Thank you, Oklahoma, for the privilege of serving as your senator.... http://t.co/vzJDEgPAN7",,False,Thu Dec 11 20:54:36 +0000 2014,4,543146856268972032
0,Facebook,Dr. Coburn will say goodbye to Washington in his farewell address to the Senate at 11am eastern. Tune in to C-SPAN 2 to watch.,,False,Thu Dec 11 14:16:49 +0000 2014,0,543046752761544704
0,Facebook,"The TAX DECODER highlights reel features Lady Gaga, Starbucks, Ihop and other big time tax breaks. #taxreform... http://t.co/PndAYhQoJj",,False,Tue Dec 09 21:02:57 +0000 2014,0,542424182185672705
0,Facebook,"TAX DECODER 

More than 165 tax expenditures worth over $900 billion this year and more than $5 trillion over the... http://t.co/BDEqsHmahB",,False,Tue Dec 09 14:04:04 +0000 2014,0,542318767691149312
0,Facebook,"Report Decoding the Tax Code to be Released

As Washington politicians rush to pass another end of the year bill... http://t.co/0gf3Rm2bFR",,False,Mon Dec 08 23:07:51 +0000 2014,0,542093225956491265
0,Facebook,Dr. Coburn will discuss social security disability reform @ManhattanInst today at 1pm eastern. Watch live here: http://t.co/r8FJ1rYf90,,False,Fri Nov 21 17:23:45 +0000 2014,0,535846036275601409
0,Facebook,Must read The New York Times article highlighting Congress’ end of the year Christmas tree bill of tax giveaways... http://t.co/YIX4mCNf83,,False,Wed Nov 19 15:04:35 +0000 2014,2,535086241130098688
2,Facebook,We will always remember the sacrifices made by our veterans. Thank you and God bless. #VeteransDay http://t.co/owQjlztkhY,,False,Tue Nov 11 15:00:17 +0000 2014,0,532186055941046272
