favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,"RT @realDonaldTrump: Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for INNOVATION &amp; JOB CREATION.
h…",,True,Wed Jan 04 00:38:44 +0000 2017,8665,816443714126102528
0,Twitter for iPhone,"RT @mike_pence: Ford cancels Mexico factory. Creates 700 MI jobs in ""vote of confidence"" for pro-growth policies of @realDonaldTrump https:…",,True,Wed Jan 04 00:38:33 +0000 2017,2953,816443666264887296
3369,Instagram,It's not often that you get to spend #NYE with #Rocky and #Rambo😂🇺🇸🇺🇸🇺🇸 awesome to hang out with… https://t.co/9ZbNjDhII8,,False,Tue Jan 03 01:42:24 +0000 2017,459,816097345750364160
5621,Instagram,"From our family to yours, Happy New Year! Thank you all for an extraordinary year, we look… https://t.co/Tv77jXSuV4",,False,Mon Jan 02 13:51:21 +0000 2017,654,815918407166160897
23312,Twitter for iPhone,Our family wanted to wish you &amp; yours a safe and prosperous New Year. We are excited to see all that 2017 will bring https://t.co/eiT1gdh5uj,,False,Mon Jan 02 01:47:39 +0000 2017,3379,815736280025890816
1606,Instagram,Kai having fun (but also getting a little sleepy) around midnight with grandpa @realdonaldtrump… https://t.co/dC6UYVOSJl,,False,Sun Jan 01 20:26:11 +0000 2017,205,815655380445446145
2781,Instagram,Remembering some exciting times with some incredible people in 2016. #newyear #2016 @ Mar-a-Lago https://t.co/3z46qj0Ecl,,False,Sun Jan 01 15:19:08 +0000 2017,414,815578108422189056
31989,Twitter for iPhone,Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq,,False,Sun Jan 01 04:49:03 +0000 2017,4924,815419542440648704
6623,Instagram,Vanessa and the kids surprised me with my favorite carvel ice cream cake by the beach today. I… https://t.co/cE87QZl0X3,,False,Sat Dec 31 22:18:38 +0000 2016,648,815321291565711360
17775,Twitter for iPhone,Pretty sure this is @realdonaldtrump and me years ago today. #birthday #newyearseve #newyear #throwback https://t.co/ieVG7Zs0Is,,False,Sat Dec 31 17:21:42 +0000 2016,3626,815246564176367616
3128,Instagram,Ok too funny. Chloe wanted to wear her baby bikini but not sure it's designed to go over a swim… https://t.co/IZBB9pVfHA,,False,Sat Dec 31 02:45:44 +0000 2016,240,815026121716748288
3797,Twitter for iPhone,Good follow through from my little man. #golf #florida #kidsgolf #vacation https://t.co/lg9S5gfuRB,,False,Fri Dec 30 20:21:24 +0000 2016,406,814929400248631296
1985,Instagram,Tristan and Spencer are loving the bouncy castles trumpgolfpalmbeach kids day. @trumpgolf… https://t.co/MHEKhQVnhh,,False,Fri Dec 30 17:06:37 +0000 2016,219,814880382214668288
2537,Instagram,Always a nice surprise when you pull a Peacock Bass out of the lake. #bassfishing #peacock… https://t.co/HqEd0SxgpV,,False,Fri Dec 30 02:57:25 +0000 2016,288,814666674792173569
1168,Instagram,Time to go fly a kite. #sailfish #fishing #florida https://t.co/t2M4vrFnvc,,False,Thu Dec 29 12:58:07 +0000 2016,114,814455456110444544
2219,Instagram,Great to get out with the boys this afternoon for a little #rangetime etc. #outdoors #florida… https://t.co/urOaX4VP1R,,False,Thu Dec 29 02:47:22 +0000 2016,270,814301758214336512
0,Twitter for iPhone,RT @netanyahu: My response to US Secretary of State John Kerry's speech: https://t.co/0Sk6rtY9OL,,True,Wed Dec 28 23:44:05 +0000 2016,4756,814255634023649280
0,Twitter for iPhone,RT @FrankLuntz: John Kerry’s Israel speech sums up Obama foreign policy of the past 8 years:  Be tougher on our allies than we are on our e…,,True,Wed Dec 28 23:43:20 +0000 2016,4830,814255443073728512
0,Twitter for iPhone,"RT @netanyahu: President-elect Trump, thank you for your warm friendship and your clear-cut support for Israel! 🇮🇱🇺🇸

@IvankaTrump @DonaldJ…",,True,Wed Dec 28 18:59:40 +0000 2016,19689,814184057324060672
