favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,RT @TrumpGolf: The Best New Golf Courses of 2016: #AilsaCourse at @TrumpTurnberry awarded 'International Renovation of the Year' https://t.…,,True,Thu Dec 22 15:54:06 +0000 2016,112,811963031777378304
0,Twitter for iPhone,RT @LaraLeaTrump: Greetings from #DC 🇺🇸 #MAGA https://t.co/5TZVydcWg8,,True,Wed Dec 21 00:37:00 +0000 2016,464,811369847531696128
0,Twitter for iPhone,RT @LaraLeaTrump: #throwback 11/09/16 around 3:30am #MAGA 🇺🇸 https://t.co/6k6IyccOAd,,True,Fri Dec 16 11:34:44 +0000 2016,457,809723430132191232
0,Twitter for iPhone,"RT @DonaldJTrumpJr: Office Christmas Party, of course the 2 brothers couldn't make it through a basic picture before starting to wrestle ht…",,True,Thu Dec 15 04:52:49 +0000 2016,2304,809259897850363904
0,Twitter for iPhone,RT @FoxBusiness: #BREAKING: Dow closes at record high. https://t.co/WiDgHFqh8i,,True,Tue Dec 13 03:14:06 +0000 2016,783,808510278715510785
0,Twitter for iPhone,RT @FoxNews: Dow this week. https://t.co/8orUCXVcBw,,True,Sun Dec 11 18:32:38 +0000 2016,594,808016661240369152
87,Twitter for iPhone,@TrumpGolfDC was just rated #3 Best New Private Golf Course! Proud of our team and this amazing property!  https://t.co/BM73no65DR,TrumpGolfDC,False,Fri Dec 09 19:37:26 +0000 2016,33,807308190031417344
0,Twitter for iPhone,"RT @dmartosko: Picking ""CMR"" to run Interior would give Trump's initial cabinet the most women in history https://t.co/BC4eOvsnz3 via @Mail…",,True,Fri Dec 09 19:31:36 +0000 2016,761,807306721270042626
0,Twitter for iPhone,RT @EricTrumpFdn: Click Here to Bid on a Private Coffee with Ivanka Trump in NYC or DC to benefit The @EricTrumpFdn for @StJude!  🙏🏽  https…,,True,Tue Dec 06 21:46:57 +0000 2016,164,806253620169736192
11175,Twitter for iPhone,"The Sad Truth: The Cost Of Stein/Clinton's #Wisconsin Vote Recount Could Have Saved At Least 5,000 Children's Lives https://t.co/sMNQJDfppt",,False,Sun Dec 04 21:01:00 +0000 2016,6790,805517281333837824
0,Twitter for iPhone,"RT @LynnePatton: ""@realDonaldTrump is asking you to dream BIG, BOLD and DARING things for your country once again."" ~ @TeamTrump 🇺🇸 #Americ…",,True,Fri Dec 02 12:11:14 +0000 2016,1204,804659185245884420
0,Twitter for iPhone,RT @Trump: Lighting up Pennsylvania Avenue with a new level of luxury @TrumpDC #NeverSettle https://t.co/Yse2R3QnzL,,True,Thu Dec 01 01:03:23 +0000 2016,386,804128726686597120
0,Twitter for iPhone,RT @foxandfriends: .@Carrier employee Robin Maynard's message to Trump and Pence: 'Thank you for sticking to your word and going to bat for…,,True,Wed Nov 30 18:13:53 +0000 2016,2891,804025672343625728
0,Twitter for iPhone,"RT @Carrier: We are pleased to have reached a deal with President-elect Trump &amp; VP-elect Pence to keep close to 1,000 jobs in Indy. More de…",,True,Wed Nov 30 11:58:45 +0000 2016,19093,803931267096084480
3163,Twitter for iPhone,Trump Wins Again! Turnberry Is Our Number 1 UK &amp; Ireland Golf Course https://t.co/5kzf4aRwUq,,False,Wed Nov 23 16:43:08 +0000 2016,783,801466122600116224
6794,Twitter for iPhone,Really enjoyed spending the day with our amazing team at  @TrumpDC! It is great to be back to work! @mdamelincourt https://t.co/bIXCMoi2sG,,False,Wed Nov 23 00:37:39 +0000 2016,1353,801223150830813184
0,Twitter for iPhone,RT @Trump: Beautiful start to #ThanksgivingWeek at @TrumpWinery! https://t.co/VU2CgoBpaW,,True,Mon Nov 21 23:14:47 +0000 2016,308,800839908323631104
0,Twitter for iPhone,"RT @bostonherald: .@AdrianaCohen16: Kids should be in play for Donald Trump
https://t.co/SM7mYh6cCb https://t.co/RaUNu9QQHf",,True,Sat Nov 19 16:40:07 +0000 2016,276,800015811310157824
0,Twitter for iPhone,"RT @JTSantucci: Ford: ""We confirmed w/ the President-elect that our small Lincoln utility vehicle made at the Louisville Assembly Plant wil…",,True,Fri Nov 18 04:17:54 +0000 2016,1688,799466638361784320
0,Twitter for iPhone,"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",,True,Fri Nov 18 04:13:18 +0000 2016,49599,799465481405157379
0,Twitter for iPhone,RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…,,True,Fri Nov 18 04:12:35 +0000 2016,29298,799465299733073920
0,Twitter for iPhone,RT @FoxNews: Dow rally since @realDonaldTrump win. https://t.co/rqAI6bc8QY,,True,Fri Nov 18 00:55:34 +0000 2016,2059,799415719406354432
0,Twitter for iPhone,RT @Trump: An experience unlike any other @TrumpScotland #TravelTuesday https://t.co/mGkcXbYNgP,,True,Wed Nov 16 00:02:36 +0000 2016,363,798677612247871489
0,Twitter for iPhone,RT @TrumpGolf: There's always time to fit in a sunset round on a calm New York City night @TrumpFerryPoint https://t.co/9XxUYUq0on https://…,,True,Sat Nov 12 11:53:46 +0000 2016,327,797407034522140673
0,Twitter for iPhone,RT @LaraLeaTrump: God bless all who serve our country -- we are grateful. #HappyVeteransDay #GodBlessAmerica 🇺🇸 https://t.co/y3U44WnKW0,,True,Fri Nov 11 12:50:14 +0000 2016,2693,797058857449230337
6378,Twitter for iPhone,Thanks Ed! It was an an incredible honor to support my father in this movement! 🇺🇸🇺🇸🇺🇸 https://t.co/4UQcpIfFiV,,False,Fri Nov 11 12:47:46 +0000 2016,1373,797058234414723072
