favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
862,Twitter for iPhone,ARMY NAVY FOOTBALL GAME TODAY -- GOD BLESS THE USA FOR ALL OUR SERVICE MEN AND WOMEN!!! THEY ARE SIMPLY THE BEST 🇺🇸👍 https://t.co/XbDWF84dX5,,False,Sat Dec 10 18:40:58 +0000 2016,362,807656369675452416
4400,Twitter for iPhone,"Thanks to all for your continued support. Transition moving forward at a fast, smart pace. @realDonaldTrump &amp; @mike_pence are already #MAGA",,False,Sat Dec 10 12:31:57 +0000 2016,1598,807563502462373888
2935,Twitter for iPhone,Counting down to #MAGA follow @TrumpInaugural https://t.co/ixv89i0n4L,,False,Thu Dec 08 18:44:25 +0000 2016,1308,806932459237548032
1195,Twitter for iPhone,Fear Not The Generals – #Trump #Generals #leadership #TrumpCabinet #Marshall #Flynn #Mattis - Thank U @jason_c_howk  https://t.co/DQZ2e36pr9,,False,Sun Dec 04 20:09:28 +0000 2016,587,805504311958667266
6744,Twitter for iPhone,General Mattis...another amazing choice for our country. @realDonaldTrump &amp; @mike_pence mean what they say! We will… https://t.co/rI47Abqi4S,,False,Fri Dec 02 10:29:26 +0000 2016,3281,804633566793572352
8603,Twitter for iPhone,"We are going to win and win and win at everything we do. It is going to be tough, but Team Trump-Pence will #MAGA 🇺🇸🍀🏄",,False,Fri Dec 02 03:33:33 +0000 2016,3710,804528907978412033
16928,Twitter for iPhone,So proud &amp; honored to have KT McFarland as part of our National Security team. She will help us #MAGA,,False,Fri Nov 25 17:37:01 +0000 2016,6644,802204456964255744
8886,Twitter for iPhone,"From my family to all of you, Happy Thanksgiving and God Bless America 🇺🇸 #MacysParade https://t.co/adFuyZDOKI",,False,Thu Nov 24 13:09:50 +0000 2016,3392,801774828743069696
17264,Twitter for iPhone,Humbled and honored to serve America and #POTUS45 as APNSA - I want 2 thank all who supported our team. Now let's #MAGA #FridayFeeling,,False,Fri Nov 18 20:29:15 +0000 2016,7734,799711087973306368
8032,OS X,THE BEST PEOPLE WE HAVE IN OUR COUNTRY SERVE OR HAVE SERVED IN OUR ARMED FORCES. THANK YOU ALL FOR STANDING WATCH. https://t.co/xi7JMCBKuK,,False,Fri Nov 11 04:39:10 +0000 2016,4654,796935275368878081
14099,OS X,"THANK YOU VETERANS!!!

RT AS OFTEN AS YOU CAN

AMERICA THE BEAUTIFUL https://t.co/TfkdIQZqaK",,False,Fri Nov 11 04:37:13 +0000 2016,11650,796934785826508800
6722,OS X,Max - He’s been an @realdonaldtrump supporter from the beginning. Ya gotta love this picture. Go Max!!! https://t.co/IN7VQfmZJI,,False,Wed Nov 09 15:14:35 +0000 2016,2364,796370406722637826
9702,Twitter for iPhone,"Thank you to all who sent me messages (good, bad &amp; some really ugly 1's)...We R going to #MAGA and we are going to start winning again! RT",,False,Wed Nov 09 06:45:24 +0000 2016,4592,796242266553798656
0,Twitter for iPhone,RT @GenFlynn: Just read the first paragraph. Teddy Roosevelt - The Man In The Arena @realDonaldTrump is this man. God Bless USA! https://t.…,,True,Wed Nov 09 06:38:04 +0000 2016,1321,796240419726196739
2454,Twitter for iPhone,Just read the first paragraph. Teddy Roosevelt - The Man In The Arena @realDonaldTrump is this man. God Bless USA! https://t.co/MobktXt8e1,,False,Tue Nov 08 23:38:14 +0000 2016,1321,796134767163011072
2971,Twitter for iPhone,What a great privilege. Thank you 2 all our Veterans &amp; Military who have &amp; continue 2 sacrifice for us 2 have the p… https://t.co/KzWIr6p92f,,False,Tue Nov 08 18:34:12 +0000 2016,1576,796058255097270272
2308,Twitter for iPhone,"Wow, the future of R country just got way brighter!!! Congrats 2 @mflynnJR Great day 2 announce 2 the social media… https://t.co/VaVPJbJE78",,False,Tue Nov 08 18:29:23 +0000 2016,962,796057040212922369
3929,Twitter for iPhone,Medal of Honor recipients 4 @realDonaldTrump Thank you to all 22 MOH recipients who stood shoulder 2 shoulder w/ us. https://t.co/4SCh1ML0N7,,False,Tue Nov 08 14:40:19 +0000 2016,2468,795999397314265089
4487,Twitter for iPhone,"Today is a vote for the very heart and soul of America. VOTE for leadership, vote for opportunity, &amp; vote for our future! @realDonaldTrump",,False,Tue Nov 08 12:48:41 +0000 2016,2830,795971302666420224
0,Twitter for iPhone,"RT @DanScavino: NO POTUS - or former POTUS campaigning for him. No free concerts to draw a crowd. It's TRUMP, the American flag, family &amp; y…",,True,Tue Nov 08 12:46:00 +0000 2016,9224,795970625970012160
0,Twitter for iPhone,RT @realDonaldTrump: TODAY WE MAKE AMERICA GREAT AGAIN!,,True,Tue Nov 08 12:45:25 +0000 2016,352160,795970479920181248
2253,Twitter Web Client,#ImVotingBecause @realDonaldTrump &amp; @mike_pence will be our next POTUS &amp; VPOTUS ... This is great news for America!… https://t.co/qWsElNoP8L,,False,Tue Nov 08 03:36:38 +0000 2016,1833,795832375997562880
3754,Twitter Web Client,#ImVotingBecause this is the family I want living in the White House representing our next POTUS @realDonaldTrump T… https://t.co/rzGKaFOJzf,,False,Tue Nov 08 03:31:06 +0000 2016,2176,795830983375392768
1103,Twitter Web Client,#ImVotingBecause @realDonaldTrump &amp; @mike_pence w/ a leading cast of great Americans will #MAGA3X https://t.co/eg2p60lP1a,,False,Tue Nov 08 03:28:42 +0000 2016,751,795830378552500224
0,Twitter for iPhone,"RT @realDonaldTrump: Today in Florida, I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: ht…",,True,Tue Nov 08 01:15:41 +0000 2016,13925,795796901153112064
653,Twitter for iPhone,#ElectionFinalThoughts - Will the Cuban vote decide FL for @realDonaldTrump ? @MAGA3X #draintheswamp @FieldofFight  https://t.co/LuO05gej82,,False,Tue Nov 08 01:09:23 +0000 2016,453,795795318990323712
941,Twitter for iPhone,"YOU GOT THAT RIGHT!!! 

VOTE 4 🇺🇸 VOTE 4 @realDonaldTrump &amp; @mike_pence @mflynnJR @LindaSuhler @Cernovich… https://t.co/pbn3AK4wnq",,False,Mon Nov 07 22:41:07 +0000 2016,600,795758003639222273
0,Hootsuite,"RT @GenFlynn: If 10 min, u will no Y we will win - Gen. Flynn: The people of this country have an easy choice via the @FoxNews App https://…",,True,Mon Nov 07 22:32:00 +0000 2016,450,795755709556211713
769,Twitter for iPhone,"If 10 min, u will no Y we will win - Gen. Flynn: The people of this country have an easy choice via the @FoxNews App https://t.co/qDb2qTtMyY",,False,Mon Nov 07 22:21:46 +0000 2016,450,795753133842501632
1358,Twitter for iPhone,WikiLeaks: Bill Clinton Says White Working Class Hopeless - this includes many of my friends. VOTE @realDonaldTrump  https://t.co/Q4pOlw54HY,,False,Mon Nov 07 21:53:44 +0000 2016,1577,795746081053274112
2630,Twitter for iPhone,I don't need anymore bombshells 2 decide. VOTE 4 big change; VOTE 4 @realDonaldTrump &amp; @mike_pence &amp; let's #MAGA3X God knows we need it!!!,,False,Mon Nov 07 20:43:15 +0000 2016,1721,795728343459102720
755,Twitter for iPhone,RT - Liberated Iraqi Christians Hope @realDonaldTrump Wins: 'Obama Abandoned Us' VOTE 2 #MAGA3X @FieldofFight  https://t.co/Xkq7CbLhIg,,False,Mon Nov 07 18:59:23 +0000 2016,728,795702204409741312
1012,Twitter for iPhone,"4 Real Criminal Justice Reform &amp; Government Accountability, I’m Voting 4 Donald Trump, &amp; here's why. A good read! https://t.co/KmoWY0959u",,False,Mon Nov 07 18:56:45 +0000 2016,816,795701539167997952
0,Twitter for iPhone,"RT @GenFlynn: When the going gets tough, the tough get going. Everyone needs to stay steady. We are going to win. Focus, vote and remember,…",,True,Mon Nov 07 18:37:43 +0000 2016,5466,795696749788667904
