favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
305,Instagram,"A great American tradition. Yesterday fierce opponents, today they are brothers in arms ready to… https://t.co/FKEhu8Hg4Z",,False,Sun Dec 11 13:02:54 +0000 2016,80,807933681339756544
129,Instagram,Presentation of Corps @ Army/Navy game. #godblessamerica https://t.co/1SWTRCVuFt,,False,Sat Dec 10 17:51:31 +0000 2016,38,807643924953067521
142,Instagram,In preparation of Army/Navy game.  On campus of USNA w/Brett &amp; Sydney. https://t.co/zE7zIWoxUe,,False,Sat Dec 10 02:29:19 +0000 2016,28,807411845170462720
106,Instagram,My first opportunity to attend this great event next weekend.… https://t.co/Wrlma1YtjH,,False,Sat Dec 03 14:57:41 +0000 2016,25,805063464410451968
220,Instagram,One of those memorable moments during #dwts. Our prayers to the family &amp; friends of Florence… https://t.co/YshF6VaEj7,,False,Fri Nov 25 23:15:23 +0000 2016,45,802289609581301760
88,Instagram,The original Thanksgiving??? https://t.co/TUiegPDVyY https://t.co/Ag7wUiSn6q,,False,Thu Nov 24 21:01:33 +0000 2016,28,801893541244866560
267,Instagram,1 Thessalonians 5:18 Happy Thanksgiving to all. https://t.co/xWg3igQdPr,,False,Thu Nov 24 14:15:39 +0000 2016,62,801791395052679169
185,Instagram,Military Appreciation Day @ Kyle Field TAMU #godblesstexas https://t.co/xxkqkLdX9C,,False,Sun Nov 13 00:34:54 +0000 2016,41,797598580169027584
185,Instagram,Thanks SWA for recognizing our veterans. Great airline!! #lovefield https://t.co/vtaRotFmzx,,False,Fri Nov 11 14:35:08 +0000 2016,50,797085254536179712
152,Instagram,"Happy Birthday, 
Devil Dogs! #USMC https://t.co/Bjb93rc0jd",,False,Thu Nov 10 18:44:34 +0000 2016,42,796785637454008320
403,Instagram,Big winners last night!!  2nd Amendment &amp; NRA courtesy of LaRue Tactical &amp; a few good shooters!! https://t.co/qX3D8vbsfT,,False,Thu Nov 10 01:07:50 +0000 2016,86,796519702079995906
835,Instagram,"Just got a call to #makeamericagreatagain  Saddle up &amp; ride, bro!!
#godblessamerica https://t.co/KffXN7olzV",,False,Wed Nov 09 17:12:22 +0000 2016,331,796400050062573568
67,Instagram,https://t.co/Br1MVBduil one of the cooler things I've seen in a while.  Texas made of course!!… https://t.co/yC3tbinsOI,,False,Wed Nov 09 17:07:06 +0000 2016,15,796398724121399296
857,Twitter for iPhone,"The people have spoken! Congratulations @realDonaldTrump, Mr. President elect. #Election2016 #MAGA",,False,Wed Nov 09 16:35:51 +0000 2016,244,796390858971082752
173,Instagram,Happy birthday to the Luttrell boys. #americanpatriots #godblesstexas https://t.co/wyC69eJsck,,False,Mon Nov 07 20:55:50 +0000 2016,67,795731507939721216
214,Instagram,Cumberland County PA #trump country!!  Pennsylvania is in play! https://t.co/ZJQ1b6S4BZ,,False,Sat Nov 05 23:05:53 +0000 2016,78,795039462740795392
