favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
3864,Twitter Web Client,"Congrats to my brilliant, kind &amp; wickedly funny friend Hope Hicks on being named to the @Forbes #30Under30 list! https://t.co/s3YO9Eq83Z",,False,Wed Jan 04 22:09:35 +0000 2017,528,816768567517581312
0,Twitter for iPhone,"RT @realDonaldTrump: TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we wo…",,True,Sun Jan 01 21:37:16 +0000 2017,28211,815673270036873217
5190,Twitter for iPhone,"Looking forward to an incredible year to come! From my family to yours, happy new year! 💫#happynewyear #2017 https://t.co/ZaIYGWnS8q",,False,Sun Jan 01 19:35:15 +0000 2017,555,815642563663118337
10567,Twitter for iPhone,New Year's Eve + Last Night of Chanukah https://t.co/38wgnXmqC0,,False,Sun Jan 01 10:23:16 +0000 2017,1237,815503651628138497
54131,Twitter for iPhone,"2016 has been one of the most eventful and exciting years of my life. I wish you peace, joy, love and laughter. Hap… https://t.co/A1I3tvTySZ",,False,Sun Jan 01 04:24:25 +0000 2017,8383,815413345935355904
16690,Twitter for iPhone,Chasing waterfalls 💦 https://t.co/dT2gZgBBjo,,False,Sat Dec 31 03:09:23 +0000 2016,977,815032074352459776
8752,Twitter for iPhone,Beach buddy https://t.co/dO6pF45Cv8,,False,Fri Dec 30 19:50:26 +0000 2016,716,814921609433653248
3261,Twitter for iPhone,https://t.co/M4pp4RxVB9,,False,Fri Dec 30 04:19:54 +0000 2016,294,814687432666820608
3772,Twitter for iPhone,Hawaii 📷@JoshuaKushner https://t.co/iIx9Xcz0DY,,False,Thu Dec 29 21:07:10 +0000 2016,300,814578532110086144
1301,Twitter for iPhone,Kilauea volcano https://t.co/rBvlmpj4GM,,False,Thu Dec 29 18:53:13 +0000 2016,173,814544821788389377
0,Twitter Web Client,RT @IvankaTrumpHQ: The #WomenWhoWorkBook is in great company on the @washingtonpost's 2017 reading list—coming this spring! https://t.co/ab…,,True,Thu Dec 29 00:00:02 +0000 2016,163,814259647385403392
3499,Twitter for iPhone,🔥🔥🔥 https://t.co/9V4pGceTXk,,False,Wed Dec 28 06:57:44 +0000 2016,427,814002376122085376
8665,Twitter for iPhone,Hawaii https://t.co/obypNgRlem,,False,Mon Dec 26 08:03:43 +0000 2016,655,813294205539758080
26294,Twitter for iPhone,This year is one of the rare and special occasions where Hanukkah and Christmas coincide. Merry Christmas &amp; Happy H… https://t.co/9W8RgSR1sn,,False,Mon Dec 26 03:55:44 +0000 2016,4533,813231796297068544
5717,Twitter for iPhone,Are visions of sugarplums dancing in your head? #MuchMuchLatergram from my #Nutcracker days! @LincolnCenter https://t.co/v2ymOc1izA,,False,Sun Dec 25 01:50:31 +0000 2016,558,812837900157153280
4747,Twitter for iPhone,Ta-da!! A little throwback from @WollmanRink in honor of the first day of #winter ⛸ #wintersolstice #wollmanrink https://t.co/ybRQQoJn3X,,False,Wed Dec 21 19:31:14 +0000 2016,571,811655285353906176
1177,Twitter for iPhone,"I had a night out with the @IvankaTrumpHQ Editorial Director, Sarah, to celebrate the completion of our… https://t.co/vT6Wk95IEm",,False,Tue Dec 20 21:14:20 +0000 2016,194,811318844690206720
8982,Twitter for iPhone,Heartbroken by the news of the Berlin Christmas market attack. Sending my thoughts &amp; prayers to the victims &amp; families.,,False,Tue Dec 20 14:25:35 +0000 2016,1552,811215977111257088
6577,Twitter for iPhone,It is definitely turtleneck weather in #NYC. Can't wait for more snow! ❄️ https://t.co/kJApO0CKCr,,False,Mon Dec 19 14:23:16 +0000 2016,591,810853007239823360
9479,Twitter for iPhone,❤️❤️❤️ https://t.co/aM6zMOHRJG,,False,Sun Dec 18 21:55:37 +0000 2016,726,810604458715521024
8343,Twitter Web Client,"My father met with the greatest tech industry leaders to discuss fueling economic growth, job creation and innovati… https://t.co/r8KaxPxM7L",,False,Thu Dec 15 16:38:40 +0000 2016,2068,809437529829212160
0,Twitter for iPhone,RT @Reince: Today's tech summit included productive discussions about job creation &amp; economic growth. We're on track to make America first…,,True,Thu Dec 15 02:40:14 +0000 2016,2973,809226530173886464
1419,Twitter Web Client,.@tferriss thank you for the sweet note. I can't wait to read #ToolsofTitans! Congratulations on the launch of your… https://t.co/cMCrntPuQW,,False,Mon Dec 12 17:36:01 +0000 2016,182,808364798597615616
5980,Twitter for iPhone,Sunlight pouring in at @TrumpDC  ☀️ https://t.co/C9MUz3KGl8,,False,Sun Dec 11 17:15:10 +0000 2016,701,807997165763231744
2116,Twitter Web Client,Arabella loves hanging around for #FitnessFriday 💪 https://t.co/bwyp8PXdBy,,False,Fri Dec 09 20:49:58 +0000 2016,201,807326445743775744
2270,Twitter Web Client,"Let's bowl, let's bowl, let's rock &amp; roll! Grease 2, anyone?!? At @bowlmorlanes with @IvankaTrumpHQ last night!… https://t.co/bOoUJkIps7",,False,Fri Dec 09 18:37:46 +0000 2016,202,807293176604196864
1794,Twitter for iPhone,Giving Theodore a FaceTime tour of the new @IvankaTrumpHQ space. He can't wait to come visit! #Latergram https://t.co/5vkM3bp1Jg,,False,Mon Dec 05 22:53:07 +0000 2016,179,805907883720404993
12710,Twitter for iPhone,"Santa being ""rescued"" from the rooftop of the New York City Fire Museum. A great annual event! Thank you firefighte… https://t.co/ylDqcYEKYC",,False,Sun Dec 04 20:00:42 +0000 2016,2706,805502107277283329
1168,Twitter Web Client,Solid advice from career coach @_heathermonahan: https://t.co/MkrjeeSn8F,,False,Wed Nov 30 16:45:18 +0000 2016,224,804003381400453121
4472,Percolate,"In honor of #GivingTuesday, support @WreathsAcross, an organization placing wreaths in memory of our fallen veterans.https://t.co/yaLUMUUgel",,False,Tue Nov 29 18:05:01 +0000 2016,1097,803661055461183488
13814,Twitter for iPhone,Sending love and prayers to the Ohio State University campus and community following today's tragic events. #OhioState,,False,Mon Nov 28 22:52:09 +0000 2016,2491,803370924863012864
15568,Twitter Web Client,"My husband, Jared, was profiled in @Forbes December.  I'm so proud of him—he amazes me every day! https://t.co/EwaHEbcDYA",,False,Mon Nov 28 15:21:20 +0000 2016,2991,803257475591995392
5287,Twitter for iPhone,"Lol. Of course, you are right! Only in a baby's first year of life would a parent ""celebrate"" a child's birthday on… https://t.co/Q5UCs5OyF6",,False,Sun Nov 27 21:12:59 +0000 2016,505,802983582725709824
36971,Twitter for iPhone,I cannot believe that Theodore is 8 months old today! Happy birthday little teddy bear! 🐻🍰🍼 https://t.co/j6EpYVQDSd,,False,Sun Nov 27 14:28:39 +0000 2016,8396,802881830886211584
6363,Twitter for iPhone,Swinging into the weekend #thanksgiving https://t.co/WOcZVtpyTY,,False,Fri Nov 25 21:10:00 +0000 2016,561,802258056071487488
9294,Twitter for iPhone,Post #Thanksgiving dinner. Is it too early for seconds? 😉 https://t.co/oQXG8PrNdw,,False,Fri Nov 25 01:13:36 +0000 2016,968,801956971796721664
20734,Twitter for iPhone,I feel incredibly blessed and thankful on this #Thanksgiving day. Wishing you and your families a very happy Thanks… https://t.co/3QzaD2xpid,,False,Thu Nov 24 21:34:25 +0000 2016,2595,801901813205233664
9065,Twitter for iPhone,Watching the parade. Happy Thanksgiving to all!! 🦃 #thanksgiving #happythanksgiving #macys… https://t.co/PoSJilowMY,,False,Thu Nov 24 14:38:20 +0000 2016,1036,801797104024821760
10238,Twitter for iPhone,"Loved being Arabella's kindergarten class parent chaperone on her school's ""Keeping it Green"" field trip to Central… https://t.co/i03VDq9vZe",,False,Wed Nov 23 21:02:59 +0000 2016,939,801531514186067969
