favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,"RT @KellyannePolls: False. We're not in the business of furnishing 10-minute Sunday show interviews so media can choose which ""soundbite"" t…",,True,Sun Jan 08 17:49:59 +0000 2017,3629,818152784763781120
883,Twitter Web Client,"The prep work being done here is notable: ""Trump’s Cabinet picks undergo grueling prep for hearings https://t.co/R7moaTHWUm""",,False,Sun Jan 08 14:19:47 +0000 2017,316,818099888122687490
0,Twitter for iPhone,"RT @seanspicer: Current @StateDept spox ""when u r a political appointee in this or any other Admin u have no expectation of staying on. Tha…",,True,Sun Jan 08 13:50:45 +0000 2017,362,818092580143591424
558,Twitter Web Client,"Smart read from Peter Roff: ""Republicans Must Fight the Progressive Challenge to Trump and His Nominees | US News https://t.co/ewGEkP75gZ""",,False,Sat Jan 07 21:22:09 +0000 2017,315,817843791822458883
657,Twitter for iPhone,Sen. Dan Coats (R-IN) now the official nominee for DNI - another strong pick - AP coverage here: https://t.co/3c6MYlnkQg,,False,Sat Jan 07 13:42:34 +0000 2017,226,817728132388155393
0,Twitter for iPhone,RT @EricTrump: Thank you @MaggieNYT &amp; @EricLiptonNYT: Hospital Confirms Eric Trump Helped Raise $16.3 Million -NYTimes.com #StJude  https:/…,,True,Sat Jan 07 01:11:30 +0000 2017,2534,817539120356532225
0,Twitter for iPhone,"RT @FoxNewsResearch: #Trump first revealed ""reimbursement"" plan during 10/22/16 ""Contract for the American Voter"" speech in Gettysburg http…",,True,Fri Jan 06 12:00:33 +0000 2017,483,817340074660601856
203,Twitter Web Client,Dem Manchin lauds Trump’s EPA pick https://t.co/qi7g0hxbVV,,False,Fri Jan 06 02:02:40 +0000 2017,101,817189612405800960
557,Twitter Web Client,57% of Democrats Want Trump to Succeed - Rasmussen Reports™ https://t.co/puQg4RqE4V,,False,Thu Jan 05 19:34:41 +0000 2017,275,817091972703944704
146,Twitter for iPhone,"Great news also, and congrats to Martha! https://t.co/NUEHkr1RE3",,False,Thu Jan 05 15:51:09 +0000 2017,49,817035717486538755
0,Twitter for iPhone,"RT @mikememoli: .@seanspicer, re WSJ story: ""There is no truth to this idea of restructuring the intelligence community infrastructure. It…",,True,Thu Jan 05 15:44:39 +0000 2017,91,817034079870877698
404,Twitter for iPhone,Huge!!! https://t.co/zHoA8yOfj7,,False,Thu Jan 05 15:12:48 +0000 2017,142,817026064698503168
0,Twitter for iPhone,"RT @realDonaldTrump: to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fa…",,True,Thu Jan 05 14:04:37 +0000 2017,6912,817008908514508800
0,Twitter for iPhone,"RT @realDonaldTrump: The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it…",,True,Thu Jan 05 14:04:34 +0000 2017,7820,817008894887260164
197,Twitter for iPhone,Big league @realDonaldTrump hires! https://t.co/iev93gZERW,,False,Wed Jan 04 18:40:21 +0000 2017,85,816715912028061696
533,Twitter Web Client,Ford cancels Mexico plant. Will create 700 U.S. jobs in 'vote of confidence' in Trump https://t.co/3Y9f3lqGuW via @CNNMoney,,False,Tue Jan 03 16:21:09 +0000 2017,238,816318492639105025
296,Twitter Web Client,"With Trump's win, America sees a brighter future https://t.co/lZZie7ToDq via @nypost",,False,Tue Jan 03 16:03:33 +0000 2017,127,816314063693160452
0,Twitter for iPhone,"RT @mikeallen: Trump to announce Rick Dearborn as a Deputy Chief of Staff for legislative, intergovernmental and Cabinet affairs, w/ Marc S…",,True,Tue Jan 03 13:15:16 +0000 2017,93,816271714262929408
410,Twitter Web Client,Democrats Face a Rough Electoral Path to the Midterms https://t.co/kGlvsSapB3,,False,Thu Dec 29 13:14:20 +0000 2016,164,814459540108431362
770,Twitter Web Client,"Trump re-ups criticism of United Nations, saying it's causing problems, not solving them https://t.co/LLowMFmuEA",,False,Thu Dec 29 13:11:50 +0000 2016,356,814458907280232448
214,Twitter Web Client,Donald Trump’s Top 10 Campaign Moments - Breitbart https://t.co/0C08k2hnfZ,,False,Thu Dec 29 13:09:05 +0000 2016,102,814458216872546304
0,Twitter for iPhone,"RT @seanspicer: great piece in @usatoday about @SenatorSessions by @pynance - Sessions will fight for women 
https://t.co/EYeI24a5hy",,True,Wed Dec 28 22:54:34 +0000 2016,931,814243169801891840
986,Twitter Web Client,"Trump says Sprint will bring 5,000 jobs back to the US; OneWeb will create 3,000 jobs https://t.co/gxh5vmIuVA",,False,Wed Dec 28 22:43:59 +0000 2016,425,814240508591611904
495,FOX News Login,"Gingrich: The other half of Trump's 'jobs, jobs, jobs' promise (hint : it's about skills) | https://t.co/HrVhFFzJIp",,False,Wed Dec 28 15:34:57 +0000 2016,251,814132539636019200
653,Twitter Web Client,Rudy Giuliani: Donald Trump's outsider Cabinet is shaking D.C. up https://t.co/XxvENAIlJ0,,False,Wed Dec 28 14:53:53 +0000 2016,312,814122201125363712
346,OS X,Trump Rally Must-Read: “Great expectations: Small businesses upbeat about 2017” https://t.co/wyxWdLtcRM,,False,Wed Dec 28 14:04:44 +0000 2016,162,814109832634580992
563,Twitter Web Client,Trump's Choice: Betsy Devos is a promising choice for education secretary. https://t.co/V2ay6rMusJ,,False,Wed Dec 28 13:25:26 +0000 2016,201,814099944520957952
306,Twitter Web Client,Consumer confidence hits highest level since August 2001 https://t.co/bAOcSNbreI,,False,Wed Dec 28 04:14:45 +0000 2016,137,813961358735790081
389,Mobile Web (M5),Good for the @Rockettes! https://t.co/g8OJyVgxZU,,False,Sat Dec 24 19:58:56 +0000 2016,130,812749421628817415
102,Twitter for iPhone,Powerful read for anyone moved by Hoop Dreams back in the '90s or concerned about today's violence in communities l… https://t.co/qSTukj6Fzl,,False,Sat Dec 24 19:50:01 +0000 2016,40,812747174425595904
0,Twitter for iPhone,"RT @Cliff_Sims: 🚨 Happy Birthday to @SenatorSessions, a GREAT American. Here he is in 1975 being sworn in as Asst. US Attorney. Next year h…",,True,Sat Dec 24 19:30:17 +0000 2016,403,812742210781376513
