favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
7431,Twitter for iPhone,"Grateful &amp; humble, @realDonaldTrump. Kellyanne Conway, ‘Trump Whisperer,’ Will Be Counselor to President. @nytimes https://t.co/o9HVq9bsKv",,False,Thu Dec 22 20:22:06 +0000 2016,2017,812030472528285697
0,Twitter for iPhone,RT @Morning_Joe: .@KellyannePolls on her new gig as Counselor to the President: I'm excited to be working with the senior team https://t.co…,,True,Thu Dec 22 20:10:22 +0000 2016,770,812027519796998144
3159,Twitter Web Client,Story + excerpts from morning TV re: Counselor to the President role &amp; a family-friendly White House. https://t.co/dYLHORhAQG,,False,Thu Dec 22 20:04:29 +0000 2016,703,812026041665519618
4283,Twitter Web Client,FOUR STARS****! @jasonmillerindc @seanspicer @DanScavino Hope Hicks. Trump names his White House communications team https://t.co/YjrXysOiKY,,False,Thu Dec 22 19:58:45 +0000 2016,1440,812024598879473664
0,Twitter Web Client,"RT @FoxBusiness: .@KellyannePolls: ""It’s very humbling to be asked by the President to continue to serve at a senior role."" https://t.co/xp…",,True,Thu Dec 22 17:46:00 +0000 2016,1200,811991192082718720
928,Twitter for iPhone,"@ananavarro, don't despair. turns out @Jeopardy was willing to accept 1,000 pundit names as correct answer. https://t.co/hPOMbIGjLO",ananavarro,False,Wed Dec 21 03:59:41 +0000 2016,371,811420853938298880
0,Twitter for iPhone,RT @MarkSimoneNY: Here's what the election would look like without the electoral college: https://t.co/KUB0BoTqDS,,True,Wed Dec 21 03:46:44 +0000 2016,3871,811417595245133824
2990,Twitter Web Client,"speaking of goats, the is not my tweet. fake account. Merry Christmas! take a break from trolling. 2017 will be the… https://t.co/8VDr7BYvuJ",,False,Tue Dec 20 16:37:20 +0000 2016,881,811249133294153736
5057,Twitter Web Client,"I AM educated &amp; proper - enough to know this is a fake account...your excuse?
why would I speak like that (or care… https://t.co/98HdljHy2T",,False,Sun Dec 18 04:45:34 +0000 2016,1262,810345236270551040
6458,Twitter Web Client,"all you geniuses being snookered by a fake account! and I don't speak like that. get some fresh air, folks (and a b… https://t.co/iqBd7k2oqM",,False,Sun Dec 18 04:42:01 +0000 2016,1913,810344343601115137
6648,Twitter Web Client,What's really bugging the Democrats these days... https://t.co/QiyIzEFX78,,False,Sun Dec 18 04:36:37 +0000 2016,2381,810342985007251456
791,Twitter Web Client,"@CNNPolitics good example Y public hates most media &amp; sees thru lies. The ""if"" refers to shutting down feud, not Ob… https://t.co/cpX7pV59jR",CNNPolitics,False,Sun Dec 18 04:28:16 +0000 2016,451,810340880859197441
2931,Twitter Web Client,"High-energy! Americans loved the hard work, multiple stops in a day, the personal touch of showing up in places GOP… https://t.co/SUvinZabeW",,False,Sat Dec 17 23:51:15 +0000 2016,875,810271169920270336
6391,Twitter for iPhone,"#TrumpInOrlando on #ThankYouTour again challenges pollsters. Asks audience to voice vote on ""Made in America/USA"" &amp; ""Person/Man of the Year""",,False,Sat Dec 17 02:09:02 +0000 2016,1685,809943457435357188
4041,Twitter Web Client,MIC DROP — Kellyanne SHREDS Crazy Cat Ladies Attacking Her For Being A Mother [VIDEO] https://t.co/NwdrYF88li via @dailycaller,,False,Fri Dec 16 18:01:01 +0000 2016,1465,809820642166145024
4293,Twitter Web Client,#POLL: https://t.co/N1lZ3xwKQD,,False,Thu Dec 15 04:11:33 +0000 2016,1512,809249511059157000
6638,Twitter for iPhone,Julia Ioffe Fired Over Obscene Ivanka Trump Tweet https://t.co/yOTcZ1RaBQ,,False,Thu Dec 15 02:49:47 +0000 2016,3014,809228932948037632
15077,Twitter Web Client,"Thank you, Wisconsin, for going Presidential RED for the first time since 1984

Thank you, TeamHillary, for ignorin… https://t.co/fQhezfuTeu",,False,Wed Dec 14 01:21:07 +0000 2016,4764,808844232169574401
6578,Twitter for iPhone,"Bob Gates, Condi Rice &amp; now Newsweek approve. Five Reasons Rex Tillerson Is The Right Pick for Secretary of State https://t.co/xCBWk9y8Dl",,False,Wed Dec 14 00:08:03 +0000 2016,2781,808825846022733824
4720,Twitter Web Client,Refreshing take from a political opposite. Feminists Take a Swing at Kellyanne Conway—and Whiff Totally https://t.co/FF4DAGbtcB,,False,Tue Dec 13 23:15:31 +0000 2016,1714,808812626956451840
