favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,@NaplesQueen Happiest New Year Ms Naples. All best. xoxo,NaplesQueen,False,Tue Jan 03 19:48:12 +0000 2017,0,816370596590325760
0,Twitter for iPhone,@Type1journey Totally agree. Thanks.,Type1journey,False,Tue Jan 03 19:45:21 +0000 2017,0,816369881545326593
0,Twitter Web Client,"RT @AmityShlaes: @MCat7189X @Mark_J_Perry @marykissel @sethlipsky @larry_kudlow @StephenMoore Knock me over w/a feather, indeedy. https://t…",,True,Tue Jan 03 05:03:25 +0000 2017,9,816147932634300416
4,Twitter Web Client,@AmityShlaes @MCat7189X @Mark_J_Perry @marykissel @sethlipsky @StephenMoore  Some reporters get it!,AmityShlaes,False,Tue Jan 03 05:03:16 +0000 2017,1,816147895405674496
0,Twitter Web Client,@ashin_robert I will try to book His Eminence. Try to keep faith. It has worked for me. Try Sunday Mass. Listen to Gospel. God bless.,ashin_robert,False,Tue Jan 03 05:01:11 +0000 2017,0,816147372950618112
3,Twitter Web Client,"@sidrosenberg @Jon_Antis @bernieandsid @LarryKudlowShow @Scaramucci @StephenMoore Thank you, sir. Much appreciated. Best on New Year.",sidrosenberg,False,Mon Jan 02 19:30:16 +0000 2017,1,816003697016766464
0,Twitter Web Client,@AuLorenzo @LarryKudlowShow @77WABCradio @realDonaldTrump Sorry about that. We tried. Don't know what happened.,AuLorenzo,False,Mon Jan 02 19:28:52 +0000 2017,0,816003345555030016
0,Twitter Web Client,@joanneb8 Many thanks.,joanneb8,False,Mon Jan 02 19:27:37 +0000 2017,0,816003028755091457
0,Twitter Web Client,@ashin_robert Very welcome. Important points.,ashin_robert,False,Mon Jan 02 19:27:02 +0000 2017,0,816002883376345093
0,Twitter Web Client,@Jon_Antis @sidrosenberg @bernieandsid You're very kind. Many thanks. Happy New Year!,Jon_Antis,False,Mon Jan 02 19:26:34 +0000 2017,0,816002763347922948
29,Twitter Web Client,"Radio today @LarryKudlowShow 9am-12noon. @77WABCradio, internet, podcast. New Year outlook for stocks, econ, politics, @realDonaldTrump",,False,Mon Jan 02 13:10:01 +0000 2017,5,815908001768947712
43,Twitter Web Client,"Radio today @LarryKudlowShow special New Year's edition 9am-noon . Art Laffer; @Scaramucci; Barry Ritholtz; Michael Cuggino, @StephenMoore",,False,Mon Jan 02 13:07:47 +0000 2017,14,815907440847949825
2,Twitter Web Client,"@robcacy All welcome, w/ civility. That's all I ask.",robcacy,False,Sun Jan 01 00:25:12 +0000 2017,1,815353144343461888
1,Twitter Web Client,@1deserthottie Thanks for support!,1deserthottie,False,Sun Jan 01 00:21:35 +0000 2017,0,815352232761761792
2,Twitter Web Client,@lennyscards Thanks!,lennyscards,False,Sun Jan 01 00:19:29 +0000 2017,0,815351703843258368
0,Twitter Web Client,@MarshallFindley Many thanks!,MarshallFindley,False,Sun Jan 01 00:19:14 +0000 2017,0,815351640437964800
0,Twitter Web Client,@redmudbug 9am-noon. Thanks.,redmudbug,False,Sat Dec 31 21:07:40 +0000 2016,0,815303433586610177
443,Twitter Web Client,"To all friends and followers, many thanks for your contributions. Agree or not, civil tweets always welcome. Happy New Year. God bless.",,False,Sat Dec 31 20:34:37 +0000 2016,43,815295115644334080
0,Twitter Web Client,@risingtide69 Many thanks.,risingtide69,False,Sat Dec 31 20:31:47 +0000 2016,0,815294401572376576
1,Twitter Web Client,@According2DoN Many thanks!,According2DoN,False,Sat Dec 31 20:31:19 +0000 2016,0,815294282789781504
1,Twitter Web Client,@LeviPizzaro Many thanks!,LeviPizzaro,False,Sat Dec 31 20:28:11 +0000 2016,0,815293495397195776
5,Twitter for iPhone,@BrianDomitrovic @LarryKudlowShow Can we get common ground again? Key point. Bi-partisan always better.,BrianDomitrovic,False,Sat Dec 31 16:49:57 +0000 2016,0,815238574383755264
1,Twitter for iPhone,@BrianDomitrovic @LarryKudlowShow spot on Brian. Why don't our lib friends get this? Why do they oppose it? Common ground?,BrianDomitrovic,False,Sat Dec 31 15:50:25 +0000 2016,0,815223594997387264
2,Twitter for iPhone,@parodykeet Yup.,parodykeet,False,Sat Dec 31 15:32:38 +0000 2016,0,815219118836240384
5,Twitter for iPhone,Radio @LarryKudlowShow : money &amp; politics 2017 forecast: @JimPethokoukis @StephenMoore @JohnWMcIntyre,,False,Sat Dec 31 14:57:18 +0000 2016,2,815210228128116736
22,Twitter Web Client,"Radio @LarryKudlowShow : Good holiday read: ""JFK &amp; the Reagan Revolution."" @BrianDomitrovic @larry_kudlow",,False,Sat Dec 31 14:09:12 +0000 2016,4,815198123282890752
38,Twitter Web Client,Radio @LarryKudlowShow : Kerry says state cannot be both Jewish &amp; democratic. Huh? @DanielPipes @jakejakeny,,False,Sat Dec 31 14:06:54 +0000 2016,12,815197543701299200
