favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
356,Twitter for iPhone,"#HappyNewYear! So much to celebrate in 2016, and I look forward to all the new challenges and joys ahead in 2017! Best wishes to all.",,False,Sun Jan 01 12:37:27 +0000 2017,61,815537421580402689
1472,Twitter for iPhone,Merry Christmas and Happy Hanukkah! I hope your holiday is filled with love and joy and gratitude as we share the blessings of the season.,,False,Sat Dec 24 12:25:00 +0000 2016,344,812635183555944448
102,Twitter for iPhone,.@CarlyFiorina @SBAgov Thank you for the kind words and all the work you do! We all share the same goal of helping small businesses succeed!,CarlyFiorina,False,Thu Dec 15 12:40:31 +0000 2016,34,809377597981335552
101,Twitter for iPhone,@StephMcMahon always proud of #WWE and Tribute to the Troops,StephMcMahon,False,Wed Dec 14 02:39:16 +0000 2016,29,808863900221505537
471,Twitter Web Client,"Rest in peace, Sen. John Glenn, a true American hero who inspired millions as an astronaut &amp; advocate for studying math &amp; science #johnglenn",,False,Thu Dec 08 23:36:15 +0000 2016,120,807005902687666177
594,Twitter for iPhone,"Thank you, @MCS4Biz -- I look forward to following in your footsteps in support of our nation's small businesses at… https://t.co/2gIZduCLL4",,False,Wed Dec 07 23:46:47 +0000 2016,218,806646165370531840
9949,Twitter Web Client,Honored to be appointed by President-Elect @realDonaldTrump to serve as head of @SBAgov advocating for our small businesses &amp; entrepreneurs!,,False,Wed Dec 07 21:25:59 +0000 2016,4502,806610732410400768
101,Twitter for iPhone,Cute! #CTproud https://t.co/SFejNDXv87,,False,Wed Dec 07 20:49:36 +0000 2016,22,806601577465335814
0,Twitter for iPhone,RT @WLeadershipLIVE: We are Supporting @OpBlueShield on #GivingTuesday 🌟 @Linda_McMahon @DebbieSaviano @staceyschieffel are #ALLIN 🌟 https:…,,True,Tue Nov 29 19:44:43 +0000 2016,35,803686144646987777
166,Twitter for iPhone,Happy #Thanksgiving! So much to be thankful for this year. Best wishes to all for a joyful holiday.,,False,Thu Nov 24 11:06:29 +0000 2016,30,801743789924593664
143,Twitter for iPhone,Happy Thanksgiving! So much to be thankful for this year. Best wishes to all for a joyful holiday.,,False,Thu Nov 24 04:58:21 +0000 2016,20,801651146683092992
63,Twitter for iPhone,Did you see my conversation with @SusanRaff1 &amp; @DennisHouseWFSB on @WFSBnews Sunday morning? Check it out here: https://t.co/QsS0LvP7xC,,False,Mon Nov 14 14:12:27 +0000 2016,26,798166708393414656
752,Twitter for iPhone,"Gratitude, appreciation and respect to all who served our country. My thanks to you this #VeteransDay, and every day.",,False,Fri Nov 11 13:36:14 +0000 2016,164,797070433061367808
811,Twitter for iPhone,"What a night! Thrilled to congratulate my friend, President-Elect Donald Trump on a hard-fought campaign and victor… https://t.co/IdRNII27Oz",,False,Wed Nov 09 08:55:44 +0000 2016,291,796275066493403136
36,Twitter Web Client,Wish candidates were more like... you? Check out my blog for thoughts on why more women don't run: https://t.co/NFdjmfrGP5 @WLeadershipLIVE,,False,Tue Nov 08 17:49:04 +0000 2016,12,796046897391816705
41,Twitter Web Client,What has made @bigelowtea a buzzworthy business from the very start? Check out my new @HuffPostBlog @sacredheartuniv https://t.co/m1OT8QKXLa,,False,Wed Nov 02 22:19:31 +0000 2016,16,793940628690337792
24,Twitter Web Client,Lots of new photos on my website from a fun day at @sacredheartuniv -- check them out at https://t.co/LRXbRX32I2,,False,Fri Oct 28 22:04:43 +0000 2016,3,792124966800154624
27,Twitter Web Client,New press articles covering my @sacredheartuniv series on women in business &amp; leadership. Check it out on my websit… https://t.co/glnfeMzI54,,False,Fri Oct 28 20:55:47 +0000 2016,3,792107619691425794
43,Twitter for iPhone,"What a treat to hear from SHU Love, the 55-member all-women's choir at @sacredheartuniv, during Thursday's ""Women C… https://t.co/bCbLWJLMzJ",,False,Fri Oct 28 19:32:49 +0000 2016,7,792086739565371392
20,Twitter for iPhone,It was such a pleasure! Thank you for joining us! https://t.co/sHffHR9VdI,,False,Fri Oct 28 16:06:53 +0000 2016,7,792034913218420736
55,Twitter for iPhone,Scoping out the bar &amp; bookstore -- and meeting the students! -- at McMahon Commons at @sacredheartuniv https://t.co/c4YwnxD5uk,,False,Thu Oct 27 22:01:55 +0000 2016,8,791761871816753152
75,Twitter for iPhone,"Dinner at Linda's at McMahon Commons on @sacredheartuniv campus! Hungry after hosting ""Women Can Have It All"" w/Cin… https://t.co/rsG01nEPk7",,False,Thu Oct 27 21:15:26 +0000 2016,11,791750175752593408
34,Twitter for iPhone,"""Your first job will be great no matter what it is because you'll learn so much."" Wisdom from Cindi Bigelow… https://t.co/cckJ6TJUXF",,False,Thu Oct 27 19:52:36 +0000 2016,7,791729328388247554
39,Twitter for iPhone,Excited to welcome @bigelowtea CEO Cindi Bigelow to @sacredheartuniv for my series on women in leadership &amp; business https://t.co/sQcQXZinQA,,False,Thu Oct 27 17:44:38 +0000 2016,8,791697124442402816
21,Twitter Web Client,I've posted some new blogs about @WLeadershipLIVE &amp; The DIFFERENT Conference in SLC on my website https://t.co/Z859hBTXeC -- check them out!,,False,Tue Oct 25 22:18:19 +0000 2016,5,791041223041642497
81,Twitter for iPhone,#WonderWoman turns 75 today! The @UN named her an honorary ambassador for the empowerment of women and girls.… https://t.co/amFWtR8kKv,,False,Fri Oct 21 10:41:57 +0000 2016,28,789416426008375296
29,Twitter Web Client,Such a great event! #SeeHerStrength #ConfidenceisBeautiful #ANAMasters @WLeadershipLIVE https://t.co/lbOUdSVF35,,False,Fri Oct 21 00:44:38 +0000 2016,7,789266109052645376
42,Twitter for iPhone,Love my new stamps! #WonderWoman #girlpower @WLeadershipLIVE @USPS https://t.co/8ZkreE6Vcr,,False,Tue Oct 18 20:52:22 +0000 2016,8,788482881790341120
28,Twitter for iPhone,"Meet Kate Sauls, winner of @WLeadershipLIVE ""Shark Tank"" business pitch competition &amp; $50K prize package for her fl… https://t.co/Vv4ASXvU8I",,False,Tue Oct 18 19:24:32 +0000 2016,7,788460774696054784
19,Twitter Web Client,Entrepreneurs like @fluffpop founder/CEO @yasmeentadia made @WLeadershipLIVE in SLC so much fun! Check this out: https://t.co/ugiTVNTRwR,,False,Tue Oct 18 16:18:51 +0000 2016,5,788414047804940288
70,Twitter for iPhone,"Celebrating winner of our $50K @WLeadershipLIVE Shark Tank business pitch competition, Kate Sauls &amp; her flexible th… https://t.co/teP7HdgW1r",,False,Sun Oct 16 00:48:10 +0000 2016,10,787455057918701568
16,Twitter for iPhone,"Honoring leaders in our community with our first @WLeadershipLIVE leadership awards: Sheroes United, @herdacity &amp;… https://t.co/nB3rsO9zjr",,False,Sun Oct 16 00:14:07 +0000 2016,4,787446489328988160
