favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2437,Twitter for BlackBerry,"Happy new year! Wishing you and your families health, success and happiness in 2017. What a year it will be!",,False,Sun Jan 01 22:02:25 +0000 2017,238,815679598939738112
926,Twitter for BlackBerry,Happy new year! https://t.co/a36dfN28SI,,False,Sun Jan 01 17:50:19 +0000 2017,84,815616156614725632
802,Twitter for BlackBerry,"Merry Christmas, 2016! https://t.co/9vwFYZ36od",,False,Sun Dec 25 22:25:31 +0000 2016,188,813148697638879232
755,Twitter for BlackBerry,Merry Christmas! https://t.co/9vwFYZ36od,,False,Sun Dec 25 14:46:42 +0000 2016,72,813033232690270214
1239,Twitter Web Client,"Another excellent pick. RT ""Donald Trump selects Rick Perry as energy secretary"" https://t.co/zKcYOT4c3W - @washtimes",,False,Wed Dec 14 13:55:28 +0000 2016,406,809034073062699008
5333,Twitter Web Client,"The @realDonaldTrump Effect continues.  RT ""IBM unveils plan to hire 25,000 workers in US on eve of Trump meeting"" https://t.co/TDGR0bVlnI",,False,Wed Dec 14 13:22:25 +0000 2016,2701,809025754965098496
420,Twitter for BlackBerry,See you with @SeanHannity tonight 10pm ET @FoxNews!,,False,Tue Dec 13 00:55:53 +0000 2016,64,808475494803013632
264,Twitter Web Client,Thank you! https://t.co/zFGzVc85V6,,False,Sun Dec 11 20:43:01 +0000 2016,59,808049472785805312
616,Twitter Web Client,"We may have a new SecState. RT ""Donald Trump to pick Rex Tillerson for secretary of state: report"" - https://t.co/ngoyHUMoQg - @washtimes",,False,Sat Dec 10 20:07:24 +0000 2016,259,807678119264010240
336,Twitter Web Client,"Great piece by @DeneenBorelli, in which yours truly is quoted-&gt; RT ""That's right, I said it..."" https://t.co/1CJIB9rm6z",,False,Fri Dec 09 18:27:03 +0000 2016,177,807290479868051457
221,Twitter Web Client,What do @realDonaldTrump &amp; Elle Woods have in common?  Answer in my column--you will enjoy (&amp; smile) -&gt; https://t.co/6QVipBdDEr - @washtimes,,False,Fri Dec 09 15:15:53 +0000 2016,74,807242368697139200
216,Twitter for BlackBerry,"""Godspeed, John Glenn"" https://t.co/ZBEHcWJ8ep",,False,Fri Dec 09 14:58:20 +0000 2016,31,807237954095685632
253,Twitter Web Client,What do @realDonaldTrump &amp; Elle Woods have in common?  My column today--you will enjoy (and smile)--&gt;  https://t.co/6QVipAW2fR - @washtimes,,False,Thu Dec 08 19:41:45 +0000 2016,80,806946887676751875
440,Twitter Web Client,"My column I mentioned on @FoxNews, w/ reference to Elle Woods&gt;-&gt; ""Trump &amp; the art of getting it done"" https://t.co/6QVipBdDEr  @washtimes",,False,Thu Dec 08 16:17:18 +0000 2016,175,806895436074192896
142,Twitter Web Client,"Coming up w/ John Batchelor @batchelorshow 11p ET on latest on the transition, Dems, more. https://t.co/J0spathCMq, stations nationwide",,False,Thu Dec 08 03:46:50 +0000 2016,20,806706577709342720
308,Twitter for BlackBerry,Coming up on the @OReillyFactor 8pm ET @FoxNews -- please join us!,,False,Thu Dec 08 00:47:44 +0000 2016,49,806661506641313794
852,Twitter for BlackBerry,Getting beautified for tonight's @OReillyFactor by my @FoxNews glam squad @NYSindy &amp; Darianne. https://t.co/ndLUcIpvdQ,,False,Wed Dec 07 23:12:49 +0000 2016,71,806637618616221697
296,Twitter for BlackBerry,"Pearl Harbor: December 7, 1941. Always remember-&gt; https://t.co/VEk2hREH28",,False,Wed Dec 07 19:49:50 +0000 2016,59,806586537366474756
735,Twitter Web Client,"Superb leader, border hawk, son killed in combat  RT ""Gen. John F. Kelly to be Trump’s DHS chief""  https://t.co/y1NRdHHkCv - @washtimes",,False,Wed Dec 07 17:25:32 +0000 2016,333,806550222801354752
367,Twitter for BlackBerry,"Pearl Harbor, December 7, 1941. Never forget. Always honor. -&gt; https://t.co/VEk2hREH28",,False,Wed Dec 07 17:23:26 +0000 2016,82,806549693194977280
658,Twitter Web Client,Stating the obvious. @realDonaldTrump #TimePersonoftheYear https://t.co/vhnnnBIvw2,,False,Wed Dec 07 12:39:11 +0000 2016,151,806478160225243137
861,Twitter Web Client,Extraordinary military leader.  Excellent choice. https://t.co/s4P7foH5K8,,False,Wed Dec 07 01:20:56 +0000 2016,195,806307473455976448
438,Twitter Web Client,"@realDonaldTrump speaking in North Carolina: ""We seek peace through strength.""",realDonaldTrump,False,Wed Dec 07 01:19:05 +0000 2016,119,806307007963824128
629,Twitter Web Client,The @realDonaldTrump Effect continues. https://t.co/zWflm5Umlm,,False,Tue Dec 06 20:36:46 +0000 2016,166,806235958089830400
583,Twitter Web Client,"GURL  RT ""Pelosi: ‘I Don’t Think that People Want a New Direction’"" https://t.co/7RmuJiresU",,False,Mon Dec 05 00:10:39 +0000 2016,353,805565010542030848
475,Twitter Web Client,Merkel: the cheese stands alone. https://t.co/ljALNFubPT,,False,Mon Dec 05 00:01:29 +0000 2016,210,805562703544778752
371,Twitter Web Client,Thank you! https://t.co/bi0mGeumPa,,False,Sun Dec 04 23:58:20 +0000 2016,71,805561908489232384
137,Twitter Web Client,Glad you cleared that up!  :) https://t.co/whxSfAoM9s,,False,Sun Dec 04 23:57:07 +0000 2016,14,805561604926566400
558,Twitter for BlackBerry,Excited to join @FoxNewsSunday today! Much to discuss. Please join us.,,False,Sun Dec 04 13:28:04 +0000 2016,66,805403296647249920
340,Twitter for BlackBerry,Looking forward! Pls join us.  RT @FoxNewsSunday: On #FNS this week @MonicaCrowley @llerer @KimStrassel @TheJuanWilliams are on our panel.,,False,Sun Dec 04 00:48:18 +0000 2016,89,805212095834886144
361,Twitter Web Client,"""The party of Obama and its bitter reckoning.""  My column this week--&gt;  https://t.co/bOs9WaHPx5 - @washtimes",,False,Fri Dec 02 19:00:08 +0000 2016,157,804762087788519425
2299,Twitter Web Client,"Pres-elect @realDonaldTrump: ""I'm asking you to dream big again.""  This is the essence of his message &amp; will be the core of his presidency.",,False,Fri Dec 02 01:44:33 +0000 2016,751,804501477536518144
814,Twitter Web Client,Indeed. https://t.co/tVvvwsD8Zq,,False,Fri Dec 02 01:39:27 +0000 2016,264,804500192875741185
3126,Twitter Web Client,"How refreshing to have a president who truly respects, enjoys and cares about the American people. https://t.co/go3SI17OH7",,False,Fri Dec 02 01:30:14 +0000 2016,1055,804497874423808001
3336,Twitter Web Client,"Pres-elect @realDonaldTrump is having a ball at his thank you rally in Cincinnati.  Great fun to watch, too.",,False,Fri Dec 02 01:19:39 +0000 2016,928,804495210885632001
1330,Twitter Web Client,Pres-elect @realDonaldTrump confirms that Gen. Mattis will be his nominee for Secretary of Defense.  Superb choice.,,False,Fri Dec 02 01:17:42 +0000 2016,351,804494717182418944
425,Twitter Web Client,WATCH--&gt; LIVE: President-Elect Donald Trump Thank You Rally in Cincinnati--&gt; https://t.co/aL1ZQH00vZ,,False,Fri Dec 02 00:45:39 +0000 2016,105,804486652714487808
1418,Twitter Web Client,"Superb choice.  RT ""Trump has chosen retired Marine Gen. James Mattis for Secretary of Defense"" https://t.co/RWJCCs5BZ0",,False,Thu Dec 01 21:45:25 +0000 2016,568,804441297016623104
285,Twitter Web Client,"""The party of Obama and its bitter reckoning.""   My column today--enjoy-&gt; https://t.co/bOs9WaHPx5 - @washtimes",,False,Thu Dec 01 18:19:37 +0000 2016,115,804389505402802176
117,Twitter for BlackBerry,Coming up with @marthamaccallum @FoxNews 9:30am ET -- please join us!,,False,Thu Dec 01 14:12:25 +0000 2016,14,804327297037848577
380,Twitter Web Client,"""The party of Obama and its bitter reckoning."" My column today -- enjoy-&gt; https://t.co/bOs9WaHPx5 - @washtimes",,False,Thu Dec 01 13:39:25 +0000 2016,179,804318992424992768
1609,Twitter Web Client,The @realDonaldTrump Effect. https://t.co/wm0sfdbIg4,,False,Wed Nov 30 01:04:58 +0000 2016,668,803766737623654400
1148,Twitter Web Client,"The @realDonaldTrump Effect.  RT ""Trump to Announce Carrier Plant Will Keep Jobs in U.S.""  https://t.co/3gfz0g35VS",,False,Wed Nov 30 00:57:21 +0000 2016,474,803764823213412353
874,Twitter Web Client,"Described al-Awlaki as a ""hero"" &amp; ranted against the US but his motive still called ""unknown."" Enough already. https://t.co/Jc0pKnoABP",,False,Tue Nov 29 17:06:35 +0000 2016,389,803646350520791040
709,Twitter Web Client,"Superb choice.  RT ""Donald Trump to nominate Tom Price for Health and Human Services secretary""  https://t.co/nUDU6Z4r6S - @washtimes",,False,Tue Nov 29 14:16:28 +0000 2016,226,803603537900937217
300,Twitter Web Client,Up next with @SeanHannity &amp; @Scaramucci ! https://t.co/f2ODbO2TjM,,False,Tue Nov 29 03:27:51 +0000 2016,75,803440307266326528
520,Twitter Web Client,"Motive still unclear. RT ""Ohio State suspect Abdul Razak Ali Artan posted rant before attack, cited Anwar al-Awlaki"" https://t.co/J1NcBbk6nm",,False,Tue Nov 29 01:54:22 +0000 2016,440,803416781461274624
347,Twitter Web Client,Coming up with @seanhannity 10pm ET @FoxNews with my pal @Scaramucci -- please join us!,,False,Tue Nov 29 01:30:16 +0000 2016,80,803410720163581952
209,Twitter Web Client,The only thing missing was YOU! xo https://t.co/aZJeHmt2N7,,False,Tue Nov 29 00:27:37 +0000 2016,44,803394951493152768
1326,Twitter for BlackBerry,Hanging out with these superstars &amp; true gentlemen @TimTebow and @Teixeiramark25 Mark Teixeira. #LuckiestGirlAlive https://t.co/yuIMmSMyCp,,False,Tue Nov 29 00:16:06 +0000 2016,221,803392054411853824
450,Twitter Web Client,"The @realDonaldTrump Effect.  RT ""US economic growth to double""  https://t.co/G3q0PxoikO",,False,Mon Nov 28 14:25:05 +0000 2016,235,803243321254674432
263,Twitter Web Client,"Cuba Si!  Castro No!  RT ""Longtime Cuban dictator Fidel Castro dead at 90"" https://t.co/HPLwUwN7Nd - @washtimes",,False,Sat Nov 26 16:18:00 +0000 2016,77,802546959114534912
191,Twitter Web Client,"--&gt; ""Longtime Cuban dictator Fidel Castro dead at 90.""  https://t.co/HPLwUwvwoD - @washtimes",,False,Sat Nov 26 15:02:43 +0000 2016,38,802528016056188928
1511,Twitter Web Client,"Big congratulations to my friend @KTMcFarland !  RT ""K.T. McFarland tapped for Dep Natl Sec Advisor""  https://t.co/AYwpKJkGcz - @washtimes",,False,Fri Nov 25 21:07:18 +0000 2016,467,802257375872905216
438,Twitter Web Client,"Featured on RealClearPolitics @RealClearNews, my column-&gt; ""Gratitude for a 2nd chance for this exceptional nation"" https://t.co/y4VBqqA6ZG",,False,Fri Nov 25 16:32:20 +0000 2016,142,802188181043081216
385,Twitter Web Client,Thank you---happy Thanksgiving! https://t.co/3f3wAoldDU,,False,Thu Nov 24 22:19:02 +0000 2016,48,801913041227022336
856,Twitter Web Client,"Happy Thanksgiving!  ""Gratitude for a second chance for this exceptional nation"" -&gt; https://t.co/y4VBqqA6ZG - @washtimes",,False,Thu Nov 24 18:26:40 +0000 2016,191,801854562487468033
770,Twitter Web Client,"""Gratitude for a second chance for this exceptional nation.""  My column for this special day--enjoy-&gt;  https://t.co/y4VBqqA6ZG - @washtimes",,False,Thu Nov 24 14:49:00 +0000 2016,218,801799786408120320
1636,Twitter Web Client,Thank you so much for all of the very kind messages abt my hosting for @SeanHannity tonight @FoxNews. Grateful!  ICYMI it re-airs 1a ET.,,False,Thu Nov 24 05:18:20 +0000 2016,178,801656174475087872
1203,Twitter for BlackBerry,"Ready to host ""Hannity""! Thanks to my @FoxNews hair genius @NYSindy &amp; makeup goddess Darianne! https://t.co/jddq0writz",,False,Thu Nov 24 02:36:58 +0000 2016,139,801615564405964800
597,Twitter for BlackBerry,"Can't wait to host ""Hannity"" for @SeanHannity tonight 10pm ET @FoxNews!  Please join us for the latest on the transition, more.",,False,Thu Nov 24 02:02:51 +0000 2016,97,801606977822531584
326,Twitter Web Client,Can't wait-- xo https://t.co/txjfxBo7gP,,False,Wed Nov 23 23:50:45 +0000 2016,70,801573732489826304
736,Twitter Web Client,"Thrilled to host ""Hannity"" tonight for @SeanHannity 10pm ET @FoxNews.  Much to discuss with full line-up of great guests.  Pls join us!",,False,Wed Nov 23 22:57:58 +0000 2016,110,801560452903948288
341,Twitter Web Client,Can't wait! xo https://t.co/bzDIwqtvKT,,False,Wed Nov 23 21:40:32 +0000 2016,61,801540965152526336
725,Twitter Web Client,Poor return on investment.  Very poor. https://t.co/WX9Lv7aahm,,False,Wed Nov 23 20:17:56 +0000 2016,314,801520177351421956
561,Twitter Web Client,Cheers! https://t.co/hMMackDpMx,,False,Wed Nov 23 20:16:37 +0000 2016,163,801519847154786305
