favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
100,Twitter for iPhone,Awesome news! Ebtron is expanding in Loris creating 100 new jobs! To join their team please visit:… https://t.co/LKiQr7OZyr,,False,Thu Dec 22 15:48:50 +0000 2016,31,811961705127350272
396,Mobile Web (M5),"We have announced 85,367 jobs, 667 projects, $21.5 billion in investments with jobs created in every county in the… https://t.co/vccP0MZAXh",,False,Wed Dec 21 18:58:51 +0000 2016,102,811647135133343744
503,Twitter for iPhone,We were honored to welcome @tombrokaw to SC as he celebrates 50 yrs @NBCNews! It’s always special when he visits to… https://t.co/80G5ysJlR1,,False,Wed Dec 21 00:22:31 +0000 2016,95,811366201683275778
253,Twitter for iPhone,I'm so proud of this team of Directors who work hard to make every day a Great Day in SC! Thanks for your leadershi… https://t.co/i19smMFhjd,,False,Tue Dec 20 14:20:32 +0000 2016,47,811214706610466816
245,Twitter for iPhone,"We have some great jobs news! Techtronic Industries is creating 250 new jobs in Anderson! For more, visit:… https://t.co/7T1LcMR6zp",,False,Mon Dec 19 21:22:17 +0000 2016,65,810958457423728640
227,Twitter for iPhone,https://t.co/3CO2eFbl5j,,False,Fri Dec 16 17:52:35 +0000 2016,58,809818519143673857
1770,Twitter for iPhone,"It is my hope that the survivors, the families &amp; the people of South Carolina can find some peace in the fact that justice has been served.",,False,Thu Dec 15 20:50:34 +0000 2016,733,809500924678967296
92,Twitter for iPhone,"PL Developments is creating 450 new jobs in Piedmont, SC! To find out more about them please visit… https://t.co/DqzKjsZNXB",,False,Wed Dec 14 17:05:22 +0000 2016,29,809081859636334592
104,Twitter for iPhone,Thank you to the Towns family for hosting Team Haley for a special tour of the Elgin Lights! For more info visit:… https://t.co/zXyt5jERMX,,False,Tue Dec 13 23:10:47 +0000 2016,19,808811431974105090
154,Twitter for iPhone,"Great news! Evonik Corporation is creating more than 50 jobs in Goose Creek, SC! To join their team please visit:… https://t.co/XImFRX84Sr",,False,Tue Dec 13 16:38:14 +0000 2016,55,808712646874853377
151,Twitter for iPhone,Congrats to our 2017 SC Chef Ambassadors! They are our greatest culinary talent highlighting certified SC grown foo… https://t.co/nL5CxhFmAg,,False,Mon Dec 12 17:47:57 +0000 2016,38,808367802251956225
199,Mobile Web (M5),Congratulations Logan and Alex! Thank you for allowing us to witness your special night and catch up with sweet fri… https://t.co/SBLqFaU357,,False,Mon Dec 12 02:04:15 +0000 2016,27,808130311456485376
1093,Mobile Web (M5),Our first Christmas card when I announced I would run for the legislature representing Lexington Cty as a complete… https://t.co/YICfBHpK8m,,False,Sat Dec 10 21:34:33 +0000 2016,116,807700052508610560
177,Twitter for iPhone,"CompuCom is bringing their global
hq to Indian Land, SC along with 1,500 new jobs. To join their team please visit:… https://t.co/Ojvckmm55u",,False,Fri Dec 09 17:14:12 +0000 2016,73,807272144598167552
262,Twitter for iPhone,Thank you @kempfoundation for the Leadership Award! We will keep working hard to continue Jacks' legacy of opportun… https://t.co/AM1QaSfHTy,,False,Thu Dec 08 17:30:50 +0000 2016,58,806913945139298305
271,Twitter for iPhone,"Magna, a global automotive supplier is creating 480 jobs in Moore, SC! Please visit their careers page, online:… https://t.co/QIMc5OqwG0",,False,Wed Dec 07 16:08:44 +0000 2016,98,806530893133344768
340,Twitter for iPhone,It was a blessing to kick of the holidays with several hundred SC families! Thanks to you we collected hundreds of… https://t.co/Z315OXu1Wq,,False,Tue Dec 06 20:04:45 +0000 2016,83,806227903419678720
141,Twitter for iPhone,"Ortec Inc. is expanding creating 60 new jobs in Pendleton. They have a wide range of jobs, for more please visit:… https://t.co/wwKE0fkgPv",,False,Mon Dec 05 18:06:58 +0000 2016,43,805835874562883584
575,Twitter for iPhone,Our family invites yours to enjoy holiday festivities tomorrow evening at your Governor's mansion from 5:30 PM to 7… https://t.co/MiROjsVwf2,,False,Sun Dec 04 23:48:07 +0000 2016,123,805559338161078273
604,Mobile Web (M5),"Kicking off the season with the families of SC. We are blessed to live in a state that shows faith, love, respect,… https://t.co/Se0o3ydNJV",,False,Sat Dec 03 17:51:32 +0000 2016,123,805107212301561856
