favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,Twitter for iPad,Marc Theissen opinion.  Well worth the read. https://t.co/keOXRluM86,,False,Mon Jan 09 23:19:48 +0000 2017,0,818598176420675584
2,Twitter for iPad,"Sources indicate truck driver in Israel attack sympathetic to ISIS, Hamas member.",,False,Sun Jan 08 13:08:07 +0000 2017,2,818081851998896128
5,Twitter for iPad,Releasing more Gitmo detainees to Saudi bad idea. Trump/ American people will need to deal w the consequences.  https://t.co/v4D1F4xjkh,,False,Thu Jan 05 01:33:19 +0000 2017,4,816819838479958017
9,Twitter for iPad,Nailed the point last night on Fox w Ashley - Putin might not respond and take the high road. Exactly what he did.  https://t.co/06fMGmcqNm,,False,Fri Dec 30 20:13:30 +0000 2016,7,814927412404359169
1,Twitter for iPad,Fox Business -  https://t.co/SCymgwUi8Q,,False,Wed Dec 28 20:12:05 +0000 2016,2,814202280421552128
13,Twitter for iPad,"Abstaining from UN vote is one more example of ""leading from behind"".From behind is not leading. Less than one month away from ""leadership""!",,False,Sat Dec 24 13:21:49 +0000 2016,5,812649480122146816
3,Twitter for iPad,On the Kelly File at 9:30 tonight.  Immigration and terrorism.,,False,Thu Dec 22 21:29:56 +0000 2016,0,812047544998068225
2,Twitter for iPad,What DC metro remind you of?  3rd world mass transportation!,,False,Tue Dec 20 17:57:25 +0000 2016,0,811269286467686400
3,Twitter for iPad,"Last 3 days show breadth and depth of terrorist threat.Jordan, Germany, Turkey. Civilians and Russian https://t.co/1TznQFzUxJ Syria and Iraq",,False,Tue Dec 20 02:19:07 +0000 2016,3,811033155230691328
0,Twitter for iPad,AQ signaled targeting of Russian interests. Carries through on threat. Russian Ambassador to Turkey shot. American interests also at risk.,,False,Mon Dec 19 16:49:34 +0000 2016,5,810889826207731712
1,Twitter for iPad,Staying in touch globally with our friends.  https://t.co/xIiE3qeYs7,,False,Mon Dec 19 01:55:05 +0000 2016,1,810664720252436480
6,Twitter for iPad,Obama taking action against Russia is a day late and a dollar short. This is a really bad idea. His people will not even brief congress.,,False,Fri Dec 16 15:49:08 +0000 2016,1,809787452659372033
4,Twitter for iPad,On Megyn Kelly around 9:25 tonight. Fox News Channel.,,False,Wed Dec 14 01:14:21 +0000 2016,1,808842529902891008
4,Twitter for iPad,CIA and DNI proving Trump's point on intelligence community. Disappointing but true. Not as good as we need them to be.,,False,Tue Dec 13 16:06:49 +0000 2016,9,808704740536315905
71,Twitter for iPad,Obama engages Muslim Brotherhood and dramatically changes US policy in 2009. Media yawns.Trump takes call from Taiwan. Media goes crazy.,,False,Sat Dec 03 14:10:23 +0000 2016,68,805051557444206592
10,Twitter for iPad,Excuse the language but this is a good message to the left from the left!  https://t.co/BRoRPzcGv0,,False,Fri Nov 11 17:37:57 +0000 2016,4,797131263773642752
20,Twitter for iPad,Michigan goes Trump says MIRS! Yes! Yes! Yes! Yes! Yes! Yes! Congrats to Mr. Trump!  Thank you for coming to Michigan!,,False,Wed Nov 09 16:08:00 +0000 2016,6,796383848401670144
17,Twitter for iPad,Yesterday was only an upset for the pollsters.  The American people saw this coming better than paid professionals!  https://t.co/e4FHjUc0vz,,False,Wed Nov 09 15:28:02 +0000 2016,10,796373790108319744
34,Twitter for iPad,9 days ago I was eating a quarter pounder on Trump Force One with Mr. Trump. What a difference a week makes!,,False,Wed Nov 09 07:49:50 +0000 2016,20,796258482555125760
11,Twitter for iPad,Juan Williams already saying he shouldn't speak. Maybe media should start keeping their mouths shut. They've been oh so wrong!,,False,Wed Nov 09 07:33:35 +0000 2016,1,796254392940949504
13,Twitter for iPad,Media still don't get how this is a rebuke of them. Still trying to set expectations of what Trump can and cannot say in his speech.,,False,Wed Nov 09 07:31:39 +0000 2016,2,796253907374710784
9,Twitter Web Client,Record Voter Turnout Expected in Michigan https://t.co/DV4iDRhxOg,,False,Tue Nov 08 23:19:44 +0000 2016,4,796130111695290368
5,Twitter for iPad,Great read/analysis.  https://t.co/SoqnUaoeVb,,False,Tue Nov 08 22:21:34 +0000 2016,4,796115474278993922
5,Twitter for iPad,One last thing to think about before you vote. one candidate will stop the growth of government. put it on a diet!  https://t.co/NUn3XYXqdt,,False,Tue Nov 08 12:09:33 +0000 2016,6,795961453656342528
1,Twitter for iPad,Latest op Ed on intelligence gaps!  https://t.co/Xsb1vxZff3,,False,Mon Nov 07 14:30:45 +0000 2016,1,795634601775562753
6,Twitter for iPad,Why am I not surprised?  https://t.co/aR4sHw8CpD,,False,Sun Nov 06 17:07:19 +0000 2016,7,795311614815772672
27,Twitter for iPad,Great Saturday morning with Governor Pence! https://t.co/lsGwfmmGUA,,False,Sun Nov 06 16:56:19 +0000 2016,8,795308843957972992
15,Twitter for iPad,Better late than never. We've known this for a long time.  What about the other states?  https://t.co/rga8J0UIjr,,False,Sun Nov 06 13:42:36 +0000 2016,13,795260095709978624
2,Twitter for iPad,My latest op Ed.  https://t.co/Xsb1vxZff3,,False,Sun Nov 06 13:14:44 +0000 2016,1,795253082238189568
24,Twitter for iPad,This is illegal!  Giving classified material to unauthorized individuals is illegal.  Doesn't matter who it is.  https://t.co/fbD06dpEeC,,False,Sun Nov 06 13:11:33 +0000 2016,31,795252279578390528
3,Twitter for iPad,Will the trail of corruption ever end?  https://t.co/Qkt78UINz9,,False,Sat Nov 05 17:27:51 +0000 2016,2,794954392080412673
4,Twitter for iPad,Please distribute far and wide!  You can make a difference!  https://t.co/JJLbQyG6pc,,False,Sat Nov 05 03:04:38 +0000 2016,3,794737159446073344
11,Twitter for iPad,Really wholesome Hillary!  Is this what you want in to bring into the White House?  https://t.co/rOt4A2Z6nv,,False,Sat Nov 05 02:14:46 +0000 2016,13,794724608020779009
4,Twitter for iPad,Pence event behind Park Theatre  / area.  You'll find it and we need you there. See you on Saturday morning.,,False,Sat Nov 05 01:01:10 +0000 2016,3,794706084418166785
3,Twitter for iPad,Pence event is outside. Dress warm. 7:30 am centennial park!,,False,Fri Nov 04 21:33:50 +0000 2016,1,794653910581518336
