favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
12753,Twitter for iPhone,Happy New Year!,,False,Sun Jan 01 05:01:24 +0000 2017,1768,815422649291644928
4327,Twitter for iPhone,Merry Christmas!,,False,Sun Dec 25 16:30:43 +0000 2016,712,813059409152737280
851,Twitter for iPhone,An excellent discussion that must continue to be had | https://t.co/TDQAByCzVK,,False,Thu Dec 15 16:44:14 +0000 2016,207,809438931829870593
3279,Twitter for iPhone,For information and updates on the Inauguration make sure you follow @TrumpInaugural.,,False,Fri Dec 09 01:26:00 +0000 2016,751,807033521063727106
4560,Twitter for iPhone,Welcome to twitter @TrumpInaugural. Looking forward to the big day!,,False,Thu Dec 08 17:16:26 +0000 2016,875,806910321428430848
7789,Twitter for iPhone,"Dec 7, 1941 is a day that will forever be written in the pages of American history. https://t.co/BEE442bwBG",,False,Wed Dec 07 15:13:30 +0000 2016,2737,806516993654476801
16352,Twitter for iPhone,https://t.co/yM9AL0pk8C,,False,Mon Dec 05 15:03:36 +0000 2016,5409,805789725848174594
0,Twitter for iPhone,RT @realDonaldTrump: I am thrilled to nominate Dr. @RealBenCarson as our next Secretary of the US Dept. of Housing and Urban Development: h…,,True,Mon Dec 05 14:09:30 +0000 2016,24440,805776114287280128
0,Twitter for iPhone,RT @carsonscholars: Only 10 more hours to donate! Help CSF by giving the most valuable gift of all…education. https://t.co/5FT8Xc7kdR #Givi…,,True,Tue Nov 29 23:46:19 +0000 2016,238,803746945428836352
0,Twitter for iPhone,"RT @carsonscholars: TODAY is #GivingTuesday! Change a student’s life and help @carsonscholars raise $40,000 toward education! https://t.co/…",,True,Tue Nov 29 23:46:14 +0000 2016,115,803746925061275649
7260,Buffer,Happy Thanksgiving &amp; God Bless America! https://t.co/NVTYZB6bt8,,False,Thu Nov 24 21:27:02 +0000 2016,1311,801899955921256452
9862,Buffer,"Our commonalities far outweigh our differences, and we must focus on what unites us all, instead of what divides us.",,False,Thu Nov 24 21:16:03 +0000 2016,2758,801897190385971200
18313,Buffer,Let us not forget our men &amp; women in uniform around the world. Nor should we forget the homeless man &amp; woman that society easily overlooks.,,False,Thu Nov 24 21:03:07 +0000 2016,4728,801893935471820800
12608,Buffer,"With so much division in our country and chaos in the world, it's easy to forget how blessed we all truly are.",,False,Thu Nov 24 20:44:03 +0000 2016,3678,801889138546982915
12125,Buffer,An announcement is forthcoming about my role in helping to make America great again. https://t.co/jGRyzFRBAK,,False,Wed Nov 23 16:43:36 +0000 2016,3629,801466239801589760
14461,Twitter for iPhone,We have much work to do in strengthening every aspect of our nation and ensuring that both our physical &amp; spiritual infrastructure is solid.,,False,Wed Nov 23 16:39:42 +0000 2016,3678,801465257680142336
0,Twitter for iPhone,RT @FoxNews: .@RealBenCarson: “[HUD position] was one of the offers that’s on the table.” https://t.co/Z7cC5YhiUV,,True,Tue Nov 22 21:31:43 +0000 2016,715,801176359892619264
0,Twitter for iPhone,RT @FoxNews: .@RealBenCarson: “Our inner cities are in terrible shape and they definitely need some real attention.” https://t.co/Px7nfbnXSZ,,True,Tue Nov 22 21:31:33 +0000 2016,1295,801176317718732800
7399,Buffer,"BET founder: 'If black Americans can turn the Republican Party into a friend, they should do it.' - CNN https://t.co/ysjki7z651",,False,Tue Nov 22 13:16:41 +0000 2016,3064,801051779039461376
6534,Facebook,President elect Trump is a good judge of people and their intentions. He will be able to properly assess the... https://t.co/d7T773Qyjw,,False,Mon Nov 21 21:01:48 +0000 2016,1507,800806439958839296
0,Twitter for iPhone,RT @FoxNews: .@RealBenCarson would give 'very serious consideration' to Cabinet post https://t.co/t9TW8MPNT4 @HARRISFAULKNER https://t.co/L…,,True,Mon Nov 21 14:19:15 +0000 2016,1041,800705136729276416
4137,Facebook,"Solutions to our country's most urgent problems need to come from outside Washington, and that's why I want you... https://t.co/NzU7fi1mrj",,False,Sat Nov 19 11:59:43 +0000 2016,982,799945244045438976
12018,Twitter for iPhone,The future is bright for America. https://t.co/eJQjfTA1cn,,False,Fri Nov 18 22:40:08 +0000 2016,3636,799744023548350467
2765,Twitter for iPhone,Thank you to our #BenCarsonReadingDay guest readers from all over the country helping to share the gift of reading: https://t.co/djDazusv76,,False,Wed Nov 16 22:43:22 +0000 2016,417,799020060664877056
4540,Twitter Web Client,My decision not to seek a cabinet position. Read it here: https://t.co/CViJp6KbgS,,False,Tue Nov 15 23:19:35 +0000 2016,1867,798666786598047744
4300,Buffer,Today is a special day because it’s #BenCarsonReadingDay. Nothing is more important than encouraging reading: https://t.co/50aAxdr9Xk,,False,Mon Nov 14 22:44:03 +0000 2016,1056,798295458233794560
0,Twitter for iPhone,RT @CandyCarson_: It’s #BenCarsonReadingDay! I enjoyed reading to students in FL. Share the gift of reading here: https://t.co/uXu7XEPp6E,,True,Mon Nov 14 21:44:07 +0000 2016,278,798280375021637632
2779,Twitter for iPhone,Today is a special day because it’s #BenCarsonReadingDay. Nothing is more important than encouraging reading: https://t.co/XzKvJRZk1O,,False,Mon Nov 14 21:37:47 +0000 2016,668,798278782410858496
