favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1410,Sprout Social,Congrats to my good friend @SpeakerRyan on his reelection!,,False,Tue Jan 03 19:01:38 +0000 2017,205,816358880011841536
1040,Sprout Social,Ford cancels Mexico plant. Will create 700 U.S. jobs in 'vote of confidence' in @realDonaldTrump https://t.co/i3rh7Te01K,,False,Tue Jan 03 16:43:32 +0000 2017,397,816324124104658944
0,Twitter for iPhone,"RT @realDonaldTrump: TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we wo…",,True,Sun Jan 01 05:20:11 +0000 2017,28242,815427378822414336
8183,Twitter for iPhone,Happy New Year to so many proud Americans and patriots!  Let's make this the time we save the Republic! #MAGA! https://t.co/wtlcLY8KbX,,False,Sun Jan 01 05:10:09 +0000 2017,1710,815424852723167232
26957,Twitter for iPhone,Happy New Year + God's blessings to you all.  Looking forward to incredible things in 2017!  @realDonaldTrump will Make America Great Again!,,False,Sun Jan 01 04:58:37 +0000 2017,5471,815421950159949824
0,Sprout Social,"RT @marceloclaure: The 5,000 jobs are NEW jobs that @Sprint is creating or bringing back to the U.S. Great news for the country.",,True,Thu Dec 29 19:03:13 +0000 2016,349,814547335942381569
1682,Twitter for iPhone,Rudy Giuliani: @realDonaldTrump's outsider Cabinet is shaking D.C. up https://t.co/si0a33UICa,,False,Wed Dec 28 15:40:14 +0000 2016,538,814133867565248513
0,Twitter for iPhone,RT @realDonaldTrump: The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over…,,True,Tue Dec 27 02:38:36 +0000 2016,27126,813574777013026816
7404,Sprout Social,Merry Christmas from our family to yours! https://t.co/I8ODhNqWmm,,False,Sun Dec 25 23:09:03 +0000 2016,1194,813159652435390464
0,Twitter for iPhone,RT @Reuters: Lockheed CEO tells Trump she will work to drive down cost of F-35 https://t.co/r2HEsnT9ZI https://t.co/QeiH0dfWxH,,True,Sat Dec 24 07:55:22 +0000 2016,414,812567328298672128
