favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
33,Twitter Web Client,...and nothing on immigration. Is it any wonder nobody trusts the media anymore?,,False,Tue Sep 27 02:40:00 +0000 2016,16,780597832797474816
49,Twitter Web Client,"One key takeaway...NBC's Lester Holt gave us a birther question, a Trump tax return question, only 20 seconds on Hillary's emails...",,False,Tue Sep 27 02:39:48 +0000 2016,26,780597781840867328
23,Twitter Web Client,15 minutes left...anyone else interested in an immigration question?,,False,Tue Sep 27 02:19:59 +0000 2016,5,780592794855288832
19,Twitter Web Client,It's a problem that won't be fixed until we have school choice.,,False,Tue Sep 27 01:48:27 +0000 2016,6,780584859282477056
173,Twitter Web Client,Hillary is wrong: race does NOT determine where you go to school. The government does. They control the monopoly on education.,,False,Tue Sep 27 01:48:17 +0000 2016,169,780584818039861248
61,Twitter Web Client,"In all honesty, the Dems have ZERO credibility on the issue of the debt. GOP is weak, for sure. But NO ONE believes she cares about the debt",,False,Tue Sep 27 01:32:09 +0000 2016,47,780580754535223296
10,Twitter Web Client,OK...maybe a deeper insight here. Hillary is trying to make the case that she is more fiscally responsible on the debt than Trump.,,False,Tue Sep 27 01:31:06 +0000 2016,3,780580492168925186
17,Twitter Web Client,So she wants to take credit for the goods part of NAFTA and blame the bad parts on someone else?,,False,Tue Sep 27 01:27:49 +0000 2016,11,780579667438804992
39,Twitter Web Client,Maybe Hillary needs to come see Lancaster County. And Chester. And Fairfield before she defends NAFTA.,,False,Tue Sep 27 01:27:10 +0000 2016,53,780579501507944449
6,Twitter Web Client,Hang on...incomes went up for everyone in the 1990s? Did anyone reading this used to work for Springs?,,False,Tue Sep 27 01:26:40 +0000 2016,8,780579376215695360
22,Twitter Web Client,I appreciate the fact that Trump is willing to embrace his business success. That used to be appreciated in this country.,,False,Tue Sep 27 01:15:52 +0000 2016,11,780576657031606272
16,Twitter Web Client,"Clinton doesn't like ""trickle down economics."" She apparently prefers ""trickle down government.""",,False,Tue Sep 27 01:15:10 +0000 2016,6,780576482527633408
14,Twitter Web Client,"As many of you might know, I am an early-to-bed-early-to-rise kind of guy, so a debate that starts at 9 pm is a problem for me to begin with",,False,Tue Sep 27 01:14:21 +0000 2016,1,780576275752595456
0,Twitter Web Client,RT @ErikBCorcoran: @RepMickMulvaney speaking at our Constitution Day event! https://t.co/KBKpmJE6PR,,True,Sat Sep 10 17:07:40 +0000 2016,3,774655595106344960
7,Twitter Web Client,I'll be on @FoxBusiness at 4:30 pm to talk about #IranRansom @AftertheBell #sctweets,,False,Thu Sep 08 19:45:00 +0000 2016,1,773970409733709824
2,Twitter Web Client,Looking forward to catching up w' @vincecoakley on @1063WORD around 11am.Talking upcoming lame duck session.Tune in: https://t.co/iRoegEjFXI,,False,Wed Sep 07 14:27:26 +0000 2016,1,773528104597880832
3,Twitter Web Client,"If you have kids in Kershaw, Fairfield, Lee, or Newberry schools, take a look at this #sc05 https://t.co/f8YfhtZwen",,False,Thu Sep 01 21:21:49 +0000 2016,0,771458059399008260
0,Twitter Web Client,"RT @RHHerald: MORE scenes from the crash on I-77 in Chester County at this link: https://t.co/OKUHWvCDuS
(pics from @wsoctv) https://t.co/J…",,True,Thu Sep 01 21:16:52 +0000 2016,8,771456815599058948
