favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
53,Twitter Web Client,"True humility, solid character, class act. Edgar Poe is already well on his way to becoming a fine leader. https://t.co/bIO1BTsHqX",,False,Thu Dec 22 00:06:07 +0000 2016,16,811724460743081984
64,Twitter Web Client,The FAA's new small airplane rule is a huge win for South Central Kansas &amp; the entire general aviation community. https://t.co/uyYKCE2gQh,,False,Sun Dec 18 18:48:36 +0000 2016,25,810557391859253248
30,Twitter Web Client,Daishon Smith’s dunk on Saturday is definitely one to add to this list. @GoShockers #watchus https://t.co/cfKeHp4tei,,False,Wed Dec 14 20:14:35 +0000 2016,9,809129479931129857
185,Hootsuite,"“Santa’s Village” has returned to Wichita this year. Looks great, @kirstiealley! Thank you for sharing it. #Kansas https://t.co/pRj6ZlkIMI",,False,Sun Dec 11 20:00:55 +0000 2016,79,808038877495750656
204,Twitter for iPhone,What a game!  An incredible team effort that had me on the edge of my seat the whole game.  The drought is over - #GoArmy!,,False,Sun Dec 11 02:22:56 +0000 2016,43,807772628048089088
141,Twitter for iPhone,"Great to see @WestPoint_USMA Cadet, First Captain, and Newton, KS native Hugh McConnell on @CollegeGameDay! #GoArmy https://t.co/QiSa0bCVLw",,False,Sat Dec 10 16:44:07 +0000 2016,74,807626961237540864
121,Twitter Web Client,"Our staff is ready for a pretty important game tomorrow, and they clearly know which side of the line to be on!… https://t.co/nM3QAfmFfy",,False,Sat Dec 10 00:39:20 +0000 2016,31,807384165117259776
52,Twitter Web Client,Can't wait until Saturday... Go Army! https://t.co/QFE7qZRrhG,,False,Thu Dec 08 21:47:56 +0000 2016,22,806978646456016897
156,Twitter Web Client,"75 years ago, a day that will live in infamy. I reflect on the Pearl Harbor attack here: https://t.co/KXZ7SHUMu3 #PearlHarborRemembranceDay",,False,Wed Dec 07 16:53:02 +0000 2016,86,806542041672978432
109,Twitter Web Client,I'm excited for what the future of medicine holds w/ the passage of the 21st Century Cures Act. Read more: https://t.co/C90eDfisaT #CuresNow,,False,Tue Dec 06 14:34:10 +0000 2016,60,806144708812636160
159,Twitter Web Client,Susan and I had a wonderful time today at @KCSL's Red Stocking Breakfast. It was an honor to serve such a worthy ca… https://t.co/nebmQXYnPN,,False,Sat Dec 03 20:18:21 +0000 2016,36,805144162442117120
58,Twitter Web Client,Congratulations to Newton artist Phil Epp on being inducted into the @CowboyArtists! https://t.co/O1xCfLlMRZ,,False,Sat Dec 03 00:33:40 +0000 2016,25,804846023625609216
93,Twitter Web Client,"During the holiday season, shelters like the Harvey County Homeless Shelter are doing amazing work. Read more: https://t.co/o92ULLZsoE",,False,Tue Nov 29 22:32:58 +0000 2016,43,803728487248961536
58,Twitter Web Client,Congrats to @JamieCruce &amp; Pratt H.S. on their first state title in over 20 years. 403 rushing yards - Amazing! https://t.co/83rWxzFL3l,,False,Mon Nov 28 01:16:16 +0000 2016,20,803044805269803008
58,Twitter Web Client,Congratulations to Derby H.S. on back-to-back state championships!  What a thrilling finish to an amazing year. https://t.co/7kvsd5jtx8,,False,Sun Nov 27 20:00:09 +0000 2016,11,802965251952115712
483,Twitter Web Client,Happy Thanksgiving to you and yours! I am thankful for the faith you have placed in me to represent you.  Read more: https://t.co/Q90zNULGH9,,False,Thu Nov 24 17:13:38 +0000 2016,117,801836184595009536
73,Hootsuite,The Shockers take on LSU down in the Bahamas today and you can bet I'll be watching. Go Shox! #WatchUs,,False,Wed Nov 23 15:00:30 +0000 2016,9,801440291584638976
77,Twitter for iPhone,4-0!  The Shockers are off to another hot start.  Bring on LSU!  #WatchUs,,False,Sun Nov 20 23:10:16 +0000 2016,17,800476381284945920
102,Hootsuite,The Shockers look to make it a 4-0 start this afternoon at Koch Arena - I hope the crowd brings the energy &amp; noise! Go Shox! #WatchUs,,False,Sun Nov 20 18:00:54 +0000 2016,18,800398528132632576
