favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,My Op-Ed in @WashTimes: Russian disinformation and practiced intimidation - https://t.co/Q7xL4U7DkQ,,False,Thu Dec 29 15:49:51 +0000 2016,0,814498673488904193
1,TweetDeck,"Score one for the veteran and his pup. They are certainty doing a job worth a good ear scratch. #STTA
https://t.co/hUbPoaNf2a",,False,Wed Dec 21 00:00:02 +0000 2016,1,811360542908620801
0,TweetDeck,"For our own future, these issues are too important to get wrong and more serious than any movie. #STTA
https://t.co/sra0bgg4bE",,False,Tue Dec 20 20:00:00 +0000 2016,0,811300138715004928
3,TweetDeck,"If we want to win the war in Afghanistan, we should look at the safe havens in Pakistan that fuel insurgency. #STTA
https://t.co/O83LK4fMLU",,False,Tue Dec 20 16:00:03 +0000 2016,3,811239751353135104
0,TweetDeck,"Have you talked to your kids about the dangers of the internet? #STTA
https://t.co/XDHnOrb0Vw",,False,Tue Dec 20 00:00:01 +0000 2016,1,810998149216993280
2,TweetDeck,"An extortion for money can quickly turn to one for secrets. As your mother said, keep your pants zipped. #STTA
https://t.co/g2XZV8OIf6",,False,Mon Dec 19 20:00:04 +0000 2016,0,810937763973500929
2,Twitter Web Client,"I joined @CNNSotu this weekend to talk U.S. election and Russian hacking:

https://t.co/RNa4zH8TWx",,False,Mon Dec 19 18:43:59 +0000 2016,0,810918618120777728
8,Twitter Web Client,"Russian hacking is about more than Red vs. Blue.  It's about the red, white, and blue.

https://t.co/TyfWvp0Vzf",,False,Mon Dec 19 18:35:05 +0000 2016,3,810916380333768705
1,TweetDeck,"Given the number of cybersecurity issues, we can’t ramp up the government’s attention on this too much. #STTA
https://t.co/hYxQgWTjyQ",,False,Mon Dec 19 16:00:04 +0000 2016,0,810877366796857344
1,TweetDeck,"Competitors’ teachers almost all had advanced math training, half of ours did. Time to solve the math problem. #STTA
https://t.co/BGWMNUudRq",,False,Sat Dec 17 00:00:00 +0000 2016,0,809910984802304000
0,TweetDeck,"Govt could have done just fine without the additions. Government on Weight Watchers? That should do the trick. #STTA
https://t.co/JbUKAzNcur",,False,Fri Dec 16 20:00:04 +0000 2016,0,809850602289119232
6,TweetDeck,"The Russians and Chinese have stepped up their cyber efforts against US and Snowden helped them do it. #STTA
https://t.co/T7nPMfbEKi",,False,Fri Dec 16 16:00:01 +0000 2016,6,809790191959359488
2,Twitter Web Client,I look forward to joining @CNNSotu this Sunday morning hosted by @JakeTapper. Lots to talk about this week!,,False,Fri Dec 16 14:45:51 +0000 2016,2,809771525285040128
5,Twitter Web Client,Congrats @RRMGOP.  You've made Michigan proud and you'll be a great chairman of @GOP.,,False,Thu Dec 15 22:06:33 +0000 2016,1,809520045680422912
1,TweetDeck,"Superintendent Ted Bechtel is the real star of the show. For the past 12 years, he’s chosen the tree. #STTA 
https://t.co/8DsmR3GPVD",,False,Mon Dec 12 23:00:01 +0000 2016,0,808446336223891456
3,TweetDeck,"“You are the problem with America!” she said and stiffed him on the tip. So much for tolerance. #STTA
https://t.co/TapBKKCJXn",,False,Mon Dec 12 20:00:00 +0000 2016,0,808401034838085633
4,TweetDeck,"Imagine not being able to get to your coffee shop. That many Americans without caffeine could be dangerous. #STTA
https://t.co/mx7o9Lg6qQ",,False,Mon Dec 12 17:00:02 +0000 2016,1,808355742537355264
2,TweetDeck,"Lots of ways to avoid confrontation but best we learn the lessons of history or we’re doomed to repeat it. #STTA
https://t.co/eCJfhtIa2Z",,False,Fri Dec 09 00:00:02 +0000 2016,1,807011888185929728
2,TweetDeck,"To worry about the narrative and not the substance of beating ISIS is why we’ve lost lives at home. #STTA
https://t.co/0JxEsbwq9V",,False,Thu Dec 08 21:00:03 +0000 2016,1,806966594110820353
4,TweetDeck,"Siren song of isolationism gets loud every few years but Pearl Harbor reminds us we can’t hide from the world. #STTA
https://t.co/H88f2MoK4n",,False,Thu Dec 08 19:00:04 +0000 2016,2,806936397970075652
4,TweetDeck,"The Obama counterterrorism legacy is mixed at best and he forgot to mention San Bernardino or Orlando. #STTA
https://t.co/B0OeavQO2c",,False,Thu Dec 08 15:00:04 +0000 2016,0,806876001049264128
0,TweetDeck,"Nothing says communism like a screwed up funeral. #STTA
https://t.co/8aJJt5n26N",,False,Wed Dec 07 23:00:02 +0000 2016,1,806634403044564992
0,Twitter Web Client,"On ISIS and the President's final foreign policy speech
https://t.co/NMdRjFA4mH",,False,Wed Dec 07 20:35:35 +0000 2016,0,806598049518747650
0,Twitter Web Client,"On North Korea's cyberattack against South Korea and threat to U.S. 
https://t.co/YBml6Rcx9m",,False,Wed Dec 07 20:34:01 +0000 2016,1,806597655828791296
