favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
50,TweetDeck,#Marietta Post Office to be renamed for #Marine Lance Corporal Squire 'Skip’ Wells→ https://t.co/FVrragfKWu https://t.co/NPnHuAo5LQ,,False,Fri Dec 16 22:35:20 +0000 2016,19,809889676362391553
0,Twitter Web Client,RT @housebudgetGOP: VIDEO: The budget process is broken…we are going to fix it. #BudgetReform https://t.co/IX6Zv7jWcA,,True,Tue Dec 13 17:15:49 +0000 2016,9,808722104782880768
97,TweetDeck,"75 years later, remembering those brave Americans who lost their lives on ""a date which will live in infamy.""… https://t.co/aZFXO9HhF7",,False,Wed Dec 07 16:05:44 +0000 2016,47,806530139672678400
0,Twitter Web Client,RT @housebudgetGOP: #INFOGRAPHIC on the broken budget process and what the House Budget Committee’s #BudgetReform would do: https://t.co/8l…,,True,Thu Dec 01 19:14:13 +0000 2016,45,804403245644914689
0,Twitter Web Client,RT @housebudgetGOP: Weds: @RepTomPrice to deliver keynote address on “Reforming the Congressional Budget Process” @BrookingsInst 11/30 http…,,True,Mon Nov 28 16:48:53 +0000 2016,66,803279507625046016
79,Twitter Web Client,"Read my statement on the death of Fidel Castro here→
https://t.co/SVySrM6tyt",,False,Sat Nov 26 20:37:16 +0000 2016,41,802612207141863424
0,Twitter for iPhone,RT @RepTomPrice: What’s good for #smallbiz is good for #America. That’s why our #BetterWay plan helps #smallbiz &amp; reminder #SmallBusinessSa…,,True,Sat Nov 26 16:12:09 +0000 2016,52,802545487878291457
50,Twitter for iPhone,"This year, we have much to be #thankful for.  Wishing you and your loved ones a very #HappyThanksgiving! https://t.co/rOocQRy6Hn",,False,Thu Nov 24 15:54:15 +0000 2016,10,801816208454467584
127,TweetDeck,What’s good for #smallbiz is good for #America. That’s why our #BetterWay plan helps #smallbiz &amp; reminder… https://t.co/moFfrnvQzg,,False,Wed Nov 23 16:37:24 +0000 2016,52,801464679109459969
0,Twitter Web Client,RT @housebudgetGOP: ALERT: @RepTomPrice to deliver address on “A Reform Agenda for the Federal Budget Process” 11/30 @BrookingsInst https:/…,,True,Tue Nov 22 20:42:35 +0000 2016,13,801163992135856128
0,Twitter Web Client,"RT @USGLC: America must lead. It’s remarkably important, not just to US but to peace and stability and security of the world. —@RepTomPrice…",,True,Mon Nov 21 17:37:40 +0000 2016,24,800755068957954049
135,Twitter Web Client,"TODAY the House acted to stop Obama Admin’s last-minute regulatory oppression by passing Midnight Rules Relief Act→
https://t.co/stx8OpWtUo",,False,Thu Nov 17 20:58:29 +0000 2016,79,799356056895889408
