favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
111,Twitter for iPhone,"This man &amp; his hate group do not represent Whitefish, do not represent Montana values &amp; will never represent Montana https://t.co/H4fRUpapcN",,False,Thu Dec 22 00:33:01 +0000 2016,44,811731231977115649
15,Twitter for iPhone,Bravo Zulu!  https://t.co/8MqOPnTRCV,,False,Sun Dec 18 12:19:28 +0000 2016,3,810459465434759169
156,TweetDeck,".@BetsyDeVos is definitely up to the job. Our kids are not cookie cutter, our schools shouldn't be either. https://t.co/4pTZTMUQSv",,False,Tue Dec 13 21:40:38 +0000 2016,79,808788746531438593
0,TweetDeck,"RT @HeardontheHill: “I’ll take a moment here and tell you about Mattis, because he’s an American hero"" @RyanZinke in his new book https://t…",,True,Tue Dec 13 16:38:46 +0000 2016,34,808712781012889600
0,TweetDeck,"RT @helenaironline: U.S. says forces killed 3 Islamic State leaders, including 2 involved in Paris attacks https://t.co/eZC4JHPLXZ",,True,Tue Dec 13 16:07:25 +0000 2016,16,808704888507133952
603,Twitter for iPhone,Look who crashed my interview with @kilmeade! Great friend &amp; patriot @AllenWest - I'd love to see this guy as VA Sec https://t.co/m9Vu4lRoqZ,,False,Mon Dec 12 16:26:07 +0000 2016,210,808347207380455425
42,Twitter for iPhone,Great to be on @Morning_Joe today https://t.co/QqvjFHA43Q,,False,Mon Dec 12 12:01:29 +0000 2016,7,808280612104568832
0,Twitter for iPhone,"RT @senatortomdavis: .@RyanZinke: ""OMB? It needs to be taken out and beat up and @RepMickMulvaney is just the perfect guy for that... https…",,True,Sun Dec 11 19:09:53 +0000 2016,5,808026035388370944
0,Twitter for iPhone,"RT @TeamTrump: Former Navy SEAL CDR lauds Gen. Mattis:

'He understands the principle that if you go to war, you go to war to win.'
https:/…",,True,Fri Dec 09 17:04:14 +0000 2016,523,807269638979497984
0,Twitter for iPhone,RT @HeardontheHill: .@RepRyanZinke is speaking about his new book at @Heritage today https://t.co/75v1k395aW,,True,Fri Dec 09 15:07:20 +0000 2016,5,807240218910871556
3,Twitter for iPhone,@FromThePot @jockowillink @JasonRedmanWW @EchelonFront very cool,FromThePot,False,Fri Dec 09 13:06:45 +0000 2016,0,807209871842091008
0,TweetDeck,"RT @jfranz88: .@SkiWhitefish announces that 1,500 people braved sub-zero temps. yesterday on Opening Day of 2016-17 season #MTnews https://…",,True,Thu Dec 08 19:59:34 +0000 2016,9,806951372654596096
0,TweetDeck,"RT @TheIJR: Listen to the new podcast @InSessionIJR, featuring an interview with @RyanZinke on his new book 'American Commander' https://t.…",,True,Thu Dec 08 16:05:08 +0000 2016,13,806892375356358656
0,TweetDeck,RT @thehill: JUST IN: Trump picks pro wrestling mogul Linda McMahon for administration role https://t.co/7X3Ytu55VK https://t.co/RnYpb8Fl6Q,,True,Wed Dec 07 21:45:10 +0000 2016,54,806615560800890880
18,TweetDeck,We gotta update our @NatlParkService infrastructure. https://t.co/qOuGXDrYuQ,,False,Wed Dec 07 21:14:03 +0000 2016,4,806607729242603520
0,Twitter for iPhone,"RT @HerbCarmen: .
.@RyanZinke speaking at the @NavalInstitute Defense Forum about the challenges facing next SecDef. https://t.co/mG2gbDDGkH",,True,Wed Dec 07 17:07:51 +0000 2016,5,806545772095401984
45,TweetDeck,I'm on the @oreillyfactor tonight talking #GeneralMattis for #SECDEF I hope you can tune in #maga,,False,Mon Dec 05 23:45:27 +0000 2016,8,805921055504236545
46,TweetDeck,I'm on with @ErinBurnett on @CNN tonight at 7:00pm est 5pm mt. Talking #Mattis for #SECDEF #maga &amp;… https://t.co/fEF3Thy78f,,False,Fri Dec 02 22:23:10 +0000 2016,16,804813184871841796
0,TweetDeck,"RT @FNC_Ladies_Rule: #ANHQ w/ @ShannonBream 2pm ET   @FoxNews 

@RepRyanZinke will be one of the guests. https://t.co/FHlPrnOEDN",,True,Fri Dec 02 19:44:34 +0000 2016,8,804773269211676672
19,Twitter for iPhone,I'm coming up next on @FoxNews with @ShannonBream #Mattis #SecDef #AmericanCommander,,False,Fri Dec 02 19:11:09 +0000 2016,2,804764860827533313
0,TweetDeck,RT @TimRunsHisMouth: WATCH:  My EXCLUSIVE interview with @RyanZinke about his time as a Navy SEAL!  SPOILER: He nearly breaks my arm off ht…,,True,Fri Dec 02 18:27:31 +0000 2016,27,804753883121721344
0,TweetDeck,RT @JoePerticone: Here's Montana Rep. Ryan Zinke on Gen. James Mattis. Zinke was JSOC commander in Iraq when Mattis was leading 1st Marines…,,True,Fri Dec 02 02:47:01 +0000 2016,44,804517197255217152
0,TweetDeck,RT @jasoninthehouse: Taking the train to DC with my colleague Rep Ryan Zinke who just wrote a book about what it's… https://t.co/XgU0Tx0rCt,,True,Tue Nov 29 20:34:22 +0000 2016,39,803698639801581568
37,Twitter for iPhone,Great to have the endorsement of @LouDobbs https://t.co/r7KCSbTuNL,,False,Tue Nov 29 00:59:32 +0000 2016,14,803402984407306241
0,TweetDeck,RT @FoxNews2017: Rep. Zinke on possibility of Mattis as secretary of defense: https://t.co/PRV28OKqyn via @YouTube,,True,Mon Nov 28 21:36:17 +0000 2016,9,803351833448161280
0,TweetDeck,RT @helenaironline: Trump names Zinke's wife Lolita to VA landing team https://t.co/Y0tkIqytHm #mtpol @helenaironline https://t.co/S47HyTy9…,,True,Mon Nov 28 21:35:03 +0000 2016,29,803351523497545730
0,TweetDeck,RT @foxnewstalk: Retired Seal Rep Ryan Zinke (R-MT) On Why Women Should Be Allowed To Serve In Elite Combat Unites https://t.co/7LqkRrCVEu…,,True,Mon Nov 28 21:34:58 +0000 2016,5,803351501741715457
0,Twitter for iPhone,"RT @SiriusXMPatriot: Congressman @RyanZinke &amp; Scott McEwen joining @WilkowMajority in studio. New book ""American Commander"" https://t.co/P6…",,True,Mon Nov 28 17:37:18 +0000 2016,8,803291691423698945
4,Twitter for iPhone,I always have fun with @WilkowMajority https://t.co/zzxMwSXfO5,,False,Mon Nov 28 17:34:11 +0000 2016,0,803290909681061888
9,Twitter for iPhone,On live with @kilmeade https://t.co/iY0xd4rU3h,,False,Mon Nov 28 14:38:47 +0000 2016,1,803246767479418880
50,Twitter for iPhone,Great to be with my friend and coauthor Scott McEwen #BetterWithFriends #AmericanCommander @foxandfriends 📚 https://t.co/OZLZs38TeH,,False,Mon Nov 28 12:06:13 +0000 2016,23,803208371666964480
13,Twitter for iPhone,@TimRunsHisMouth i went easy on you 🔪🗡,TimRunsHisMouth,False,Thu Nov 17 21:37:46 +0000 2016,2,799365940500631553
0,TweetDeck,"RT @GFTrib_KPuckett: Blackfeet water compact bill passes House committee, @RepRyanZinke says. Previously passed full Senate. https://t.co/I…",,True,Wed Nov 16 23:01:20 +0000 2016,8,799024582149763072
0,TweetDeck,RT @mtstandard: Popular park: 2.8 million-plus have entered Glacier this year https://t.co/mxaukzWNr6 https://t.co/XIJa4ywY8E,,True,Mon Nov 14 19:06:20 +0000 2016,7,798240669965885441
111,Twitter for iPhone,I'd like to thank every person who put on the uniform to serve our nation. #VeteransDay 🇺🇸🎗 https://t.co/UH3OUKbvf1,,False,Fri Nov 11 13:57:20 +0000 2016,37,797075742366502912
0,TweetDeck,RT @AP_Politics: BREAKING:  Donald Trump is elected president of the United States. https://t.co/OIJcRFNOGY,,True,Wed Nov 09 07:32:54 +0000 2016,21904,796254222421348352
205,Twitter for iPhone,Thank You Montana!!!!!!!!,,False,Wed Nov 09 06:56:45 +0000 2016,45,796245121180143616
0,Twitter for iPhone,RT @_AngelaMarshall: @AP declares @RyanZinke the winner of Montana's lone U.S. House of Representatives seat. #Election2016 #ElexHQ #mtpol…,,True,Wed Nov 09 06:55:13 +0000 2016,15,796244735346118656
0,TweetDeck,"RT @CNNPolitics: BREAKING: Donald Trump will win Montana’s 3 electoral votes, CNN projects https://t.co/yzr69NrOky #ElectionNight https://t…",,True,Wed Nov 09 03:02:42 +0000 2016,99,796186220451635201
0,TweetDeck,RT @RobChaney1: Cheering starts in Whitefish as #Montana called for Trump #mtpol,,True,Wed Nov 09 03:01:54 +0000 2016,6,796186020316254208
0,TweetDeck,RT @samv1989: Guess what!! #IVOTED #MTpol fingers crossed for @RyanZinke and @gianforte https://t.co/Eg9AMt3Boq,,True,Wed Nov 09 03:00:21 +0000 2016,1,796185630036217856
0,TweetDeck,"RT @RobChaney1: About 100 GOP waiting for polls to close, @RepRyanZinke to appear https://t.co/NrIyg2bIVQ",,True,Wed Nov 09 02:58:33 +0000 2016,5,796185178397810689
0,TweetDeck,"RT @K_Hought: 20 minutes before polls close, multi-hour waits reported across MT. Zinke fans gather in WF for results #mtpol https://t.co/4…",,True,Wed Nov 09 02:43:17 +0000 2016,6,796181334355910656
0,TweetDeck,RT @adegrandpre: The early results in congressional races involving Iraq &amp; Afghanistan vets. Many more still TDB. We're tracking here https…,,True,Wed Nov 09 02:00:18 +0000 2016,37,796170519590539264
42,TweetDeck,Big congrats to a fellow Navy man @Jim_Banks in Indiana #VoteVet Looking forward to having more veterans in Congress!,,False,Wed Nov 09 01:49:45 +0000 2016,8,796167862238855168
13,TweetDeck,"Congrats to my friend @BrianMastFL !!! Looking forward to working with you, brother! #VoteVets #ElectionDay",,False,Wed Nov 09 01:47:15 +0000 2016,4,796167236725645312
36,Twitter for iPhone,If you're in Whitefish join us at the Lodge for the victory party! 🇺🇸👍🏻 https://t.co/4w3hpNq9an,,False,Wed Nov 09 00:36:34 +0000 2016,5,796149447231213568
0,Twitter for iPhone,"RT @OIA: .@RyanZinke, good luck today &amp; thank you for supporting the outdoor recreation economy",,True,Tue Nov 08 16:31:47 +0000 2016,6,796027445136633856
46,Twitter for iPhone,We started the campaign together and we voted together! #maga #mtpol #gotv #LoveYouLola https://t.co/yeY0nMQA7c,,False,Tue Nov 08 16:31:40 +0000 2016,12,796027419262009344
26,Twitter for iPhone,Lola and I voting in Whitefish. Make sure you get to the polls! Find your polling place here https://t.co/Vnqrd6GMFM https://t.co/MS3loS1Z4M,,False,Tue Nov 08 16:27:14 +0000 2016,5,796026300561379328
18,Twitter for iPhone,It's #electionday and Lottie wants you to #GOTV 👍🏻🇺🇸🐶 https://t.co/dPyk6QjT10,,False,Tue Nov 08 15:27:33 +0000 2016,3,796011283107586048
45,Twitter for iPhone,Honk if you love freedom! #gotv 🇺🇸👍🏻 https://t.co/XAzd6vzIiX,,False,Tue Nov 08 14:31:40 +0000 2016,16,795997218192822272
12,Twitter for iPhone,Good looking amphibious vehicle in Polson. https://t.co/TmCnTs30UJ,,False,Mon Nov 07 19:04:52 +0000 2016,2,795703583945592832
27,Twitter for iPhone,Lola and I were up with the sun this morning in Columbia Falls. 24 hours. #gotv #mtpol https://t.co/sDjBZ7y18c,,False,Mon Nov 07 16:10:07 +0000 2016,9,795659604977807360
27,Twitter for iPhone,"#OnThisDay in 1916, Montana elected the first woman to Congress, Republican Rep. Jeannette Rankin. She's an inspiration for all Montanans.",,False,Mon Nov 07 14:54:02 +0000 2016,8,795640459158634496
5,TweetDeck,This is America's moment - NBC Montana https://t.co/a2cAr4x1Wf #Mtpol,,False,Fri Nov 04 20:27:00 +0000 2016,3,794637090776485888
0,TweetDeck,RT @WillNBCMT: Zinke: 'This is America's moment' https://t.co/NzBgqwc3oq #ryanzinke #ushouse #decision2016,,True,Fri Nov 04 20:22:27 +0000 2016,4,794635944787853312
8,TweetDeck,I'm coming up next on @VoicesofMT #mtpol,,False,Fri Nov 04 15:28:06 +0000 2016,3,794561869885210624
0,TweetDeck,"RT @BenCollins1776: BREAKING: Two US service members killed, four wounded fighting the Taliban in Afghanistan https://t.co/LARvwhuG6r",,True,Thu Nov 03 19:45:41 +0000 2016,12,794264304631484416
1,TweetDeck,@Teal11 @RyanZinke @mchooyah @amazon Amen.,Teal11,False,Thu Nov 03 17:53:17 +0000 2016,1,794236017339416576
6,TweetDeck,"Zinke Talks Issues, Leadership Record - The Glasgow Courier #mtpol https://t.co/IuKBpNmGww",,False,Thu Nov 03 17:00:18 +0000 2016,7,794222685291212800
78,TweetDeck,"Thanks for the love, brother https://t.co/rXafElGhEk",,False,Thu Nov 03 16:52:35 +0000 2016,8,794220742355419136
5,TweetDeck,Great having Angela on the trail https://t.co/H12ZGIq1lb #mtpol,,False,Wed Nov 02 16:39:02 +0000 2016,1,793854943618699264
25,Twitter for iPhone,Thank you all so much for the warm birthday wishes 🙏🏻🎈,,False,Tue Nov 01 16:23:30 +0000 2016,0,793488646959575042
0,Twitter for iPhone,RT @jowen26: Great rally in Billings this morning for @RyanZinke and #mtgop statewide candidates! #raisingthemright #mtpol https://t.co/4It…,,True,Sun Oct 30 23:35:57 +0000 2016,4,792872701102653440
0,Twitter for iPhone,RT @PRyan: Great to be in Montana this morning with Steve Daines and Ryan Zinke ! #mtpol https://t.co/p8WhYrUNnP,,True,Sun Oct 30 20:24:32 +0000 2016,47,792824529848377347
12,Twitter for iPhone,What a wonderful rally with a hundred of my closest #Billings friends and @SpeakerRyan https://t.co/VxquVmAQB7,,False,Sun Oct 30 20:21:31 +0000 2016,3,792823770134130688
13,Twitter for iPhone,Team building tonight. https://t.co/mvGkQ4AIpV,,False,Sun Oct 30 00:02:59 +0000 2016,1,792517116909924352
19,Twitter for iPhone,Sneak peek at tomorrow's rally in Billings #mtpol 🇺🇸 https://t.co/39yI12ZaMH,,False,Sat Oct 29 19:51:27 +0000 2016,4,792453814376771584
27,Twitter for iPhone,Inspiring morning with breast cancer fighters in Bozeman. https://t.co/NNmtwtLaSO,,False,Sat Oct 29 16:58:26 +0000 2016,6,792410275714478080
14,Twitter for iPhone,Thanks for coming out in Butte last night! Early day today in Bozeman. https://t.co/ZLjdmf0oIC,,False,Sat Oct 29 11:28:44 +0000 2016,3,792327302562455552
0,TweetDeck,RT @bozchron: Opinions:  Rep. Zinke will fight for our military and veterans https://t.co/RjvHLQSH04 #bdcnews #bdcnews,,True,Fri Oct 28 16:30:56 +0000 2016,3,792040964952952832
0,TweetDeck,RT @963theblazefm: Ryan Zinke Slams DOD For Demanding Return Of Military Bonuses From Guard Members https://t.co/udcHUEKpFy,,True,Fri Oct 28 01:01:58 +0000 2016,12,791807182656278528
17,Twitter for iPhone,Beautiful drive to Dillon today! #mtpol #lastbestplace https://t.co/fVdAADnSyI,,False,Tue Oct 25 23:59:22 +0000 2016,4,791066654742458368
0,Twitter for iPhone,RT @IrelandSanFran: To end our #Montana A-Z we were delighted that Congressman Ryan Zinke joined the Ambassador at the Irish Studies Confer…,,True,Tue Oct 25 23:58:48 +0000 2016,13,791066511708295168
0,TweetDeck,"RT @billingsgazette: New @msubillings poll shows @BullockforMT, @RyanZinke leading #mtpol https://t.co/Ibju1igCVZ https://t.co/mwPfKu48xD",,True,Tue Oct 25 23:09:50 +0000 2016,4,791054190650929153
0,TweetDeck,RT @aprillafever: Just downloaded my #SneakPeek of #AmericanCommander by @RyanZinke! Can't wait to read it! https://t.co/ypSsjQw0Ro,,True,Tue Oct 25 23:08:51 +0000 2016,4,791053941937090560
10,TweetDeck,Next stop: talking with the team at the @RavalliRepublic -- support your local news! #mtpol https://t.co/1Rb1WgaPA2,,False,Tue Oct 25 20:02:26 +0000 2016,2,791007028650979329
6,TweetDeck,Great visiting with folks at BJ's in Hamilton today. #MTPOL https://t.co/aIVMg8ivQ5,,False,Tue Oct 25 19:57:35 +0000 2016,0,791005808913817600
0,TweetDeck,@CarolBuchananMT Go Dawgs!,CarolBuchananMT,False,Mon Oct 24 18:35:29 +0000 2016,0,790622757096599553
0,TweetDeck,"RT @RenegadeTrucker: @RyanZinke Shipmate! I was proud to vote for you today, keep given em hell! https://t.co/3jGU2YnSDt",,True,Mon Oct 24 18:34:36 +0000 2016,2,790622537759596544
28,TweetDeck,"Breaking news: I also lived in Iraq. 
Zinke rejects accusations he's more CA than MT @billingsgazette https://t.co/TDJFrAlFht #mtpol",,False,Mon Oct 24 16:01:08 +0000 2016,14,790583915060666368
25,TweetDeck,Great to stop by my hometown newspaper for an interview this morning. Support your #local news!  @whitefishpilot… https://t.co/eyAxlaV03k,,False,Mon Oct 24 15:53:39 +0000 2016,9,790582031193247744
17,Twitter for iPhone,Honk if you love #america 🚗🇺🇸👍🏻 https://t.co/uSEyLws7xW,,False,Sun Oct 23 19:37:16 +0000 2016,8,790275920091197440
8,Twitter for iPhone,Driving around town with @NBCMontana this morning. https://t.co/VFIFlhypA5,,False,Sun Oct 23 17:32:11 +0000 2016,2,790244439922913280
8,Twitter for iPhone,Talking kitchen table issues at the kitchen table with Will from @NBCMontana https://t.co/XgXnZgQPzE,,False,Sun Oct 23 16:12:59 +0000 2016,4,790224508703559680
10,Twitter for iPhone,Good to have Will from @NBCMontana in Whitefish today. https://t.co/hjrOL1MElU,,False,Sun Oct 23 15:54:45 +0000 2016,0,790219923171651584
54,TweetDeck,My mom in law passed peacefully this morning surrounded by family. Lola &amp; I thank you for all thoughts and prayers. It truly means a lot.,,False,Thu Oct 20 18:07:53 +0000 2016,7,789166262001684481
17,TweetDeck,Honored to have the endorsement of the @billingsgazette #mtpol https://t.co/oqN51fi9sv https://t.co/BiJjPVI27l,,False,Wed Oct 19 17:10:38 +0000 2016,11,788789465607045120
0,TweetDeck,RT @billingsgazette: Gazette opinion: Keep @RyanZinke in Congress for #Montana https://t.co/HkQKoafeB9 #mtpol https://t.co/xAaDh0uLLS,,True,Wed Oct 19 16:03:13 +0000 2016,11,788772501279039488
0,TweetDeck,RT @Montana_Guide: Billings Gazette Gazette opinion: Keep Zinke in Congress for Montana Billings Gazette Rep. Ryan… https://t.co/Z1mpEMwJJs,,True,Wed Oct 19 15:16:24 +0000 2016,5,788760720842252289
0,TweetDeck,RT @AlexRossHDN: @RepRyanZinke  trounces @denisejuneau among independents 54-37% in new @MasonDixonPoll #mtpol,,True,Tue Oct 18 20:54:01 +0000 2016,8,788483294782304256
34,TweetDeck,"I'm taking a brief time off the campaign trail to be with my family, as my mother-in-law has fallen ill and begun her final days with us.",,False,Mon Oct 17 20:52:59 +0000 2016,7,788120648367341568
28,TweetDeck,Up 13 points in the latest poll by @missoulian Humbled to have so much support for our campaign.… https://t.co/eemHJBV9JO,,False,Mon Oct 17 18:07:08 +0000 2016,7,788078909996793857
21,Twitter for iPhone,Godspeed. https://t.co/8YscVB2S06,,False,Mon Oct 17 03:16:16 +0000 2016,6,787854713769177088
17,Twitter for iPhone,Rain or shine it's time to #GOTV #MTPOL https://t.co/2Otp0RmUtd,,False,Fri Oct 14 22:58:13 +0000 2016,11,787064997595590656
0,TweetDeck,"RT @mtstandard: LOCAL: Incumbent Ryan Zinke says security, jobs, health care top priorities https://t.co/mcixuU8NdT",,True,Fri Oct 14 19:38:34 +0000 2016,6,787014757106667521
0,TweetDeck,"RT @_buttemt: Incumbent Ryan Zinke says security, jobs, health care top priorities https://t.co/OYtSxxISvn",,True,Fri Oct 14 18:40:32 +0000 2016,3,787000152011608064
0,TweetDeck,"RT @_AngelaMarshall: Lumber supply, healthy forest management... all discussed today in Seeley Lake with @RepRyanZinke &amp; Pyramid Lumber's L…",,True,Fri Oct 14 18:21:10 +0000 2016,4,786995278226137088
3,Twitter for iPhone,Happy to have Angela from @ABCFOXMT on the campaign bus today. #mtpol Ragnar likes having another lap to sit on too. https://t.co/0jBWbBHndd,,False,Fri Oct 14 15:45:23 +0000 2016,6,786956072518979584
6,Twitter for iPhone,Great to be in the studio with the guys at @kgvoam and I'm taking your questions. #mtpol https://t.co/ZdROUMkNWP,,False,Fri Oct 14 13:58:39 +0000 2016,6,786929211776700416
23,TweetDeck,So proud of my wife Lola for always standing up for what she believes in https://t.co/XWVZP0PebV,,False,Wed Oct 12 16:01:15 +0000 2016,8,786235290025271296
19,Twitter for iPhone,Good morning Columbia Falls! #mtpol https://t.co/bZx4VOJfR8,,False,Wed Oct 12 14:13:27 +0000 2016,6,786208160696573952
31,Twitter for iPhone,Wow! What. A. View.  Nothing like a fresh blanket of snow in the Flathead.  #treasurestate #lastbestplace https://t.co/aqhO5cFXAb,,False,Tue Oct 11 14:42:12 +0000 2016,3,785853009838440448
10,Twitter for iPhone,Lola and I are joining John this morning at @KGEZ1 in Kalispell. #mtpol https://t.co/L9ZFFTSfK8,,False,Tue Oct 11 14:32:56 +0000 2016,2,785850677524299776
25,Twitter for iPhone,Perfect Whitefish night for a fire with my beautiful wife. Happy birthday Lola! https://t.co/zq8BYRRivn,,False,Tue Oct 11 04:24:22 +0000 2016,3,785697526141685760
23,TweetDeck,Please join Lola and me in praying for our two wounded service members https://t.co/tq5FHjZX4j,,False,Mon Oct 10 15:00:06 +0000 2016,7,785495127825354752
33,Twitter for iPhone,Hillary has not driven a car since the  80s. She says she knows the middle class? #debate,,False,Mon Oct 10 02:26:04 +0000 2016,18,785305365973966848
30,Twitter for iPhone,"A few special forces will not provide the overwhelming force needed. We need appropriate force package to provide medivac, QRF, etc. #debate",,False,Mon Oct 10 02:15:00 +0000 2016,11,785302583355121664
102,Twitter for iPhone,Two of my brothers died in #Benghazi during Hillary's political career. Where was that on the sound bite list? #debate,,False,Mon Oct 10 02:05:04 +0000 2016,84,785300081180225541
107,Twitter for iPhone,Hillary also lied about being under sniper fire in Bosnia. I was on the tarmac sitting in a lawn chair. No shots fired. #StolenValor #debate,,False,Mon Oct 10 02:04:00 +0000 2016,72,785299815227809792
22,Twitter for iPhone,We have to make the tax code fair and much much more simple. The complexity makes everyone a defendant or a suspect in the IRS's eyes.,,False,Mon Oct 10 01:54:19 +0000 2016,9,785297378806865920
14,Twitter for iPhone,Did Hillary Clinton just blame Honest Abe for her lies? #debate,,False,Mon Oct 10 01:50:51 +0000 2016,3,785296502704836608
25,Twitter for iPhone,Montana law enforcement cite huge quantities of cheap meth from Mexico as the no 1 reason for the epidemic. Need to secure border. #debate,,False,Mon Oct 10 01:48:26 +0000 2016,11,785295896636329984
44,Twitter for iPhone,FBI agrees: Current vetting is inadequate. A bipartisan veto-proof House majority voted to stop it and fix it. #SAFEAct #Refugees,,False,Mon Oct 10 01:44:30 +0000 2016,30,785294906885492737
11,Twitter for iPhone,Smart move talking about Bernie Sanders criticisms of Clinton. Bernie won Montana. #debate,,False,Mon Oct 10 01:37:16 +0000 2016,2,785293087534755844
