favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
16,Sprout Social,"Today we remember the 75th anniversary of Pearl Harbor by honoring those who lost their lives, that tragic day.… https://t.co/SONL0GYnvM",,False,Wed Dec 07 15:46:54 +0000 2016,9,806525400323080192
16,Sprout Social,$125 billion more in bureaucratic waste. Another example of why I fight for smaller government. https://t.co/zIGNLLkVj1,,False,Tue Dec 06 18:19:59 +0000 2016,12,806201537026519043
3,Sprout Social,"Pres. Obama has been eager to say if Congress is not acting, he will. This is far-reaching and unconstitutional. https://t.co/EQ8f6EHXBZ",,False,Mon Dec 05 17:10:05 +0000 2016,1,805821558283468801
1,Sprout Social,Two Oklahoma teams will be fighting for the Big 12 tomorrow. Who are you rooting for? https://t.co/3xsmjcMqMr,,False,Fri Dec 02 19:00:15 +0000 2016,0,804762119531036680
0,Sprout Social,Did you know today is #GivingTuesday? What a wonderful way to begin this season of giving.,,False,Tue Nov 29 20:48:35 +0000 2016,0,803702217710698497
0,Sprout Social,"Regulatory uncertainty has made it hard for businesses to plan. Hopefully, @realDonaldTrump will cancel the OT rule https://t.co/NNojSIH4qI",,False,Mon Nov 28 21:06:41 +0000 2016,3,803344385639333888
5,Sprout Social,"Wishing everyone a #HappyThanksgiving. Please join Marlyn and I in praying for, and thanking, all the men &amp; women s… https://t.co/7U1hGMQwvK",,False,Thu Nov 24 15:00:36 +0000 2016,0,801802706939678721
1,Sprout Social,How will you survive Election talk this #Thanksgiving &amp; still get an invite for Christmas? Take my survey! https://t.co/s9zeuREGuZ,,False,Wed Nov 23 16:22:58 +0000 2016,0,801461045298692098
6,Sprout Social,Pleased an emergency injunction was issued against Obama's OT rule. It's important the Court acted so quickly to prevent this uncertainty.,,False,Wed Nov 23 00:33:34 +0000 2016,7,801222120088936449
0,Sprout Social,"I was on the @JCats2013 Sunday show, talking about my thoughts on Presidential-elect @realdonaldtrump incoming admin https://t.co/xkmAZm6sIa",,False,Mon Nov 21 21:25:48 +0000 2016,0,800812480553504772
2,Sprout Social,Looking forward to cheering on my son Cade in his second playoff game tonight. Bring home a W for Cascia Hall High School.,,False,Fri Nov 18 20:54:31 +0000 2016,0,799717442909917185
3,Sprout Social,"I've fought for 6 yrs against the ACA, WOTUS, Immigration &amp; the Clean Power Plan. Which should #Trump tackle first? https://t.co/V7tQaTqbOc",,False,Thu Nov 17 16:51:42 +0000 2016,2,799293948611203072
