favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
325,Twitter for iPhone,Did you even listen the clip before you posted this?  Your tweets are as bad as your IT security https://t.co/QiyNVXNg0w,,False,Tue Jan 10 19:38:23 +0000 2017,157,818904843209285634
82,Twitter Web Client,cool - you can get them at @gop store https://t.co/OIyz2OhlZq https://t.co/OT1JLbu1w5,,False,Tue Jan 10 19:03:48 +0000 2017,22,818896138300456963
0,Twitter Web Client,"RT @FoxNewsInsider: .@seanspicer: Cabinet Picks Will Implement @realDonaldTrump's Agenda, Not Their Own @OutnumberedFNC https://t.co/JnZxij…",,True,Tue Jan 10 18:59:14 +0000 2017,71,818894988050362368
0,Twitter Web Client,"RT @OutnumberedFNC: .@seanspicer: ""When you come into a Trump admin, it's the Trump agenda that you are implementing, not your own."" https:…",,True,Tue Jan 10 18:58:14 +0000 2017,85,818894739684622338
0,Twitter Web Client,RT @parscale: FUN FACT: @EricTrump @jaredkushner @parscale birthdays are all in the same week. All in the last 7 days! #MAGA #Capricorn,,True,Tue Jan 10 18:52:25 +0000 2017,30,818893272898740224
0,Twitter Web Client,"RT @vanamorrone: #oneluckyguy @seanspicer discusses hearings this week, #TrumpTransition and future of @GOP on @OutnumberedFNC https://t.co…",,True,Tue Jan 10 18:52:06 +0000 2017,25,818893196331806720
167,Instagram,I was @outnumberedfnc today on foxnews w @harrisfaulkner @julieroginsky @meghanmccain… https://t.co/Tm941CwKxQ,,False,Tue Jan 10 18:30:04 +0000 2017,40,818887651562573828
0,Twitter for iPhone,RT @FoxNews: Incoming Press Secretary @seanspicer is #Outnumbered today! Tune in now. https://t.co/ke1s7SA6x7,,True,Tue Jan 10 17:15:31 +0000 2017,113,818868890449170433
0,Twitter Web Client,RT @RajShah84: Then Senate Judiciary Chairman Patrick Leahy (D-VT) Praises Senator Jeff Sessions https://t.co/GuAu1OOogj,,True,Tue Jan 10 16:15:48 +0000 2017,97,818853858424324096
268,Twitter Web Client,.@SBAList to Congress: Confirm @SenatorSessions #Sessions,,False,Tue Jan 10 15:29:44 +0000 2017,111,818842265514897409
231,Twitter Web Client,.@TheDemocrats and @SenSchumer must denounce these tactics from their side ASAP https://t.co/gH2J8kC33W,,False,Tue Jan 10 14:41:47 +0000 2017,146,818830201442488320
267,Twitter Web Client,"amazing the uptick since @realDonaldTrump : U.S. Small-Business Optimism Index Surges by Most Since 1980
cc @NFIB 
https://t.co/5AdV3PgREJ",,False,Tue Jan 10 14:19:25 +0000 2017,159,818824569851183104
243,Twitter Web Client,New From @RNCResearch: Endorsements For @SenatorSessions Flood In https://t.co/KXKIpgrmk6,,False,Tue Jan 10 13:46:33 +0000 2017,121,818816301133131777
964,Twitter Web Client,".@SenatorTimScott endorses @SenatorSessions via @politico @seungminkim
https://t.co/lsa4Adm4lv",,False,Tue Jan 10 13:29:09 +0000 2017,347,818811922439143424
713,Twitter Web Client,"Black pastors rally in Washington for AG nominee @SenatorSessions 
@USATODAY 
https://t.co/2DpSHYUtpG",,False,Tue Jan 10 13:25:48 +0000 2017,391,818811080172519424
196,Twitter Web Client,".@realDonaldTrump 's homeland security pick vows to commit to diversity and tolerance
@politico 
https://t.co/UQwUVKZzcy",,False,Tue Jan 10 13:18:27 +0000 2017,96,818809229532418049
481,Twitter Web Client,".@SenatorSessions pledges to 'protect the civil rights of every American' as attorney general
@politico 

https://t.co/S30S5058yX",,False,Tue Jan 10 12:39:12 +0000 2017,218,818799351120220161
203,Twitter Web Client,"new @politico / @MorningConsult poll -- @realDonaldTrump  48% favorable, 46% unfavorable",,False,Tue Jan 10 12:32:12 +0000 2017,72,818797588107378689
0,Twitter for iPhone,"RT @seungminkim: NEW: @SenatorTimScott backs @SenatorSessions for AG. Met with him personally in Charleston, Scott knows ""what is in [Sessi…",,True,Tue Jan 10 04:45:56 +0000 2017,249,818680250494287872
2491,Twitter for iPhone,"Alibaba job boom: Jack Ma chats with @realDonaldTrump about creating 1 million US jobs over 5 years
@CNBC
https://t.co/O3YbIwtCnd",,False,Mon Jan 09 16:38:07 +0000 2017,1347,818497087033790464
0,Twitter Web Client,RT @MayorFung: Great seeing Gov Hogan &amp; First Lady Yumi Hogan last week while in DC. Proud of his early success in MD all while fighting st…,,True,Mon Jan 09 14:40:24 +0000 2017,47,818467462714916865
199,Twitter for iPhone,Tune in to @FoxNews this am   I'm joining @HowardKurtz @MediaBuzzFNC to talk @transition2017 @realDonaldTrump,,False,Sun Jan 08 12:56:28 +0000 2017,54,818078922407456768
188,Twitter for iPhone,.@transition2017 @realDonaldTrump Sunday show lineup: @Reince on @FoxNewsSunday @FaceTheNation &amp; @KellyannePolls on @MeetThePress @CNNSotu,,False,Sun Jan 08 12:54:32 +0000 2017,67,818078435415302144
239,Twitter for iPhone,Actually is called a comprehensive strategy https://t.co/BVSinaAYPK,,False,Sun Jan 08 12:50:28 +0000 2017,81,818077410495254529
762,Twitter for iPhone,"Current @StateDept spox ""when u r a political appointee in this or any other Admin u have no expectation of staying… https://t.co/Unh6QKhDnF",,False,Sun Jan 08 12:46:35 +0000 2017,362,818076433893519370
358,Twitter for iPhone,"Even President Obama's @StateDept spox says that ""it's common typical practice"" https://t.co/tlq0LZ40HT",,False,Sun Jan 08 12:43:27 +0000 2017,171,818075646769369088
0,Twitter for iPhone,RT @JudgeJeanine: “The movement that Donald Trump has led is a movement of change.” - @seanspicer #Justice,,True,Sun Jan 08 02:46:24 +0000 2017,876,817925391797153793
0,Twitter for iPhone,RT @realDonaldTrump: Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee…,,True,Sat Jan 07 15:12:16 +0000 2017,15800,817750709542223873
90,Twitter Web Client,what to know how you got the beer you're drinking? @RebeccaMSpicer explains to @FamousDC WATCH https://t.co/Z6WzMketTU cc @NBWABeer,,False,Sat Jan 07 01:41:10 +0000 2017,31,817546587245318144
466,Twitter Web Client,.@MittRomney : @realDonaldTrump has made a smart choice for education secretary via @washingtonpost cc @BetsyDeVos https://t.co/9HKFH8L5lS,,False,Sat Jan 07 01:23:19 +0000 2017,153,817542097624502272
0,Twitter for iPhone,"RT @AP: BREAKING: Trump says meeting with intel officials was `constructive,' hacking had `absolutely no effect' on election outcome.",,True,Sat Jan 07 00:18:46 +0000 2017,770,817525852674080769
2284,Twitter for iPhone,Intel briefing has concluded.  PEOTUS &amp; VPEOTUS now monitoring situation in Ft Lauderdale &amp; in contact w @FLGovScott,,False,Fri Jan 06 19:38:52 +0000 2017,775,817455412601651201
1290,Twitter Web Client,Great transition at DoD. Reports to contrary completely false and come from sources who do not have any knowledge o… https://t.co/pYCFiDuPjy,,False,Fri Jan 06 14:21:08 +0000 2017,630,817375451110866946
123,Twitter for iPhone,True story. #married up https://t.co/u46J6mqKZb,,False,Fri Jan 06 01:40:03 +0000 2017,32,817183920533962752
0,Twitter Web Client,"RT @mikememoli: .@seanspicer, re WSJ story: ""There is no truth to this idea of restructuring the intelligence community infrastructure. It…",,True,Thu Jan 05 21:58:22 +0000 2017,181,817128131140141056
903,Twitter Web Client,FYI there is no truth to the idea of restructuring the intelligence community.  It is 100 percent false. cc @WSJ,,False,Thu Jan 05 21:57:31 +0000 2017,422,817127915175505920
0,Twitter for iPhone,RT @SBAList: Great interview with incoming WH Press Secretary @SeanSpicer on Trump Admin's #ProLife priorities: https://t.co/tLs1udGQz8 @EW…,,True,Thu Jan 05 19:49:47 +0000 2017,110,817095770386079744
315,Twitter for iPhone,So does that mean we have to wait 8 years for a correction? https://t.co/HjRVg9ElIf,,False,Thu Jan 05 18:17:43 +0000 2017,138,817072600769851392
