favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
211,Twitter Web Client,Sessions Comments On Passing Of U.S. Deputy Commander Patrick Carothers: https://t.co/y18zAVpCsO,,False,Mon Nov 21 17:37:52 +0000 2016,117,800755120526991360
3970,Twitter Web Client,Sessions Response To President Obama’s Comments On Illegal Immigrants Voting In U.S. https://t.co/onhwra8OtV,,False,Mon Nov 07 01:02:31 +0000 2016,4102,795431201632821249
0,Twitter Web Client,"RT @ImmigrationGOP: CRITICAL ALERT: Situation At The Border Deteriorates Further: ""We Are Simply Overwhelmed"" https://t.co/LkHTHwUbPV",,True,Mon Oct 31 15:34:11 +0000 2016,753,793113846730854400
0,Twitter Web Client,"RT @ImmigrationGOP: SUBCMITE CHART: 242,772 Aliens With Final Removal Orders From Recalcitrant/Non-Cooperative Countries Remain In U.S. htt…",,True,Wed Oct 19 13:44:33 +0000 2016,335,788737602279075840
481,Twitter Web Client,Chairman Sessions: Obama Administration Confirms Surge In Illegal Immigration: https://t.co/uDfPt99mZ0,,False,Tue Oct 18 17:17:23 +0000 2016,651,788428775667208192
102,Twitter Web Client,Sessions Comments On Passing Of Lucy Baxley: https://t.co/QjkGTu6eJe,,False,Fri Oct 14 21:48:23 +0000 2016,42,787047426678886400
0,Twitter Web Client,RT @ImmigrationGOP: VIDEO: Sessions To DHS: Not Providing Information On Refugee Terrorists Shows 'Total Disrespect' To Americans https://t…,,True,Fri Sep 30 18:33:23 +0000 2016,624,781924923694518277
0,Twitter Web Client,RT @ImmigrationGOP: VIDEO: Obama Administration Admits It Does Not Screen Refugees For Radical Views https://t.co/i5d6M62iS1,,True,Wed Sep 28 22:18:01 +0000 2016,662,781256678952071168
0,Twitter Web Client,"RT @ImmigrationGOP: Chairman Sessions Delivers Opening Statement On Obama Administration’s Plan To Admit 110,000 New Refugees Into U.S. htt…",,True,Wed Sep 28 19:08:04 +0000 2016,305,781208876561465344
0,Twitter Web Client,RT @ImmigrationGOP: Tomorrow at 10:00 AM: Immigration Subcommittee Hearing On Oversight Of Admin's FY17 Refugee Resettlement Program: https…,,True,Tue Sep 27 15:11:43 +0000 2016,99,780787007190605824
86,Twitter Web Client,Sessions Comments On Naming Of USS MOBILE: https://t.co/QCErp0cWfE,,False,Thu Sep 22 18:16:33 +0000 2016,48,779021582853402624
441,Twitter Web Client,Sessions: Obama Administration Subordinates Concerns Of The American People To Advance Agenda Of The United Nations: https://t.co/vvxvSnIHGI,,False,Tue Sep 20 17:19:46 +0000 2016,558,778282516943892481
497,Twitter Web Client,"Sessions: Obama Admin Endangers Americans With Reckless Plans To Admit 110,000 Refugees in FY 2017: https://t.co/pXEp5N8Sbt",,False,Tue Sep 13 21:00:18 +0000 2016,668,775801300139274240
131,Twitter Web Client,Sessions Comments On Passing Of Phyllis Schlafly: https://t.co/irTNwxxc2U,,False,Tue Sep 06 21:56:51 +0000 2016,64,773278816919748608
211,Twitter Web Client,"Radical Circuit Court Decision Endangers Americans, Benefits Criminal Aliens: https://t.co/6cPU3VBypR:",,False,Mon Aug 22 16:18:14 +0000 2016,290,767757782162534400
730,Twitter Web Client,"Sessions: Trans-Pacific Partnership Is A Failed Agreement, Must Be Rejected: https://t.co/qapatuyCZ5",,False,Fri Aug 12 23:40:08 +0000 2016,700,764245111299567617
362,Twitter Web Client,Sessions: Refugee Terrorism Increases While Obama Administration Increases Flow: https://t.co/VKzmOelhis,,False,Wed Aug 10 20:11:15 +0000 2016,454,763467768226258944
457,Twitter Web Client,"Sessions: Obama’s Unprecedented Commutations of Violent Drug, Gun Felons Will Inflict Long-Term Harm on the Nation: https://t.co/5JyArHU7FJ",,False,Fri Aug 05 15:58:54 +0000 2016,545,761592322845007872
797,Twitter Web Client,Sessions: DOJ Inspector General Finds Sanctuary Jurisdiction Policies Violate Federal Law: https://t.co/hX3vBacLdm,,False,Fri Jul 29 21:48:53 +0000 2016,959,759143684948520961
528,Twitter Web Client,Obama Administration Plans To Expand Already Unlawful Immigration Program: https://t.co/EQvudJ2jCg,,False,Wed Jul 27 13:55:05 +0000 2016,891,758299673086001152
340,Twitter Web Client,"CHART: Mid-Year Data Shows Homicides, Violent Crime Continue To Rise Across United States: https://t.co/MyyGh0akkR https://t.co/1MSMgcBAor",,False,Tue Jul 26 15:06:09 +0000 2016,436,757955171657867265
200,Twitter Web Client,Sessions Issues Statement On Terrorist Attack In France: https://t.co/ZfGzEVmKbd,,False,Fri Jul 15 23:25:27 +0000 2016,169,754094555306332160
597,Twitter Web Client,"Sessions: Clinton Immigration Policy More Radical Than Obama's, Only Furthers Lawlessness: https://t.co/WRylUjG1r0",,False,Fri Jul 15 16:28:40 +0000 2016,748,753989668585152513
153,Twitter for iPhone,Sen. Sessions will appear on Fox News Sunday with Shannon Bream on the Fox News Channel this morning at 9:40 am EST/ 8:40 am CST.,,False,Sun Jul 10 13:32:42 +0000 2016,78,752133446189850624
145,Twitter Web Client,Sessions Issues Statement On Dallas Shooting: https://t.co/djBWJkRbW2,,False,Fri Jul 08 17:29:36 +0000 2016,110,751468288375459841
160,Twitter for iPhone,Sen. Sessions will appear on Greta Van Susteren’s On the Record on the Fox News Channel tonight at approximately 7:20 pm EST/ 6:20 pm CST.,,False,Thu Jul 07 23:04:11 +0000 2016,63,751190103222001664
260,Twitter Web Client,Sessions and Shelby: Halt Obama’s Plans To House Illegal Alien Juveniles In Baldwin County: https://t.co/sV4ztih7Gb,,False,Wed Jul 06 21:35:02 +0000 2016,212,750805279537856513
353,Twitter Web Client,Industry-Backed Clinton Plan Gives Preference To Foreign Students Over American Grads: https://t.co/WgCZyqrmYJ,,False,Tue Jun 28 20:29:14 +0000 2016,545,747889615135252480
1210,Twitter Web Client,"Clinton Refugee Plan Could Bring In 620,000 Refugees In First Term At Lifetime Cost Of Over $400 Billion: https://t.co/kWZwfYCEwK",,False,Mon Jun 27 18:52:31 +0000 2016,2191,747502889493401600
216,Twitter Web Client,VIDEO: DEA Administrator Agrees: Increase In Drug Trafficking Has Been A Factor In Increased Violent Crime: https://t.co/gigUe3lwsB,,False,Fri Jun 24 20:22:11 +0000 2016,252,746438289528393729
528,Twitter Web Client,Sessions Statement Following Brexit Vote: Now It’s America’s Turn: https://t.co/tkRrbqpZq8,,False,Fri Jun 24 16:40:34 +0000 2016,488,746382520258826240
0,Twitter Web Client,"RT @ImmigrationGOP: VIDEO:Sessions: Clinton Immigration Policy More Radical Than Obama's, ‘Must Be Stopped’: https://t.co/A1ubpZyLph",,True,Thu Jun 23 21:43:30 +0000 2016,579,746096365697114113
297,Twitter Web Client,Sessions Statement On Supreme Court Ruling On President Obama’s Executive Amnesty: https://t.co/vyY3QpKInS,,False,Thu Jun 23 15:42:05 +0000 2016,273,746005412328112128
185,Twitter Web Client,Sen. Sessions will appear on the Fox News Channel with Sean Hannity tonight at 10:25 pm EST/ 9:25 pm EST.,,False,Wed Jun 22 20:45:26 +0000 2016,116,745719368558985216
0,Twitter Web Client,"RT @ImmigrationGOP: At Least 580 Individuals Convicted In Terror Cases Since 9/11, At Least 380 Are Foreign-Born: https://t.co/h3nHq2OXW7",,True,Wed Jun 22 19:05:35 +0000 2016,210,745694239024156672
0,Twitter Web Client,RT @ImmigrationGOP: SUBCOMMITTEE CHART: Obama Admin On Track To Issue Over 1M Green Cards To Migrant From Muslim-Majority Countries: https:…,,True,Fri Jun 17 16:27:51 +0000 2016,389,743842605910339584
112,Twitter Web Client,Sessions Comments On Senate Passage Of National Defense Authorization Act: https://t.co/DiMM2uypwE,,False,Wed Jun 15 13:50:10 +0000 2016,123,743078146925334529
183,Twitter Web Client,Sen. Sessions will appear on Your World with guest host Stuart Varney on the Fox News Channel this afternoon at 4:00 pm EST/ 3:00 pm CST.,,False,Tue Jun 14 19:05:23 +0000 2016,85,742795084060561408
278,Twitter Web Client,Sessions Issues Statement On Orlando Terrorist Attack: https://t.co/g9q1Bko7Z2,,False,Mon Jun 13 22:23:49 +0000 2016,267,742482636745154562
157,Twitter Web Client,Sen. Sessions will appear on Greta Van Susteren’s On the Record on the Fox News Channel tonight at approximately 7:40 pm EST/ 6:40 pm CST.,,False,Mon Jun 13 20:47:10 +0000 2016,77,742458311166005248
322,Twitter Web Client,Sessions Responds To Decision To Build A Wall Around The Democratic National Convention: https://t.co/V6eBQMJGzy,,False,Fri Jun 10 21:10:02 +0000 2016,305,741376902095589376
105,Twitter Web Client,Sen. Sessions will appear on New England's Howie Carr Show at 6:10 EST. Listen live: https://t.co/XjJ0GMwgge,,False,Fri Jun 10 20:03:26 +0000 2016,61,741360141757468674
214,Twitter Web Client,Sen. Sessions will appear on Lou Dobbs Tonight on the Fox Business Channel tonight at 7:30 pm EST/ 6:30 pm CST.,,False,Thu Jun 09 20:16:23 +0000 2016,129,741001012887060480
0,Twitter Web Client,RT @ImmigrationGOP: VIDEO: Expert: It Is Obvious Rules Requiring Recruitment Of U.S. Workers First Are ‘Not Even Enforced At All’: https://…,,True,Wed Jun 08 21:16:56 +0000 2016,252,740653864391745536
0,Twitter Web Client,"RT @ImmigrationGOP: Sen. Sessions Delivers Opening Statement On Temporary Foreign Worker Program, Its Effect On American Jobs And Wages: ht…",,True,Wed Jun 08 20:46:10 +0000 2016,147,740646123128422400
202,Twitter Web Client,Sen. Sessions will appear on Greta Van Susteren’s On the Record on the Fox News Channel tonight at approximately 7:20 pm EST/ 6:20 pm CST.,,False,Tue May 31 20:56:19 +0000 2016,96,737749573150646272
0,Twitter Web Client,RT @ImmigrationGOP: SBCMTE CHART: Just-Published Government Data: Green Cards To Middle East Migrants Increased By Nearly One-Third https:/…,,True,Thu May 26 16:50:32 +0000 2016,268,735875779368767488
239,Twitter Web Client,"Earlier this week, Sen. Sessions spoke with students from Providence Christian School about the lawmaking process. https://t.co/UfctSfg6F2",,False,Fri May 20 20:58:17 +0000 2016,106,733763800961306624
708,Twitter Web Client,Sen Sessions joined a letter to Library of Congress objecting to elimination of terms “aliens” and “illegal aliens” https://t.co/qKxfAmePUk,,False,Fri May 20 19:04:41 +0000 2016,629,733735212593582083
0,Twitter Web Client,RT @ImmigrationGOP: VIDEO: Top Obama ICE Official: Criminal Aliens Who Can’t Be Deported A Threat To Safety: https://t.co/J8vRqoCmEH,,True,Fri May 20 17:06:44 +0000 2016,179,733705530632482819
0,Twitter Web Client,RT @ImmigrationGOP: VIDEO: Top Obama ICE Official: President’s Policies Resulted In Decreased Deportations: https://t.co/bcxzwrlHoO,,True,Fri May 20 12:25:52 +0000 2016,213,733634846682173440
0,Twitter Web Client,"RT @ImmigrationGOP: VIDEO: Obama Border Patrol Chief Agrees, A Border Wall ‘Helpful’: https://t.co/nuNXosdZH2",,True,Thu May 19 22:13:04 +0000 2016,220,733420234363654145
0,Twitter Web Client,RT @ImmigrationGOP: Chairman Sessions Delivers Opening Statement On Declining Deportations And Increasing Criminal Alien Releases: https://…,,True,Thu May 19 21:08:35 +0000 2016,154,733404007050272768
296,Twitter Web Client,Mrs Sessions’ shrimp hush puppies w Alabama Come Back Sauce won Best Regional Cuisine at March of Dimes Gourmet Gala https://t.co/fzeWPDRlB5,,False,Thu May 19 15:33:50 +0000 2016,85,733319763171115008
95,Twitter Web Client,"Yesterday, Sen. Sessions welcomed Sardis High School students to D.C. https://t.co/EWtSBZzT3X",,False,Wed May 18 21:10:25 +0000 2016,24,733042079023173632
62,Twitter Web Client,Sen. Sessions will be on Your World with Neil Cavuto on Fox News Channel momentarily.,,False,Wed May 18 20:04:14 +0000 2016,25,733025422464700416
96,Twitter Web Client,VIDEO: Sessions Warns: Changes To Sentencing Law Must Not Endanger Innocent Citizens: https://t.co/gD7D5PvuFh,,False,Tue May 17 17:37:52 +0000 2016,83,732626199864840193
51,Twitter Web Client,Sen. Sessions will speak at 2:30 pm EST/ 1:30 CST on the Senate floor on the nomination of Paula Xinis to be U.S. district judge.,,False,Mon May 16 18:27:09 +0000 2016,24,732276215038529536
106,Twitter Web Client,Sen. Sessions will appear on ABC’s This Week with Martha Raddatz and Jonathan Karl tomorrow at 9:10 am EST/ 8:10 am CST.,,False,Sat May 14 23:24:43 +0000 2016,59,731626325161566208
0,Twitter Web Client,RT @ImmigrationGOP: SUBCOMMITTEE CHART: Administration Removed Less Than One Percent Of Aliens Who Overstayed Their Visas In 2015: https://…,,True,Fri May 06 15:17:34 +0000 2016,224,728604627986419712
172,Twitter Web Client,Sen. Sessions will appear on Lou Dobbs Tonight on the Fox Business Channel at 7:00 pm EST/ 6:00 pm CST.,,False,Thu May 05 21:16:10 +0000 2016,90,728332483511603200
195,Twitter Web Client,Senator Sessions will appear on On The Record with Greta Van Susteren at approximately 7:20 pm EST/ 6:20 pm CST.,,False,Wed May 04 21:03:13 +0000 2016,117,727966837716205568
32,Twitter Web Client,Sen. Sessions Comments On UTC Expansion In Baldwin County: https://t.co/OZrcB8x1sj,,False,Tue May 03 22:09:09 +0000 2016,12,727621043083464704
0,Twitter Web Client,RT @ImmigrationGOP: SUBCOMMITTEE CHART: Deportations Plummet As ICE Receives More Resources: https://t.co/Gw2vqJBonB,,True,Mon May 02 22:00:29 +0000 2016,110,727256474330763264
67,Twitter Web Client,Sen. Sessions will appear on The Lead with Jake Tapper on CNN at 4:35 pm EST/ 3:35 pm CST this afternoon.,,False,Fri Apr 29 19:32:54 +0000 2016,29,726132167898742784
46,Twitter Web Client,Sessions Comments On Revised Criminal Sentencing Bill: https://t.co/5WHMPpGf9U,,False,Thu Apr 28 20:54:48 +0000 2016,37,725790391438610433
122,Twitter Web Client,Sen. Sessions will appear on The Situation Room with Wolf Blitzer on CNN at 6:00 pm EST tonight.,,False,Wed Apr 27 21:04:17 +0000 2016,79,725430391851614209
28,Twitter Web Client,"Sen. Sessions issued a statement on the five-year anniversary of the deadly tornadoes of April 27, 2011: https://t.co/m3vz7rUXdJ",,False,Wed Apr 27 14:03:20 +0000 2016,19,725324454096715776
29,Twitter Web Client,"Sen. Sessions Comments On Passing Of Judge Perry Hooper, Sr.: https://t.co/SPGBC4pC7x",,False,Tue Apr 26 23:37:57 +0000 2016,22,725106674323849216
100,Twitter Web Client,"Today Sen. Sessions talked to U.S. Jones Elementary from Demopolis, Alabama. https://t.co/ZNLVQCToZW",,False,Tue Apr 26 21:01:05 +0000 2016,30,725067196125306881
516,Twitter Web Client,VIDEO: Sessions Warns Against Ramming Through Unpopular Trans-Pacific Partnership: https://t.co/hvG8soPkr7,,False,Mon Apr 25 21:35:42 +0000 2016,539,724713522064584704
94,Twitter Web Client,"Last week, Sen. Sessions met with the Davidson High School Robotics Team from his hometown of Mobile. https://t.co/1krQZ33X6B",,False,Mon Apr 18 20:00:47 +0000 2016,29,722152919798308864
0,Twitter Web Client,RT @ImmigrationGOP: VIDEO: Sessions: Special Interest Blockage Of Amendment Is ‘Why The American People Are Not Happy With Congress’: https…,,True,Thu Apr 14 20:29:02 +0000 2016,122,720710476787748865
77,Twitter Web Client,VIDEO: Chairman Sessions: Missile Defense Funding Essential To Meeting Growing Threats: https://t.co/6LA4nkX7Fa,,False,Thu Apr 14 14:08:46 +0000 2016,66,720614778025218049
0,Twitter Web Client,RT @ImmigrationGOP: VIDEO: Sessions Files Amendment To Ensure Biometric Exit System Finally Implemented: https://t.co/j9ufgFItbR,,True,Wed Apr 13 17:30:58 +0000 2016,71,720303275380072448
0,Twitter Web Client,RT @ImmigrationGOP: SUBCOMMITTEE CHART:US Admits Over Two Times More Immigrants From Muslim Nations Than From EU https://t.co/afPXqp1K4q ht…,,True,Thu Apr 07 14:31:51 +0000 2016,255,718083872370593793
80,Twitter Web Client,CHART: Federal Drug Prosecutions And Sentences Plummet As Overdose Deaths Reach Record High: https://t.co/wtxauZPxBh,,False,Fri Apr 01 20:57:04 +0000 2016,100,716006488637104128
85,Twitter Web Client,"Chairman Sessions, Ranking Member Donnelly Call For Focus On Missile Defense In Letter To President: https://t.co/eWse21uK0p",,False,Thu Mar 24 14:21:18 +0000 2016,69,713007787194892288
145,Twitter Web Client,"Sessions, Colleagues Urge Government To Crack Down On Trade Violations In Steel, Aluminium Industries: https://t.co/KQMEw4vQ2W",,False,Wed Mar 23 20:30:27 +0000 2016,143,712738298939224065
61,Twitter Web Client,"Statement On Brussels Attacks, Strategy For Addressing Global Terror Threats: https://t.co/d6XV5zTAdk",,False,Wed Mar 23 13:17:26 +0000 2016,66,712629326185906177
318,Twitter Web Client,VIDEO: Sessions spoke yesterday on benefits of an “honest populism” that places working Americans’ interests first: https://t.co/nTAkm9jtBJ,,False,Fri Mar 18 21:40:51 +0000 2016,313,710944079861968897
34,Twitter Web Client,Senate Passes Sessions-Led Resolution Recognizing April As Congenital Diaphragmatic Hernia Awareness Month: https://t.co/4foPgvKMsL,,False,Fri Mar 18 14:38:29 +0000 2016,26,710837784072863745
