favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
67,Twitter for iPhone,What a thrill to watch Butler take down #1 ranked Villanova. Electric night at Hinkle. https://t.co/czWJxBKjOR,,False,Thu Jan 05 03:20:30 +0000 2017,9,816846808789958656
0,Twitter Web Client,"RT @IndyPoliticsOrg: @SenDanCoats says ""thank you"" to Hoosiers.  https://t.co/G6OEuKbrQ9",,True,Thu Dec 22 16:09:35 +0000 2016,8,811966925148487680
11,Twitter Web Client,"Thank you, Hoosiers https://t.co/ZihXKXMUHV",,False,Tue Dec 20 17:58:08 +0000 2016,1,811269467569319938
0,Twitter Web Client,RT @JECRepublicans: Chair @SenDanCoats &amp; Vice Chair @PatTiberi: Americans deserve better 'undeniable results.' More response to ERP-&gt; https…,,True,Thu Dec 15 20:05:47 +0000 2016,5,809489653304852480
33,Twitter Web Client,Saturday's big day of basketball just got even better. Welcome back @ButlerBlue3 https://t.co/J9zTS1VzL3,,False,Wed Dec 14 21:54:49 +0000 2016,6,809154702705381376
6,Twitter Web Client,Coats wraps up waste watch https://t.co/jXsXoLSYDY via @JGfortwayne,,False,Wed Dec 14 18:12:48 +0000 2016,0,809098830574718976
9,TweetDeck,Happy 380th Birthday to the National Guard! #Guard380,,False,Tue Dec 13 17:35:58 +0000 2016,1,808727174635290624
63,Twitter for iPhone,"Two hundred years and we’re just getting started. Happy Birthday, Indiana. https://t.co/eukS40mvvx",,False,Sun Dec 11 14:02:03 +0000 2016,27,807948566350221312
8,Twitter for iPhone,Did you know Indiana’s Bicentennial is this weekend? Here’s how you can celebrate with @Indiana2016 tomorrow: https://t.co/VNWaNGd5TS,,False,Sat Dec 10 23:00:51 +0000 2016,1,807721771898142720
3,TweetDeck,Hoosier Senators Talk About What You've Accomplished https://t.co/dB1Gj4YfTF via @93wibc,,False,Fri Dec 09 14:34:54 +0000 2016,1,807232055914430464
8,TweetDeck,"Today I commemorated Indiana’s bicentennial w/ a look at some of the people, places, &amp; events that make IN unique https://t.co/wWBU7XJMI8",,False,Thu Dec 08 22:37:02 +0000 2016,5,806991000249962496
40,TweetDeck,"Happy 60th birthday to Indiana's unofficial state Bird, Larry Legend https://t.co/hq8CUACIXm",,False,Wed Dec 07 18:53:55 +0000 2016,16,806572465283629056
37,Twitter for iPhone,"""A date which will live in infamy"" 

Remembering the tragic loss of American lives 75 years ago today at… https://t.co/612vU2mdIx",,False,Wed Dec 07 13:15:31 +0000 2016,22,806487304483246080
72,TweetDeck,"Hoosiers, thank you for the opportunity to serve as your senator https://t.co/eTmGYkFloN",,False,Tue Dec 06 23:19:06 +0000 2016,35,806276812049412097
0,TweetDeck,"RT @cspanRobin: During his Senate farewell speech, Sen. Dan Coats said, ""Hoosiers, thank you from the bottom of my heart.""  VIDEO: https://…",,True,Tue Dec 06 22:35:04 +0000 2016,11,806265730488532994
0,TweetDeck,"RT @cspan: .@SenDanCoats: ""I will not be back for a third farewell address."" Watch complete farewell address here: https://t.co/9quq27NlA4…",,True,Tue Dec 06 22:34:14 +0000 2016,23,806265520223846400
0,TweetDeck,"RT @GovPenceIN: Celebrate the finale of IN's Bicentennial year this December with fun, family events across the state! Learn more: https://…",,True,Tue Dec 06 16:29:54 +0000 2016,96,806173832717418496
5,TweetDeck,"Great to work with you, @PatTiberi. Best of luck to you and all the members of the @JECRepublicans in the 115th Con… https://t.co/mJ9d1AzEt7",,False,Fri Dec 02 18:25:57 +0000 2016,3,804753486571245568
7,Twitter Web Client,The crossroads of American dining https://t.co/pMN4wccuXV,,False,Fri Dec 02 15:54:05 +0000 2016,5,804715267368648705
9,TweetDeck,"It's a special day as @NAVSEACrane, the USA’s 3rd largest naval base, turns 75. Thanks for all you do to keep Americans safe #CraneTurns75",,False,Thu Dec 01 21:56:52 +0000 2016,3,804444176939184128
172,Twitter for iPhone,"I applaud @realDonaldTrump and @GovPenceIN for working with Carrier to save nearly 1,000 Hoosier jobs",,False,Wed Nov 30 00:59:55 +0000 2016,80,803765467747733505
6,Twitter Web Client,Seema's leadership and success with health care reform in Indiana makes her an excellent appointment to the @realDonaldTrump Administration,,False,Tue Nov 29 14:16:31 +0000 2016,5,803603550756630528
3,Twitter Web Client,Congratulations to fellow Hoosier Seema Verma on her nomination to be @CMSGov Administrator,,False,Tue Nov 29 14:15:32 +0000 2016,1,803603301979791362
1,Twitter Web Client,Joining @WOWOFORTWAYNE at 3:40 to offer thoughts on the remarkable life of broadcasting legend Bob Chase. Tune in: https://t.co/FWD2EumBt9,,False,Fri Nov 25 20:27:19 +0000 2016,0,802247315377582080
