favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
935,Twitter for iPad,This should be @realDonaldTrump game face to D.C. estab when he deplanes to take his oath of office. The ferociousn… https://t.co/A8hoqAnAJA,,False,Tue Jan 03 16:25:08 +0000 2017,260,816319492066185216
486,Twitter for iPad,Throwing Clinton under the bus. Lib media co-actors in her defeat. @nytimes @HuffingtonPost @washingtonpost own this https://t.co/zPoOPPjgtQ,,False,Tue Jan 03 16:12:33 +0000 2017,217,816316328617377793
1789,Twitter for iPad,"Sheriff Clarke: I’m tired of Obama’s race obsession, January 20th can’t come soon enough. https://t.co/tkkBWBO2Ap https://t.co/tAdgn7fN0K",,False,Tue Jan 03 16:09:41 +0000 2017,609,816315606291120129
0,Twitter for iPad,"RT @jstines3: Obama's RHETORIC is directly related to ATTACKS ON POLICE OFFICERS! 

#PJNET 
#BlueLivesMatter 
@SheriffClarke https://t.co/i…",,True,Tue Jan 03 16:01:49 +0000 2017,225,816313626571243520
1243,Twitter for iPad,Mayor Rahm Emanuel won't ask for help. Rahm cares more about helping illegal aliens hide than about black lives. https://t.co/PBJXlRj06R,,False,Tue Jan 03 16:00:30 +0000 2017,555,816313293207928832
1402,Twitter for iPad,A fitting tribute to every man and woman who is privileged to wear the uniform of their community they serve/protect https://t.co/dPVdIAktAg,,False,Tue Jan 03 15:45:06 +0000 2017,466,816309418560253953
3485,Twitter for iPad,Leaving Justice Clarence Thomas out of the @smithsonian is as big a national disgrace as his confirmation smear was. https://t.co/SxceZCRRJV,,False,Tue Jan 03 12:03:36 +0000 2017,1523,816253678596263936
3574,Twitter for iPad,"It is bare knuckles time for GOP in Congress. Punch Schumer in the mouth metaphorically, let him taste his own blood https://t.co/R9lBVZt87W",,False,Tue Jan 03 04:41:12 +0000 2017,1465,816142345062285313
1589,Twitter for iPad,Biased lib journalism on display. Claims all egregious straw men claims are perpetrated by the right against Clinton https://t.co/NrIgKeaG28,,False,Mon Jan 02 16:15:23 +0000 2017,576,815954652852318209
0,Twitter for iPad,RT @GLFOP: Trooper Weaver is the 140th law enforcement officer in 2016 to give his life in service to the community.  Rest in Peace.   #Our…,,True,Mon Jan 02 15:19:54 +0000 2017,1581,815940688047128577
0,Twitter for iPad,RT @RNRKentucky: THANK YOU &amp; HAPPY NEW YEAR to ALL the Men &amp; Women in BLUE! Stay safe! GOD BLESS EACH ONE OF YOU! https://t.co/JrkohPtr1l,,True,Mon Jan 02 09:58:53 +0000 2017,392,815859902954532868
0,Twitter for iPad,"RT @RNRMississippi: Obama blames Russia, but Harvard study exposes who really interfered in our election https://t.co/uRRJqnAwuv https://t.…",,True,Mon Jan 02 09:58:34 +0000 2017,2010,815859825380917249
0,Twitter for iPad,RT @seanhannity: Happy New year to all my irredeemable deplorable friends. Enjoy tonight. The battle begins Tuesday!!!,,True,Sun Jan 01 19:53:57 +0000 2017,3590,815647267784949760
0,Twitter for iPad,"RT @netanyahu: תודה על תמיכתך הנשיא הנבחר טראמפ! 🇺🇸🇮🇱

Thanks for your support, President-elect Trump! 🇺🇸🇮🇱

@realDonaldTrump https://t.co/…",,True,Sun Jan 01 19:52:41 +0000 2017,3475,815646950003458052
0,Twitter for iPad,"RT @jstines3: Under Obama there has been ONLY ONE economic success: GUN MANUFACTURE &amp; SALES! 

#PJNET #COSProject #2A 

https://t.co/rsL9hV…",,True,Sun Jan 01 19:51:29 +0000 2017,364,815646648298835971
0,Twitter for iPad,RT @Lrihendry: Obama was the worst president in American History and the media tried to make him the best by refusing to cover the truth &amp;…,,True,Sun Jan 01 19:49:46 +0000 2017,1716,815646214637096960
0,Twitter for iPad,"RT @HungryGents: .@SebGorka: ""There's going to be a new sheriff in town called Donald Trump.""  https://t.co/VNt6CLFOVV",,True,Sun Jan 01 19:49:25 +0000 2017,247,815646128486154240
2657,Twitter for iPad,The disconnect in DC with GOP &amp; voters. McConnell thinks goal is to move cautiously. WE VOTED FOR THEM GO BIG &amp; BOLD https://t.co/nPActyimmf,,False,Sun Jan 01 15:48:57 +0000 2017,963,815585612027854848
3447,Twitter for iPad,"I'll say what @politico won't here. @realDonaldTrump outhustled Clinton. She believed the polls, Trump kept working. https://t.co/eXyfO7HKxH",,False,Sun Jan 01 15:27:52 +0000 2017,935,815580306984075269
5700,Twitter for iPad,https://t.co/vj6KiYvwCg,,False,Sun Jan 01 07:26:55 +0000 2017,1138,815459272238792704
3412,Twitter for iPad,Let's not point out for Progressive Democrats what their fatal mistakes were. My hope is that they stay the course. https://t.co/4TIRAQPvyM,,False,Sat Dec 31 17:09:51 +0000 2016,1141,815243583133548546
8387,Twitter for iPad,Give me a damn break. These youths aren't bored. They are unsocialized misfits. A pack of runaway dogs behave better https://t.co/ujY00vVjkd,,False,Sat Dec 31 16:59:17 +0000 2016,3664,815240922514464768
2862,Twitter for iPad,"This is a ""Black Lives Matter inspired cop killing."" No other hateful ideology vilifies cops like they do.… https://t.co/zqQRhdcnmj",,False,Sat Dec 31 13:21:00 +0000 2016,1488,815185991329845248
4046,Twitter for iPad,"Read these and ponder. Sowell's wisdom, wit, intelligence, humility and candor are things Obama doesn't possess.

https://t.co/05sL3b6xvh",,False,Sat Dec 31 12:53:15 +0000 2016,2016,815179007092281344
9921,Twitter for iPad,Obama has caused great damage to this republic. He should just go away and shut up. We don't need to hear from him. https://t.co/jymUqPSgtS,,False,Sat Dec 31 12:45:56 +0000 2016,4327,815177166044491776
2457,Twitter for iPad,Sanctuary city mayor's like Pittsburgh mayor @billpeduto protect criminals and terrorists over law abiding Americans https://t.co/438k3gTBtN,,False,Sat Dec 31 12:37:23 +0000 2016,1250,815175014349762560
5958,Twitter for iPad,"""The most fundamental fact about the ideas of the political left is that they do not work"", said Thomas Sowell.… https://t.co/k3WaRFaxYO",,False,Sat Dec 31 12:23:47 +0000 2016,2754,815171591638286336
5066,Twitter for iPad,"The sooner we move from this ugly chapter w/ one of the most race obsessed presidents in modern history, the better… https://t.co/Ya7W7TZVev",,False,Sat Dec 31 11:45:38 +0000 2016,2075,815161990549278720
2875,Twitter for iPad,Another lefty race based social engineering experiment gone bad. Acceptable behavior must be based on societal norms https://t.co/A1zS39NOXI,,False,Fri Dec 30 21:31:35 +0000 2016,1412,814947063964303361
0,Twitter for iPad,"RT @steph93065: Read about the People's Sheriff
https://t.co/UStBJnoK5O …
@SheriffClarke 
#MAGA
#HappyNewYear
#BlueLivesMatter https://t.co…",,True,Fri Dec 30 21:18:19 +0000 2016,552,814943723192811520
2052,Twitter for iPad,NAACP smears AG nominee Sen Sessions. This org twice honored racist LA Clippers former owner Don Sterling for award. https://t.co/eLXg36R4l4,,False,Fri Dec 30 18:52:09 +0000 2016,1029,814906940388179968
8538,Twitter for iPad,This is why we need the electoral college. So that California cannot by themselves choose who our POTUS will be. https://t.co/f7WYotjHiL,,False,Fri Dec 30 18:42:31 +0000 2016,5890,814904515531046915
4946,Twitter for iPad,Chicago is a blood-soaked example of how strict gun laws don’t stop violence. https://t.co/LWjSAGyJtW via @SheriffClarke,,False,Fri Dec 30 18:17:02 +0000 2016,2605,814898103534911488
2120,Twitter for iPad,"Evidence that we do NOT need more gun laws or ""universal"" background checks. Facing 10 yrs, this woman got probation https://t.co/ZyvoCI6Mu9",,False,Fri Dec 30 17:43:17 +0000 2016,1185,814889610299973632
0,Twitter for iPad,"RT @jstines3: SNOWFLAKES, it's called an election; @realDonaldTrump won! 

@SheriffClarke 
#PJNET 
#Election2016 https://t.co/dm6DNmMLO4",,True,Fri Dec 30 16:52:16 +0000 2016,344,814876772781146112
0,Twitter for Android,"RT @jstines3: FAKE NEWS? Liberals specialize in it!  

#StandWithSheriffClarke 
@SheriffClarke 
#BlueLivesMatter 
#PJNET https://t.co/kuMBF…",,True,Thu Dec 29 22:04:42 +0000 2016,413,814593008704323585
0,Twitter for Android,"RT @ChristiChat: The heart &amp; soul behind the badge @SheriffClarke brings more than safety to those he serves.

#ThinBlueLine
#BlueLivesMatt…",,True,Thu Dec 29 22:02:03 +0000 2016,1254,814592341457698816
2028,Twitter for iPad,Here are just 14 Thomas Sowell quotes that absolutely destroy the false claims of liberalism. There are a lot more https://t.co/ejdzNnl7ZR,,False,Thu Dec 29 18:27:32 +0000 2016,1126,814538356784844801
0,Twitter for iPad,"RT @CR: ""Sowell’s books are life-changing, and that’s not hyperbole."" @dbongino 
https://t.co/gR8DRzHf6z",,True,Thu Dec 29 05:41:01 +0000 2016,232,814345456901910533
0,Twitter for iPad,RT @marklevinshow: Bibi: Israel doesn't need lectures from Kerry https://t.co/4cZ8vaLVbz,,True,Thu Dec 29 05:39:05 +0000 2016,1217,814344971297968131
