favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
118,TweetAdder v4,#CDC: 30 States Plus D.C. Have Requested Help with Possible #Ebola Cases http://t.co/Y32AOCLD4d #EbolaOutbreak,,False,Fri Aug 22 04:13:43 +0000 2014,104,502669923731390464
0,TweetAdder v4,RT @BreitbartTexas: Creighton Unites Peace Officers to Help Counties in Border Crisis http://t.co/CKiD53YYoK,,True,Thu Jul 31 18:37:32 +0000 2014,50,494914775571124224
0,TweetAdder v4,"RT @BreitbartTexas: EXCLUSIVE: Released Alien from Border Crisis Arrested for Alleged Murder, Kidnapping in Texas http://t.co/0OhBQ76DIs",,True,Wed Jul 16 17:48:41 +0000 2014,320,489466665487175680
258,TweetAdder v4,Exclusive–@SenatorSessions: Pro-Amnesty #Elites Treat People as 'Commodities' http://t.co/KTnnybhGyA,,False,Mon Jun 23 13:42:30 +0000 2014,297,481069791352872962
72,TweetAdder v4,#Horowitz: Fight For #GOP Has Just Begun http://t.co/LMthPxCMDL,,False,Sun Jun 22 11:22:02 +0000 2014,63,480672052043476996
333,TweetAdder v4,"#Petraeus: USA Needs #ImmigrationReform, Washington D.C. is A Security Threat to the Country http://t.co/pQzrRSjqYH @BreitbartLondon",,False,Wed Jun 18 19:58:34 +0000 2014,345,479352492527222784
30,Twitter for Websites,"Police Interviewed Alleged Gunman Weeks Ago, 'Found Him to Be... Wonderful Human' http://t.co/g8o99a6NzH via @BreitbartNews",,False,Sun May 25 08:13:14 +0000 2014,29,470477680148627456
22,Twitter Web Client,"Tonite 7PM @BreitbartXM SXM125: @KarenHandel on #GeorgiaPrimary, Spencer on 'Arab Winter,’ Thatcher on the #TeaParty http://t.co/JAal1liFwj",,False,Sun May 18 22:39:45 +0000 2014,15,468159029249077248
0,Twitter Web Client,RT @BreitbartXM: Today's line up on #SXM125: Seven Days in May: Four Foreign Elections that Will Directly Impact America http://t.co/ZcSo4C…,,True,Sun May 04 20:12:04 +0000 2014,19,463048436632526848
19,Twitter Web Client,Federal #LandGrab Comes to California at Vail Lake http://t.co/Sf7oMuUdFx,,False,Wed Apr 30 16:17:04 +0000 2014,43,461539741989875712
18,Twitter Web Client,.@Pontifex Pope Francis: 'Inequality Is the Root of Social Evil' http://t.co/hEVc6asiuK via @WyntonHall,,False,Tue Apr 29 04:06:29 +0000 2014,18,460993499668963329
10,TweetAdder v4,Today 7PM 'Breitbart News Sunday' on #SXM125: #Obamacare; The #Border; SteveDeace http://t.co/1z0f0VSkxr #Sirius #TCOT,,False,Sun Mar 30 20:55:25 +0000 2014,12,450375767181254657
24,TweetAdder v4,GAI President Peter #Schweizer: US #Crony #Capitalism Starting to Resemble Russia's http://t.co/PEmDwITks4 #Extortion,,False,Sun Mar 30 12:27:23 +0000 2014,18,450247916754862080
11,TweetAdder v4,Bill Ackman buying political influence against #Herbalife? http://t.co/AYZNgk1ibv #Extortion #Schweizer,,False,Sun Mar 30 03:20:00 +0000 2014,13,450110164633657345
7,TweetAdder v4,#Dutch Social Services Seized 10-Year-Old #Twins from Russian-Speaking Family http://t.co/SIMxntr4RZ #UK #TCOT #Breitbart,,False,Wed Mar 26 23:14:20 +0000 2014,9,448961177176260608
24,TweetAdder v4,Mark Levin Accepts Andrew Breitbart First Amendment Award from Citizens United at CPAC http://t.co/eXdzhfDVRD,,False,Thu Mar 06 21:59:29 +0000 2014,24,441694584666865664
14,TweetAdder v4,No Love for LAX Killer: Virginia Court Upholds Conviction of Murderer of UVA Lacrosse Player Yeardley Love http://t.co/Zmh8t7vRVL,,False,Thu Mar 06 07:18:25 +0000 2014,10,441472854111309824
32,TweetAdder v4,"#Politico Editor Who Mocked #Palin Over Ukraine Doubles Down, Refuses to Give Her Credit http://t.co/v56giJXC8K",,False,Mon Mar 03 07:20:47 +0000 2014,43,440386287246540800
4,TweetAdder v4,Gut Check: Why I Hate Stories http://t.co/aS735NYdBK #Gutfeld #Breitbart,,False,Wed Feb 19 00:16:41 +0000 2014,6,435930902955569152
0,Twitter Web Client,"RT @schweizerGAI: WATCH @peterschweizer: Groundbreaking exposé on despicable powerful elite's #Extortion from the one's they regulate."" htt…",,True,Fri Jan 24 01:04:12 +0000 2014,27,426520775966076928
5,Buffer,RT @schweizerGAI: The #Benghazi Timeline http://t.co/FyKCIV5FqG,,False,Fri Jan 17 03:26:38 +0000 2014,8,424019905877655552
9,Buffer,The #Benghazi Timeline http://t.co/CWWeHZTNag,,False,Fri Jan 17 03:13:46 +0000 2014,12,424016671255576576
0,Twitter Web Client,RT @schweizerGAI: Tune in TONIGHT at 10:00 PM ET on @FoxNews as our very own #GAI President @peterschweizer appears on #Hannity to debate #…,,True,Fri Jan 03 02:50:49 +0000 2014,14,418937463080759297
0,Twitter Web Client,"RT @schweizerGAI: @PeterSchweizer, New York Times Bestselling Author &amp; @YAF Alumnus"" speaking live now from @TheReaganRanch http://t.co/xhW…",,True,Sat Nov 09 05:16:39 +0000 2013,11,399042831429693440
12,Twitter Web Client,"'Extortion': #Holder Abuses #Law to Enrich Former Employer, Target Republicans http://t.co/U9inbIUlYn #EXTORTION @schweizerGAI",,False,Mon Oct 28 19:05:52 +0000 2013,39,394902857305968641
5,Twitter for Websites,'The Five' Debate Schweizer's 'Extortion' Revelations http://t.co/wTYKy8MfGV via @BreitbartNews,,False,Thu Oct 24 04:06:11 +0000 2013,4,393226893874302976
3,TweetAdder v4,Tonight! 10 PM EDT @FoxNews: @PeterSchweizer to Discuss #Extortion on #Hannity http://t.co/hgTz4X47EF #TTAO #GAI @SchweizerGAI,,False,Wed Oct 23 01:20:12 +0000 2013,7,392822734100897792
0,TweetAdder v4,"RT @schweizerGAI: Lawmakers making thousands, funding lavish trips from ‘slush funds’ | via @FoxNews http://t.co/gFpQv0TReN #GAI #Extortion…",,True,Tue Oct 22 20:40:27 +0000 2013,22,392752333459058688
0,TweetAdder v4,"RT @schweizerGAI: RT @peterschweizer: Congresswoman Funneled $294,245 in Campaign Cash to Herself http://t.co/o0Mx68RuiD  #PoliticalExtorti…",,True,Tue Oct 22 09:26:15 +0000 2013,32,392582662910914560
0,Twitter Web Client,RT @schweizerGAI: Get all the latest news and #Extortion updates from author Peter Schweizer (@peterschweizer) at http://t.co/fVCPlewzDZ,,True,Mon Oct 21 21:47:12 +0000 2013,7,392406741855776768
0,TweetAdder v4,RT @BreitbartXM: Kos Diarist Gets ObamaCare Bill: 'What the Hell Kind of Reform Is This?' http://t.co/9LhWeq99zE,,True,Sun Oct 20 20:51:51 +0000 2013,7,392030423012093952
0,Twitter Web Client,RT @BreitbartXM: Get the shocking miniutia re: @Stranahan's #CredibleFear #AssylumTactics from the #Border http://t.co/BYWReo5Jrt 7PM #Siri…,,True,Sun Aug 11 20:19:59 +0000 2013,8,366655254680440832
4,Twitter Web Client,Get the latest #Benghazi and Edward Snowden developments http://t.co/BJkCXNnoO7 tonight 7pm #Sirius125 #TCOT,,False,Sun Aug 04 22:11:42 +0000 2013,6,364146653852213248
0,Twitter Web Client,RT @BreitbartXM: @JennyBethM of @TPPatriots kicks off tonight's show to discuss #TeaParty efforts to #DefundObamacare 7pm @SiriusXMPatriot …,,True,Sun Aug 04 21:47:33 +0000 2013,12,364140575278112768
3,Twitter Web Client,"Tonight's topics: #FastTerry, #Immigration Games, #DefundObamacare http://t.co/3sJVzSvZDh up next on #Sirius125 #Breitbart @TCOT",,False,Sun Jul 28 23:00:39 +0000 2013,6,361622255941328896
0,TweetAdder v4,"RT @BreitbartXM: Shaun Kenney (@SvKenney) said on the show that Terry McAuliffe is  the type of ""flamboyant"" ""hustler"" Virginians have desp…",,True,Mon Jul 22 00:51:01 +0000 2013,9,359113317153255424
